,Existing,Algorithm Retrofitted,Algorithm Reduction,Ordinance Retrofitted,Ordinance Reduction
98,0.19607586960796825,0.14835797001143144,0.24336446749895024,0.12884428886954707,0.3428855415653297
635,0.007895462586873092,0.004548077257405593,0.42396316778611876,0.0035358847651331877,0.5521624317475824
969,0.025844255445926324,0.016652523053535977,0.3556586264062479,0.013543071271516709,0.47597363368224166
2177,0.05597001810768616,0.03824216005406149,0.3167384727215261,0.03196454300363795,0.4288988268301387
3110,0.1938513462229549,0.14692091445107935,0.24209494897135908,0.1288714928814909,0.3352045503296557
4393,0.4494277081966781,0.37404576475278883,0.16772874050502629,0.33916534991017167,0.24533947568326953
4520,0.00016724843328486127,8.104540700545424e-05,0.5154190361387967,6.122911610465744e-05,0.6339032007530341
5278,0.34263168165419533,0.27652654656503295,0.19293351615943,0.2478390299894163,0.27666049796425285
5575,0.07938073733561896,0.05653221656835893,0.2878345746608183,0.04790668369464509,0.39649485123705364
5675,0.23026686725265758,0.17833668329293575,0.22552173736198888,0.15675329383698144,0.3192538044781502
5846,0.22779770902804494,0.17568171700583932,0.22878189708128027,0.15412148314643387,0.32342830046873094
6403,0.06274402943937465,0.044917785150839114,0.2841106069822922,0.038293914485693435,0.38968034364617476
6965,0.3590874765451042,0.29405613488963517,0.1811016699361293,0.2644128236207422,0.2636534524546976
7396,0.16607885229309963,0.12693677700365474,0.2356836812694616,0.11129712192488386,0.3298537388224224
7572,0.4480582646039416,0.37283434832590406,0.16788869265592332,0.338425624484142,0.24468389220921682
7604,0.06212586393578688,0.043162841106957846,0.3052355593546219,0.03656520338120082,0.41143348253483425
7681,0.1151419886728295,0.08367245167711475,0.27331069541567454,0.07192937035432283,0.37529852329798885
7718,0.404836178877881,0.335439791676147,0.17141844237855874,0.30466973719851526,0.24742462977742163
8033,0.26588398224542126,0.2105371505439692,0.2081615869976129,0.18693822458250406,0.296918065526968
8294,0.0050755938375865615,0.0031922830920102533,0.37105229571951326,0.0026054654051941043,0.48666786812220586
