Latitude,Longitude,Loss
33.70657,-118.29226,742930.495
33.70705,-118.2876,769977.4574
33.70715,-118.29246,295604.6447
33.70724,-118.28865,766355.8771
33.70756,-118.29249,326052.2938
33.70761,-118.29165,298186.38
33.70773,-118.2876,350253.6451
33.70803,-118.29098,300770.1161
33.70804,-118.28832,184316.5257
33.70812,-118.29166,299478.0055
33.70812,-118.29182,512204.8111
33.70831,-118.2883,1099874.481
33.70845,-118.2883,369938.5781
33.70848,-118.29182,179966.6137
33.7085,-118.28651,806762.5437
33.7086,-118.28829,196649.2685
33.70873,-118.29195,457579.4356
33.709,-118.29044,304002.4174
33.70937,-118.29214,342637.8758
33.70989,-118.29232,786065.0379
33.71028,-118.29167,193785.2481
33.71029,-118.28706,313714.6517
33.71029,-118.28871,309827.2281
33.7103,-118.28896,185900.8229
33.71046,-118.2867,189073.0205
33.71059,-118.29174,443517.7612
33.71071,-118.28633,479928.0785
33.71082,-118.28829,311770.5507
33.71085,-118.28897,310474.9128
33.71086,-118.28869,805551.4286
33.7109,-118.28649,1873129.584
33.71096,-118.28695,201154.6912
33.71106,-118.28758,377067.8566
33.71112,-118.28666,814012.1654
33.71124,-118.2871,531376.493
33.71125,-118.28929,803126.7767
33.71125,-118.29166,766355.8771
33.71128,-118.29044,772388.2606
33.71219,-118.29122,447951.6376
33.7131,-118.29129,450163.863
33.71352,-118.29131,186297.0913
33.71362,-118.29256,468314.5517
33.71582,-118.29221,453108.5209
33.71614,-118.29369,774796.1773
33.71651,-118.29326,805551.4286
33.71666,-118.2934,526044.1223
33.71669,-118.29365,310474.9128
33.71678,-118.29182,314362.85
33.71679,-118.29376,1447516.336
33.7177,-118.2914,789182.1438
33.71851,-118.29468,374690.116
33.71895,-118.29302,379446.8322
33.71908,-118.29301,379446.8322
33.71938,-118.29303,190263.7419
33.71951,-118.29304,201974.394
33.71967,-118.29167,485281.1633
33.71995,-118.29133,364095.1969
33.72042,-118.28827,371700.8642
33.72087,-118.2918,487955.8299
33.72088,-118.29375,191057.88
33.7209,-118.2974,778521.4494
33.72095,-118.29526,315011.1277
33.72108,-118.29164,976816.2627
33.72123,-118.29117,206485.07
33.72128,-118.29526,1119839.92
33.7213,-118.28916,997627.09
33.72134,-118.2913,808114.0297
33.72147,-118.28913,371700.8642
33.72152,-118.29163,489738.2068
33.72162,-118.28919,496861.4761
33.72175,-118.28925,818451.1973
33.7218,-118.29298,973859.7185
33.72182,-118.2937,485281.1633
33.72182,-118.2996,949534.9379
33.72187,-118.30539,341945.5488
33.72215,-118.28942,641892.6384
33.72219,-118.29149,390563.3204
33.72222,-118.30546,300770.1161
33.72244,-118.29297,976816.2627
33.72269,-118.29328,1898490.927
33.72272,-118.29845,781484.019
33.72308,-118.28962,1926131.247
33.72311,-118.29518,976863.9696
33.7236,-118.28896,502196.9127
33.72363,-118.29959,473677.0195
33.72392,-118.30491,365983.266
33.724,-118.29077,497751.1486
33.724,-118.29108,395333.9069
33.72403,-118.29959,960811.5327
33.7243,-118.3019,1104501.351
33.72447,-118.29275,814022.4379
33.7245,-118.28646,840558.8606
33.72465,-118.29275,1144108.492
33.7249,-118.28869,833196.6965
33.72491,-118.28766,202596.5479
33.72491,-118.29109,396924.829
33.72502,-118.29275,495081.628
33.72517,-118.28862,403291.7084
33.72542,-118.29076,501308.1131
33.72671,-118.29741,2094069.83
33.72764,-118.29516,997627.09
33.72766,-118.29957,976863.9696
33.72853,-118.28855,410459.5635
33.72905,-118.29295,401699.5427
33.72906,-118.28866,1032476.651
33.72995,-118.29074,408069.7614
33.72995,-118.29179,1021428.848
33.72996,-118.28948,1179869.558
33.73032,-118.28196,427994.9911
33.73032,-118.28275,426400.4146
33.73035,-118.29294,404087.8936
33.73035,-118.29307,404087.8936
33.73083,-118.28531,1052889.109
33.73084,-118.28256,533177.2019
33.7309,-118.29964,493301.1227
33.73125,-118.28891,2183199.071
33.73138,-118.29931,815498.9394
33.73152,-118.30127,491519.9767
33.73168,-118.29709,1933622.376
33.73171,-118.3015,1906056.037
33.73177,-118.28881,1987933.311
33.7318,-118.29832,1926131.247
33.73215,-118.28927,1041914.968
33.73215,-118.2915,515506.1222
33.73217,-118.30007,1918619.864
33.73223,-118.30098,369627.2915
33.73266,-118.28239,537580.1199
33.73267,-118.28958,520816.944
33.73272,-118.29963,819926.9469
33.73272,-118.30044,816975.1937
33.73292,-118.30219,1142601.651
33.73296,-118.29708,333837.8929
33.73319,-118.29858,2131638.531
33.73338,-118.2999,1928630.544
33.73354,-118.30285,196225.4612
33.7336,-118.29511,1013464.353
33.73362,-118.29831,1938605.18
33.73367,-118.2997,995945.4982
33.73367,-118.30051,993012.6112
33.73398,-118.29293,487253.0243
33.73406,-118.30295,196623.3356
33.73427,-118.29813,478618.5427
33.73435,-118.2993,400107.6634
33.73445,-118.28409,344011.453
33.73446,-118.28437,379680.476
33.7345,-118.29149,369588.6057
33.73451,-118.29513,830513.2652
33.73453,-118.29067,1553376.057
33.73487,-118.291,392396.5205
33.73487,-118.29182,220439.1322
33.73489,-118.29756,202596.5479
33.735,-118.30185,373773.8409
33.73518,-118.29656,828177.5511
33.73528,-118.29042,846771.8967
33.73533,-118.29867,201799.63
33.73541,-118.29512,1032476.651
33.73543,-118.29741,840558.8606
33.73553,-118.29928,1946062.424
33.73569,-118.29707,511961.3499
33.73577,-118.29741,558345.9931
33.73579,-118.29431,664114.0381
33.73581,-118.29872,202596.5479
33.73583,-118.30946,193044.2955
33.73584,-118.30536,996034.28
33.7359,-118.3015,845080.9927
33.73591,-118.30902,984864.1525
33.73593,-118.3059,814022.4379
33.7361,-118.29818,337737.3955
33.73624,-118.30024,213461.2452
33.73628,-118.2841,1222032.794
33.73628,-118.30741,1141093.476
33.73629,-118.303,1007168.315
33.73632,-118.30035,650624.3012
33.73636,-118.30438,1515998.935
33.73637,-118.3005,1015098.539
33.7364,-118.30683,787244.8071
33.73645,-118.30801,206895.2949
33.73653,-118.29863,1012009.637
33.73653,-118.30083,1015098.539
33.7367,-118.29963,841881.6031
33.73673,-118.30487,329289.7831
33.73674,-118.30708,544208.017
33.73685,-118.30523,810557.7127
33.73706,-118.30227,377227.3551
33.73706,-118.30294,828775.917
33.73715,-118.2993,482223.4637
33.7372,-118.30294,1496850.071
33.73725,-118.30535,355423.0868
33.73726,-118.30421,842711.4573
33.73727,-118.30454,1154618.959
33.73734,-118.30227,201002.8478
33.73743,-118.29863,512847.8513
33.73744,-118.30083,336437.4701
33.73747,-118.30294,200604.5101
33.73759,-118.30294,358837.9235
33.73759,-118.30369,358269.4297
33.73762,-118.3042,1936114.907
33.7377,-118.30271,359406.1566
33.73782,-118.30556,840338.4795
33.73788,-118.29324,348788.4594
33.73813,-118.29435,209374.6936
33.73814,-118.29104,2014673.095
33.73888,-118.28613,584527.4422
33.73996,-118.29591,348138.3884
33.74035,-118.28877,229463.9159
33.7406,-118.28924,433576.1377
33.74215,-118.29311,214960.195
33.74295,-118.29314,886019.1252
33.74356,-118.29289,1074713.789
33.744,-118.30932,1531412.538
33.74415,-118.30933,508413.341
33.7443,-118.30933,839087.0234
33.74445,-118.28199,853249.661
33.74449,-118.30933,701955.1615
33.74482,-118.30929,327151.6946
33.74487,-118.29813,426400.4146
33.74487,-118.29827,376886.5792
33.7449,-118.28988,1073678.849
33.74519,-118.30932,407273.2689
33.74633,-118.3093,485099.9942
33.74666,-118.28675,706666.8938
33.74789,-118.30015,227413.8277
33.77287,-118.26164,433441.8155
33.77308,-118.27067,428003.8125
33.77475,-118.27023,765005.7568
33.77507,-118.26244,901593.7103
33.77646,-118.26988,425280.3002
33.77826,-118.27571,1111728.087
33.77858,-118.27244,562112.513
33.77944,-118.27794,373471.3375
33.77952,-118.27107,561240.2153
33.77997,-118.26111,932542.6438
33.77997,-118.26111,456688.1568
33.77997,-118.26111,715023.0208
33.77997,-118.26111,361207.2472
33.77997,-118.26115,378658.6356
