Latitude,Longitude,Loss
33.70657,-118.29226,577456.0789
33.70705,-118.2876,403323.2049
33.70715,-118.29246,158502.7146
33.70724,-118.28865,400615.2323
33.70756,-118.29249,151480.7099
33.70761,-118.29165,160244.0752
33.70773,-118.2876,270362.1623
33.70803,-118.29098,161991.6902
33.70804,-118.28832,100208.3362
33.70812,-118.29166,161117.1058
33.70812,-118.29182,360836.2888
33.70831,-118.2883,809836.036
33.70845,-118.2883,254873.8869
33.70848,-118.29182,97262.02465
33.7085,-118.28651,628880.0357
33.7086,-118.28829,151635.457
33.70873,-118.29195,361798.8352
33.709,-118.29044,164184.883
33.70937,-118.29214,263748.6423
33.70989,-118.29232,609788.2665
33.71028,-118.29167,149170.7378
33.71029,-118.28706,170820.8017
33.71029,-118.28871,168156.4489
33.7103,-118.28896,101286.9129
33.71046,-118.2867,103455.296
33.71059,-118.29174,226095.0037
33.71071,-118.28633,381668.737
33.71082,-118.28829,169486.9833
33.71085,-118.28897,168599.5934
33.71086,-118.28869,627759.252
33.7109,-118.28649,1319783.758
33.71096,-118.28695,155523.7747
33.71106,-118.28758,260574.3582
33.71112,-118.28666,635598.3787
33.71124,-118.2871,378020.7052
33.71125,-118.28929,625516.7993
33.71125,-118.29166,400615.2323
33.71128,-118.29044,405129.9827
33.71219,-118.29122,229287.4352
33.7131,-118.29129,230886.792
33.71352,-118.29131,101557.1463
33.71362,-118.29256,371324.2111
33.71582,-118.29221,233022.4306
33.71614,-118.29369,406937.9062
33.71651,-118.29326,627759.252
33.71666,-118.2934,373216.9651
33.71669,-118.29365,168599.5934
33.71678,-118.29182,171266.1319
33.71679,-118.29376,558578.5038
33.7177,-118.2914,417808.3457
33.71851,-118.29468,258670.6942
33.71895,-118.29302,262481.4637
33.71908,-118.29301,262481.4637
33.71938,-118.29303,104272.2383
33.71951,-118.29304,156232.6472
33.71967,-118.29167,386450.7178
33.71995,-118.29133,282443.6536
33.72042,-118.28827,289115.7018
33.72087,-118.2918,388843.288
33.72088,-118.29375,104818.0016
33.7209,-118.2974,608719.0125
33.72095,-118.29526,171711.822
33.72108,-118.29164,532584.2553
33.72123,-118.29117,160141.3507
33.72128,-118.29526,828341.5255
33.7213,-118.28916,885225.555
33.72134,-118.2913,634898.7941
33.72147,-118.28913,289115.7018
33.72152,-118.29163,390438.8804
33.72162,-118.28919,396825.2452
33.72175,-118.28925,644083.2143
33.7218,-118.29298,530309.0924
33.72182,-118.2937,386450.7178
33.72182,-118.2996,839229.9482
33.72187,-118.30539,263148.6263
33.72215,-118.28942,343359.8029
33.72219,-118.29149,271425.3593
33.72222,-118.30546,161991.6902
33.72244,-118.29297,532584.2553
33.72269,-118.29328,1343028.1
33.72272,-118.29845,611332.3578
33.72308,-118.28962,1368516.573
33.72311,-118.29518,865336.3286
33.7236,-118.28896,401618.7425
33.72363,-118.29959,376095.6126
33.72392,-118.30491,251720.831
33.724,-118.29077,397623.9555
33.724,-118.29108,275279.8533
33.72403,-118.29959,849992.0491
33.7243,-118.3019,814113.5047
33.72447,-118.29275,640145.8394
33.7245,-118.28646,663793.551
33.72465,-118.29275,851003.4597
33.7249,-118.28869,657219.4644
33.72491,-118.28766,112829.8272
33.72491,-118.29109,276567.4331
33.72502,-118.29275,395228.0886
33.72517,-118.28862,281731.1188
33.72542,-118.29076,400819.6272
33.72671,-118.29741,1781045.363
33.72764,-118.29516,885225.555
33.72766,-118.29957,865336.3286
33.72853,-118.28855,277794.9767
33.72905,-118.29295,280438.2205
33.72906,-118.28866,918714.5156
33.72995,-118.29074,285617.526
33.72995,-118.29179,908083.6754
33.72996,-118.28948,862362.6999
33.73032,-118.28196,291855.2579
33.73032,-118.28275,290571.018
33.73035,-118.29294,282378.0543
33.73035,-118.29307,282378.0543
33.73083,-118.28531,938391.5508
33.73084,-118.28256,423121.7503
33.7309,-118.29964,393631.2976
33.73125,-118.28891,1853767.869
33.73138,-118.29931,641458.1044
33.73152,-118.30127,392034.8892
33.73168,-118.29709,1375452.532
33.73171,-118.3015,1349988.108
33.73177,-118.28881,1408832.292
33.7318,-118.29832,1368516.573
33.73215,-118.28927,927807.152
33.73215,-118.2915,407238.9888
33.73217,-118.30007,1361573.877
33.73223,-118.30098,287294.3232
33.73266,-118.28239,427094.3497
33.73267,-118.28958,412002.0256
33.73272,-118.29963,645396.0523
33.73272,-118.30044,642770.5638
33.73292,-118.30219,849590.9871
33.73296,-118.29708,184787.9131
33.73319,-118.29858,1818510.136
33.73338,-118.2999,1370829.314
33.73354,-118.30285,108387.1601
33.7336,-118.29511,561111.648
33.73362,-118.29831,1380072.698
33.73367,-118.2997,547399.3902
33.73367,-118.30051,545117.2876
33.73398,-118.29293,260763.849
33.73406,-118.30295,108663.2409
33.73427,-118.29813,251848.9005
33.73435,-118.2993,279146.6308
33.73445,-118.28409,103674.7226
33.73446,-118.28437,178672.4727
33.7345,-118.29149,171681.9036
33.73451,-118.29513,449704.0388
33.73453,-118.29067,1040820.766
33.73487,-118.291,307389.8638
33.73487,-118.29182,172316.9746
33.73489,-118.29756,112829.8272
33.735,-118.30185,290938.3083
33.73518,-118.29656,447875.016
33.73528,-118.29042,470782.8906
33.73533,-118.29867,112271.578
33.73541,-118.29512,918714.5156
33.73543,-118.29741,663793.551
33.73553,-118.29928,1386997.141
33.73569,-118.29707,410413.4971
33.73577,-118.29741,402603.0724
33.73579,-118.29431,344294.1702
33.73581,-118.29872,112829.8272
33.73583,-118.30946,106186.3386
33.73584,-118.30536,883698.1077
33.7359,-118.3015,664573.7587
33.73591,-118.30902,872994.1829
33.73593,-118.3059,640145.8394
33.7361,-118.29818,187528.2433
33.73624,-118.30024,166212.683
33.73628,-118.30741,848177.9811
33.73628,-118.2841,902341.8064
33.73629,-118.303,894381.0663
33.73632,-118.30035,350004.1796
33.73636,-118.30438,1014404.62
33.73637,-118.3005,901998.2871
33.7364,-118.30683,172857.7614
33.73645,-118.30801,160497.4906
33.73653,-118.29863,559967.7453
33.73653,-118.30083,901998.2871
33.7367,-118.29963,357998.8441
33.73673,-118.30487,181605.5935
