Latitude,Longitude,Story,Type,SMS
33.86689,-117.85707,,,1.758
34.09741,-118.1557,,,2.813
34.09702,-118.15594,,,2.811
34.09586,-118.15734,,,2.805
34.09648,-118.15982,2,FWL3,2.81
34.0955,-118.16032,,,2.804
34.09851,-118.16205,,,2.825
34.09584,-118.16215,,,2.808
34.09761,-118.16219,,,2.819
34.09423,-118.16219,,,2.798
34.07958,-118.16266,,,2.705
34.07398,-118.16302,,,2.669
34.09019,-118.16328,,,2.773
34.09405,-118.1633,,,2.797
34.07004,-118.16361,,,2.644
34.08992,-118.16392,,,2.771
34.08426,-118.16582,2,,2.735
34.08396,-118.16582,2,,2.733
34.08227,-118.16585,,,2.722
34.07358,-118.16597,2,,2.666
34.08818,-118.166,,,2.761
34.08434,-118.16651,2,,2.736
34.08899,-118.16718,,,2.767
34.0852,-118.16824,,,2.742
34.08821,-118.16903,,,2.762
34.0875,-118.16954,,,2.758
34.11791,-118.17002,2,,2.818
34.11822,-118.17006,3,,2.818
34.08378,-118.17017,2,,2.733
34.11796,-118.17039,2,,2.818
34.0804,-118.17056,,,2.711
34.08788,-118.17071,,,2.761
34.0804,-118.17077,,,2.711
34.08835,-118.17085,,,2.764
34.08364,-118.1709,,,2.733
34.08379,-118.17157,,,2.734
34.11684,-118.17182,2,,2.819
34.07503,-118.17185,2,,2.675
34.08084,-118.17192,,,2.714
34.11591,-118.1723,2,,2.819
34.08756,-118.17236,,,2.759
34.11582,-118.17242,2,FWL3,2.819
34.08321,-118.17245,,,2.73
34.08315,-118.1726,,,2.73
34.0831,-118.17276,,,2.73
34.07063,-118.17288,2,,2.646
34.11713,-118.1733,,,2.818
34.11723,-118.17348,,,2.818
34.11574,-118.17378,2,,2.819
34.08671,-118.17395,,,2.754
34.07005,-118.17429,,,2.641
34.08634,-118.17467,,,2.752
34.069,-118.17469,3,,2.634
34.11582,-118.17502,,,2.819
34.06869,-118.17502,2,,2.632
34.08246,-118.17504,2,,2.726
34.0826,-118.17505,2,,2.727
34.11576,-118.17519,,,2.819
34.08971,-118.17519,,,2.775
34.08801,-118.17539,,,2.764
34.08629,-118.1754,,,2.752
34.08603,-118.17541,,,2.75
34.08009,-118.17596,,,2.71
34.08722,-118.176,,,2.759
34.08722,-118.176,,,2.759
34.11803,-118.1761,2,FWL3,2.816
34.11854,-118.17612,2,,2.816
34.11819,-118.17633,2,,2.816
34.08471,-118.17633,2,,2.741
34.11619,-118.1766,2,,2.818
34.11351,-118.17694,,,2.821
34.11966,-118.17712,3,,2.814
34.11985,-118.17727,,,2.814
34.11701,-118.17732,2,,2.817
34.11917,-118.1774,2,,2.815
34.11554,-118.17779,2,,2.819
34.11804,-118.17781,2,,2.816
34.11449,-118.17816,,,2.82
34.11415,-118.17818,,,2.821
34.11405,-118.17836,,,2.821
34.11369,-118.17837,,,2.821
34.11523,-118.17856,2,,2.819
34.09738,-118.17867,,,2.83
34.10932,-118.17894,,,2.829
34.089,-118.17899,,,2.772
34.11207,-118.17917,,,2.823
34.11367,-118.17937,2,,2.821
34.07554,-118.17972,,,2.678
34.11249,-118.17973,,,2.823
34.10946,-118.17987,,,2.829
34.11868,-118.18007,,,2.814
34.08814,-118.18015,,,2.767
34.07506,-118.18022,2,,2.675
34.11255,-118.18028,2,,2.823
34.0889,-118.1809,,,2.772
34.08121,-118.181,,,2.718
34.08853,-118.18149,3,,2.77
34.14091,-118.18159,2,,2.751
34.11365,-118.18225,2,,2.82
34.11285,-118.18323,2,,2.822
34.10672,-118.18389,,,2.842
34.1224,-118.18479,,,2.782
34.12174,-118.1849,2,,2.788
34.10514,-118.18506,,,2.85
34.12485,-118.18566,2,,2.757
34.12544,-118.18631,,,2.751
34.12504,-118.18657,,,2.755
34.1028,-118.18666,,,2.859
34.12671,-118.18678,,,2.738
34.10835,-118.18714,3,,2.836
34.1187,-118.18723,2,,2.805
34.11873,-118.18739,2,,2.805
34.12481,-118.18753,,,2.756
34.11876,-118.18755,2,,2.805
34.10752,-118.18765,,,2.84
34.1077,-118.18771,,,2.839
34.08889,-118.1878,,,2.775
34.1263,-118.18795,,,2.742
34.12469,-118.188,,,2.757
34.10753,-118.18802,3,FWL3,2.84
34.09067,-118.18802,,,2.788
34.12552,-118.18803,,,2.749
34.10752,-118.18806,3,FWL3,2.84
34.10705,-118.18807,2,,2.842
34.12625,-118.18815,,,2.742
34.12548,-118.18819,,,2.75
34.09066,-118.18841,,,2.788
34.12464,-118.18868,,,2.757
34.10996,-118.18889,2,,2.829
34.11974,-118.18928,3,,2.8
34.12444,-118.1893,,,2.759
34.13368,-118.18936,,,2.682
34.116,-118.18962,,,2.811
34.11741,-118.18986,2,,2.806
34.13823,-118.19063,,,2.645
34.11635,-118.19073,,,2.809
34.1078,-118.19084,2,,2.839
34.11621,-118.19102,,,2.809
34.10775,-118.19139,,,2.84
34.10525,-118.19185,2,,2.851
34.10838,-118.19187,2,,2.837
34.10504,-118.1926,2,,2.852
34.10568,-118.19262,2,,2.849
34.11176,-118.19282,2,,2.824
34.11606,-118.19301,2,FWL4,2.808
34.03668,-118.19321,2,FWL4,2.393
34.04875,-118.19324,,,2.479
34.06201,-118.19379,,,2.577
34.13309,-118.19391,,,2.686
34.10325,-118.19411,2,,2.86
34.1046,-118.19415,2,,2.854
34.0485,-118.19416,,,2.476
34.11399,-118.19422,3,,2.815
34.12035,-118.19436,,,2.789
34.11104,-118.1944,2,,2.827
34.05366,-118.19449,3,,2.514
34.11369,-118.19454,2,,2.816
34.14037,-118.19455,2,,2.646
34.11202,-118.19463,2,,2.823
34.06632,-118.19467,2,,2.609
34.10933,-118.19489,2,,2.834
34.11236,-118.1949,3,,2.821
34.06132,-118.19491,,,2.571
34.1199,-118.19502,,,2.791
34.11182,-118.19503,,,2.823
34.11417,-118.19506,,,2.814
34.14001,-118.19507,2,,2.633
34.10649,-118.19513,2,,2.846
34.10535,-118.19545,2,,2.851
34.11268,-118.19551,,,2.82
34.11252,-118.19557,3,,2.821
34.12097,-118.19573,,,2.782
34.04919,-118.19575,,,2.479
34.1098,-118.19613,2,,2.832
34.10645,-118.19616,2,,2.847
34.05872,-118.19655,,,2.55
34.10705,-118.19657,2,,2.844
34.05862,-118.19668,,,2.55
34.10362,-118.19672,2,,2.859
34.05893,-118.19705,,,2.552
34.1124,-118.19718,2,,2.821
34.11182,-118.19732,2,,2.823
34.10545,-118.19741,2,,2.852
34.04255,-118.19742,3,,2.43
34.05956,-118.19744,,,2.556
34.12039,-118.1977,,,2.784
34.10935,-118.1978,2,,2.835
34.10623,-118.19793,2,,2.848
34.0229,-118.19811,2,FWL3,2.286
34.10931,-118.1983,2,,2.835
34.10952,-118.19844,2,,2.834
34.10542,-118.19845,,,2.852
34.10708,-118.19846,2,,2.845
34.05284,-118.19848,,,2.504
34.04688,-118.19853,2,,2.46
34.13977,-118.19882,2,,2.636
34.02407,-118.19936,2,,2.293
34.07074,-118.19959,3,,2.641
34.03863,-118.19992,,,2.399
34.10402,-118.20022,3,,2.858
