Index,X,Z
L1-2S-60X30-GWB,0,0
L1-3S-60X30-GWB,0,0
L1-2S-100X30-GWB,0,0
L1-3S-100X30-GWB,0,0
L1-2S-60X30-HWS,0,0
L1-3S-60X30-HWS,0,0
L1-2S-100X30-HWS,0,0
L1-3S-100X30-HWS,0,1
L2-2S-60X50-GWB,0,0
L2-3S-60X50-GWB,0,0
L2-2S-100X50-GWB,0,0
L2-3S-100X50-GWB,0,0
L2-2S-60X50-HWS,1,0
L2-3S-60X50-HWS,1,0
L2-2S-100X50-HWS,1,0
L2-3S-100X50-HWS,1,0
L3-2S-50X30-GWB,0,0
L3-3S-50X30-GWB,0,0
L3-2S-80X30-GWB,0,0
L3-3S-80X30-GWB,0,0
L3-2S-50X30-HWS,0,0
L3-3S-50X30-HWS,0,0
L3-2S-80X30-HWS,0,1
L3-3S-80X30-HWS,0,1
L4-2S-60X50-GWB,0,0
L4-3S-60X50-GWB,1,0
L4-2S-100X50-GWB,1,0
L4-3S-100X50-GWB,1,0
L4-2S-60X50-HWS,1,0
L4-3S-60X50-HWS,1,0
L4-2S-100X50-HWS,1,1
L4-3S-100X50-HWS,1,1
