Index,0,1,2,3,4,5,6,7
L1-2S-60X30-GWB,1.362610393,1.393983015,1.408457694,1.416859047,1.445880602,1.479971257,1.495192299,1.519380671
L1-3S-60X30-GWB,1.191384016,1.257915194,1.264266344,1.243591966,1.260867545,1.245647918,1.206621943,1.206621943
L1-2S-100X30-GWB,1.100296467,1.100748793,1.104307009,1.099831703,1.110010175,1.105322699,1.131139678,1.138091638
L1-3S-100X30-GWB,0.880530809,0.887962497,0.92505689,0.952377433,0.942385938,0.98477867,0.979318111,1.007787354
L1-2S-60X30-HWS,1.665090041,1.716991225,1.727340953,1.722317298,1.76056466,1.790199646,1.83575615,1.88889129
L1-3S-60X30-HWS,1.581241053,1.471605976,1.450972044,1.454445668,1.426614376,1.435625078,1.407950094,1.407950094
L1-2S-100X30-HWS,1.258415381,1.284430803,1.277614377,1.281267486,1.286418629,1.284915614,1.311478919,1.314187051
L1-3S-100X30-HWS,1.135804019,1.146161248,1.190322689,1.187645858,1.178127441,1.174218355,1.191768777,1.180268482
L2-2S-60X50-GWB,1.210708064,1.2306856,1.26605513,1.269934401,1.282555798,1.336254407,1.336254407,1.360208483
L2-3S-60X50-GWB,0.950106992,0.982352254,0.936755121,0.938655007,0.944156085,0.958925949,0.980627091,1.01170325
L2-2S-100X50-GWB,1.043735867,1.092528969,1.105106332,1.110123843,1.115908268,1.141096839,1.175455506,1.222239153
L2-3S-100X50-GWB,0.843311115,0.863177012,0.913654852,0.923676005,0.941107324,0.915401049,0.94372208,0.934164058
L2-2S-60X50-HWS,1.475505453,1.496825665,1.538770781,1.578833919,1.626013041,1.669248717,1.669248717,1.727899518
L2-3S-60X50-HWS,1.182067735,1.225994923,1.228137324,1.222785684,1.256814456,1.267857231,1.279616165,1.271771292
L2-2S-100X50-HWS,1.276270787,1.333817312,1.337038154,1.34964014,1.407784481,1.435670908,1.504809793,1.559459702
L2-3S-100X50-HWS,1.141883851,1.176900051,1.21751734,1.191919785,1.155687041,1.166701179,1.164816777,1.126865074
L3-2S-50X30-GWB,1.28530373,1.28530373,1.296442356,1.31007903,1.327386562,1.340760667,1.328734764,1.315760824
L3-3S-50X30-GWB,1.023853402,1.026414808,1.058637673,1.067001859,1.0619932,1.080480378,1.077032887,1.054433852
L3-2S-80X30-GWB,1.227505048,1.227505048,1.231300075,1.244172235,1.254507478,1.274362941,1.266482242,1.263010561
L3-3S-80X30-GWB,0.997831654,1.006167995,0.993946468,0.999403078,0.994095171,0.999468594,0.993000701,0.969468324
L3-2S-50X30-HWS,1.509100982,1.509100982,1.498603723,1.504013011,1.531682673,1.538773539,1.541682531,1.537329812
L3-3S-50X30-HWS,1.281443823,1.276159905,1.246281537,1.242607478,1.242607478,1.242792513,1.242792513,1.24133324
L3-2S-80X30-HWS,1.490259197,1.490259197,1.496117986,1.498076026,1.505373554,1.509875853,1.512972364,1.495869148
L3-3S-80X30-HWS,1.229145892,1.218994021,1.21650035,1.218269951,1.206109502,1.219636884,1.221728436,1.217535645
L4-2S-60X50-GWB,1.175161779,1.183980119,1.183980119,1.194968083,1.202980884,1.202980884,1.202980884,1.204991412
L4-3S-60X50-GWB,0.974610722,0.989352894,0.989352894,0.989571896,1.001195277,1.008276109,1.02321205,1.026243766
L4-2S-100X50-GWB,1.012743264,1.012743264,1.015075009,1.015075009,1.020822894,1.020822894,1.033629055,1.033629055
L4-3S-100X50-GWB,0.840063302,0.845347592,0.86497774,0.86497774,0.864134216,0.867402778,0.883265132,0.898388239
L4-2S-60X50-HWS,1.379260831,1.39901615,1.39901615,1.411907133,1.437758444,1.437758444,1.437758444,1.448314989
L4-3S-60X50-HWS,1.227487242,1.261405152,1.261405152,1.272453348,1.276594223,1.301548313,1.298764826,1.303979246
L4-2S-100X50-HWS,1.190176441,1.190176441,1.184149999,1.184149999,1.18904603,1.18904603,1.197208421,1.197208421
L4-3S-100X50-HWS,0.999630196,1.006665201,1.017684971,1.017684971,1.019092807,1.056106227,1.080537799,1.098067957
