NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.517656629,1.407212816
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.751067616,1.447859092
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,1.785524876,1.59904548
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.078760985,1.502954223
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.209512142,1.310090048
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.343321668,1.328043811
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.356570919,1.359292016
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.503422198,1.430727288
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.306343765,1.204266088
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.419483543,1.511511607
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335463387,1.283887778
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339081936,1.711560076
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.267524216,1.283653117
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.36565285,1.712900362
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309562891,1.449672749
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311869211,1.973219636
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999998141,1.364661899
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.000099049,1.49264375
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.999996813,1.475479315
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000143961,1.475697906
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000000983,1.278927741
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000103065,1.426089048
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000035591,1.344509515
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000159271,1.341651613
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.09267568,1.087017473
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.122763735,1.137331586
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.12663357,1.116193518
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.176471152,1.192983411
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.052524003,1.07886085
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.07178312,1.125804667
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.06357224,1.094441645
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.087558495,1.142573649
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.641654343,1.434123362
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.915296212,1.496764707
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,1.931749734,1.648634288
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.11665063,1.502842889
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.26235025,1.334226491
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.422389169,1.358925194
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.407384145,1.377258938
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.569745098,1.451372064
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.341479079,1.204270046
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.482514082,1.511514231
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335592483,1.359425013
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339214908,1.867569169
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.284502265,1.360239133
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.383880472,1.867741531
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309503743,1.490775117
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311832174,2.028299441
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999998141,1.364661899
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.000099049,1.49264375
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.999997727,1.529034788
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000161015,1.475634276
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000000983,1.278927741
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000103065,1.426089048
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000034623,1.368336364
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000183084,1.341652588
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.109335173,1.101290338
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.155764882,1.171029904
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.148933227,1.134621079
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.222987864,1.236550953
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.052524003,1.07886085
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.07178312,1.125804667
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.072270565,1.104509433
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.099606545,1.167422601
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.641659337,1.473569775
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.915295634,1.569749908
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.090340708,1.665412617
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.116504863,1.502829211
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.262350024,1.367412898
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.422388462,1.404124884
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.465890134,1.406131387
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.630038483,1.451346723
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.363501739,1.243111686
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.477968757,1.631971584
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335358614,1.35942619
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339102659,1.867571477
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.332052626,1.360254209
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.470087632,1.86774157
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309563169,1.594949532
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311894948,2.228096156
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999998273,1.38685247
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.00010858,1.483391584
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000000791,1.583529936
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000185518,1.475653018
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000008615,1.292514296
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.00011727,1.40954808
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000034358,1.395282404
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000200645,1.341676217
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.109335173,1.101290338
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.155764882,1.171029904
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.148933227,1.134621079
