,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-60x30-S2-GS_Variated1_1,1,138.0,0.8110072681159419,0.0187797,0.00820683,0.115108,0.011621002074032948
Building_T1-60x30-S2-GS_Variated1_2,1,138.0,0.9458344036231884,0.0157487,0.00695892,0.108208,0.011221234949153731
Building_T1-60x30-S2-GS_Variated1_3,1,138.0,0.9541040202898551,0.0175314,0.00803447,0.11843,0.012522081151395487
Building_T1-60x30-S2-GS_Variated1_4,1,138.0,0.8118834869565217,0.0131934,0.00676091,0.0994499,0.007810633545986472
Building_T1-60x30-S2-GS_Variated1_5,1,138.0,0.9745314855072463,0.017787,0.00845297,0.121222,0.012715524148814984
Building_T1-60x30-S2-GS_Variated2_1,1,152.0,0.8714696263157894,0.018168,0.00847464,0.121629,0.011961063569932933
Building_T1-60x30-S2-GS_Variated2_2,1,152.0,0.7203543309210527,0.012793,0.00591861,0.0994262,0.006992271929130144
Building_T1-60x30-S2-GS_Variated2_3,1,152.0,0.7863760368421052,0.0200446,0.00949983,0.11185,0.011848703025941366
Building_T1-60x30-S2-GS_Variated2_4,1,152.0,0.9083067138157895,0.0178246,0.00869199,0.122229,0.011673254231583557
Building_T1-60x30-S2-GS_Variated2_5,1,152.0,0.8565588230263158,0.0171237,0.00722953,0.107464,0.011236088119234416
Building_T1-60x30-S2-GS_Variated3_1,1,154.0,0.8236988707792207,0.0149158,0.00785414,0.111318,0.00887817132082453
Building_T1-60x30-S2-GS_Variated3_2,1,154.0,0.6682228525974026,0.0150571,0.00617489,0.104338,0.007695297637499004
Building_T1-60x30-S2-GS_Variated3_3,1,154.0,0.7976231564935065,0.0135043,0.00702213,0.110293,0.0076955869978726716
Building_T1-60x30-S2-GS_Variated3_4,1,154.0,0.8127750545454546,0.0161414,0.00726135,0.118485,0.009817095879493294
Building_T1-60x30-S2-GS_Variated3_5,1,154.0,0.686482551948052,0.0133926,0.00629208,0.0893631,0.0068160288872645405
Building_T1-60x30-S2-GS_Variated4_1,1,151.0,0.786326794039735,0.0166868,0.0071972,0.103359,0.010120816890084004
Building_T1-60x30-S2-GS_Variated4_2,1,151.0,0.7597095172185431,0.0171132,0.00731794,0.104836,0.010142538907402729
Building_T1-60x30-S2-GS_Variated4_3,1,151.0,0.6422532072847682,0.0131863,0.00741946,0.0858469,0.005950750103278239
Building_T1-60x30-S2-GS_Variated4_4,1,151.0,0.8967649271523179,0.0176525,0.00776551,0.122942,0.011981631444816824
Building_T1-60x30-S2-GS_Variated4_5,1,151.0,0.819452734437086,0.0150861,0.00741032,0.111536,0.009070771141739844
Building_T1-60x30-S2-GS_Variated5_1,1,143.0,0.8964105727272728,0.0174523,0.00820197,0.10882,0.011633342962486123
Building_T1-60x30-S2-GS_Variated5_2,1,143.0,0.8840788195804197,0.0157054,0.00691124,0.104499,0.010509411655234708
Building_T1-60x30-S2-GS_Variated5_3,1,143.0,0.8826197804195803,0.0141685,0.0067661,0.104622,0.009237184809039699
Building_T1-60x30-S2-GS_Variated5_4,1,143.0,0.8069462538461538,0.0135291,0.00547785,0.0980454,0.008535400592083991
