Index,Slight,Moderate,Severe,Complete
L1-2S-60X30-GWB,0.534487489,0.858621139,0.995290078,1.007680873
L1-3S-60X30-GWB,0.383632224,0.590722832,0.653415882,0.656124216
L1-2S-100X30-GWB,0.4798069,0.755295293,0.848466906,0.855293111
L1-3S-100X30-GWB,0.329626293,0.525785276,0.554106627,0.554106627
L1-2S-60X30-HWS,0.4294116,0.721999057,0.926911179,0.984835128
L1-3S-60X30-HWS,0.270131272,0.441028229,0.544898869,0.553788037
L1-2S-100X30-HWS,0.368779281,0.649198739,0.821709359,0.849990224
L1-3S-100X30-HWS,0.263650965,0.423751362,0.509560304,0.517118202
L2-2S-60X50-GWB,0.499733203,0.813122736,0.899684811,0.912773634
L2-3S-60X50-GWB,0.365749561,0.580578924,0.630705835,0.630705835
L2-2S-100X50-GWB,0.434857253,0.693934159,0.712205401,0.712205488
L2-3S-100X50-GWB,0.295864217,0.4343163,0.457718581,0.457718581
L2-2S-60X50-HWS,0.356971634,0.626894841,0.8224938,0.882462411
L2-3S-60X50-HWS,0.243821183,0.404622822,0.481474746,0.500428804
L2-2S-100X50-HWS,0.295082774,0.489030404,0.629212252,0.657127224
L2-3S-100X50-HWS,0.169799659,0.306020455,0.336411626,0.340065385
L3-2S-50X30-GWB,0.549856756,0.936346027,1.142910517,1.161478163
L3-3S-50X30-GWB,0.403162215,0.66624022,0.774999227,0.790834503
L3-2S-80X30-GWB,0.581886374,0.944879444,1.114055884,1.134104813
L3-3S-80X30-GWB,0.456587294,0.719993563,0.792593615,0.81088422
L3-2S-50X30-HWS,0.477551973,0.822562721,1.071448752,1.173860614
L3-3S-50X30-HWS,0.341819425,0.587386573,0.748284535,0.794029324
L3-2S-80X30-HWS,0.39463687,0.725192057,0.965816553,1.068750253
L3-3S-80X30-HWS,0.285951957,0.493797437,0.627735608,0.689785501
L4-2S-60X50-GWB,0.70968035,1.061561214,1.16639524,1.17337053
L4-3S-60X50-GWB,0.47393532,0.709674264,0.765170874,0.765267613
L4-2S-100X50-GWB,0.603137437,0.910191004,0.982640933,0.982821043
L4-3S-100X50-GWB,0.469934697,0.682429426,0.697360521,0.697599758
L4-2S-60X50-HWS,0.502627129,0.836991075,1.11234857,1.195955657
L4-3S-60X50-HWS,0.398324048,0.616174075,0.735861047,0.787392083
L4-2S-100X50-HWS,0.415368447,0.703874362,0.922910322,0.97932742
L4-3S-100X50-HWS,0.302512181,0.487037948,0.613630048,0.6317917
