,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost,existing fatality,optimized fatality,ordinance
0,33.86689,-117.85707,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,55642.80622,0.028680351,0.028680351,0.026046762
1,34.09741,-118.1557,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,17749.12879,0.038699864,0.03221933,0.035826889
2,34.09702,-118.15594,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,27035.67585,0.038270624,0.031832982,0.035384968
3,34.09586,-118.15734,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,56695.16172,0.038001737,0.0326094,0.035062351
4,34.09648,-118.15982,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,15709.8203,0.037324697,0.032441256,0.034355975
5,34.0955,-118.16032,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,60868.60751,0.03789453,0.032768831,0.034866967
6,34.09851,-118.16205,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,20580.39166,0.038764627,0.033942789,0.035791797
7,34.09584,-118.16215,3,L3,GWB,80X30,7200,L3-3S-80X30-GWB,7,46224.27087,0.038039121,0.033578199,0.035026927
8,34.09761,-118.16219,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,37836.63797,0.038483855,0.03410102,0.035503608
9,34.09423,-118.16219,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,37949.08232,0.037920751,0.033544031,0.034898641
10,34.07958,-118.16266,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,31852.51625,0.037757353,0.032194747,0.034604629
11,34.07398,-118.16302,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,17871.55687,0.037042494,0.030948998,0.034011597
12,34.09019,-118.16328,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,56383.97569,0.03777381,0.032925482,0.034697085
13,34.09405,-118.1633,2,L1,HWS,100X30,6000,L1-2S-100X30-HWS,6,34053.53814,0.037897349,0.033307477,0.034774196
14,34.07004,-118.16361,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,47050.79355,0.035441953,0.031078957,0.032426934
15,34.08992,-118.16392,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,48916.57356,0.03740268,0.032694985,0.034324514
16,34.08426,-118.16582,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,58502.75227,0.038394506,0.033197362,0.035291956
17,34.08396,-118.16582,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,37865.86244,0.038126549,0.033138478,0.034998381
18,34.08227,-118.16585,3,L4,HWS,100X50,15000,L4-3S-100X50-HWS,15,71636.44125,0.038849644,0.033532256,0.035650659
19,34.07358,-118.16597,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,26296.47983,0.038507606,0.033548221,0.035492189
20,34.08818,-118.166,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,25208.52153,0.037936374,0.033867157,0.034848498
21,34.08434,-118.16651,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,36548.68591,0.038340611,0.033349945,0.035224672
22,34.08899,-118.16718,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,33484.91733,0.038196816,0.033894186,0.035052864
23,34.0852,-118.16824,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,17817.94789,0.038620533,0.033944666,0.035464963
24,34.08821,-118.16903,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,30512.37161,0.038234204,0.033751618,0.035125384
25,34.0875,-118.16954,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,45184.64764,0.037511329,0.03299926,0.034384039
