X Diff,Z Diff,Xpeakstrength,Zpeakstrength
6.9204448,-15.222232,1.750542937,1.699198474
-6.3806482,-33.8283767,1.964632977,1.986635091
-6.0434428,-34.9695838,1.958131036,2.003207172
15.8526536,-15.3431502,1.606403616,1.705399638
-17.4060298,-37.788574,2.143990017,2.046112456
-8.1535958,-35.7666122,1.994255437,2.017641641
20.7841412,-12.7970873,1.528740924,1.669274488
-3.5508164,-22.8323866,1.919993155,1.818179766
-20.2607478,-41.3658495,2.192053844,2.104142453
-8.3902978,-33.5001701,2.000686988,1.983869574
-4.267189,-30.1528551,1.933999713,1.935286487
25.6358728,-6.2095483,1.449263915,1.568136615
6.1035652,-26.1371951,1.76735764,1.874471209
1.891291,-28.4705874,1.833637311,1.908838356
24.0473994,-9.021542,1.475753569,1.612122169
-0.1921858,-22.0385749,1.865779171,1.798611174
4.7419068,-18.0193661,1.785842653,1.742181485
22.4758688,-0.2834633,1.498904194,1.473432607
-11.7087394,-38.714733,2.048466288,1.798587993
0.0251196,-27.0405919,1.860622813,1.798583604
-12.0821528,-31.4899409,2.057095497,1.947980175
-2.5262398,-29.7265002,1.901157313,1.922134345
-0.0253216,-29.5178576,1.861009679,1.920459322
20.2009762,-18.6965433,1.53304805,1.75496705
1.3198178,-18.1103975,1.837202713,1.741309149
0.2842318,-18.809916,1.856443475,1.756211961
-18.4968372,-39.0977349,2.158627564,1.978191642
-11.3964494,-32.6746115,2.046420936,1.966820825
25.725403,-11.1916132,1.447527199,1.644036385
3.6106758,-14.2511811,1.802836526,1.682887892
-8.964366,-28.7283827,2.008422809,1.909942593
21.428102,-5.482797,1.51847104,1.55664469
-8.9658202,-29.6792735,2.008996683,1.923675968
13.1156612,-11.723669,1.653152429,1.652885128
9.5958894,-20.6194997,1.710059865,1.789042821
24.950044,-6.2745629,1.460338127,1.568012447
20.5126412,-15.9236785,1.535148937,1.715923921
-3.9672572,-29.6043702,1.92671352,1.923325514
22.5974508,-2.4454069,1.495582893,1.507527969
27.0652848,2.5071174,1.423290559,1.42956844
-0.3635308,-26.6621372,1.86478383,1.873780108
26.3327552,0.2436086,1.435787242,1.464264254
-1.824537,-22.2816176,1.889506399,1.803202036
-10.3219718,-35.9304464,2.02805719,2.018387723
26.8425944,-1.8375524,1.424946344,1.496017834
23.4981818,-10.0439663,1.480724823,1.623422659
-16.8202622,-38.4870548,2.134243568,1.816800658
-20.0673018,-43.1880517,2.18736942,1.816796539
-13.2583482,-36.8032974,2.075574693,1.816809216
14.4788166,-16.7796856,1.629466875,1.729708061
-4.4072418,-29.0896382,1.949336109,1.934389989
28.4698216,-1.2155417,1.408260859,1.506021814
-15.4027976,-41.0511764,2.132519457,2.100831842
15.4969642,-10.1447234,1.620032184,1.63925208
24.0786382,-14.0582423,1.495754867,1.706320632
23.499602,-10.5114833,1.488848597,1.653827282
-21.3484458,-36.0450192,2.235333107,2.046735899
-15.0748088,-31.8941996,2.120546223,1.975287957
-12.9749692,-37.6564013,2.093078979,2.078276905
3.8419592,-20.287996,1.808153501,1.793710834
-8.9659762,-24.0684816,1.797372867,1.428316486
-14.9960208,-38.602964,1.797178372,1.428321503
14.0626776,-8.5808034,1.645678572,1.42845296
24.8645204,-1.085182,1.463323217,1.428304772
-19.0265396,-31.9095166,1.797183866,1.428316592
25.7056702,-1.1737704,1.449403646,1.500574455
25.7995042,1.8002982,1.449492588,1.449625101
2.1275592,-19.11785,1.832872457,1.59685749
-19.5530088,-32.5253948,2.007769726,1.596867103
7.5105822,-23.1799578,1.745222805,1.596851869
17.1707554,-8.5694288,1.59696633,1.62137414
1.0067786,-25.4132214,1.869264151,1.783483025
4.26333,-17.119902,1.813117132,1.753461065
-13.8630902,-34.6411358,2.111037894,1.783490408
16.0283372,-14.4922772,1.621430256,1.730058889
-19.051302,-41.0365174,1.837765585,1.461063414
-12.6854624,-26.3292552,1.837685238,1.461059997
21.1943792,-6.7692814,1.526468995,1.461069372
20.8866267,-11.0649223,1.553089449,1.461075042
-17.9907364,-40.93376,1.837678219,1.461055715
-11.5721458,-38.6080287,2.051205223,2.069778035
29.1131512,-1.9773853,1.38215466,1.504363651
-19.367853,-37.4325793,2.191099042,2.052220891
-15.3443298,-35.3139543,2.129466519,2.026637795
3.6868362,-19.5649906,1.801642822,1.768060907
-13.1219846,-33.7737354,1.526173431,1.211968233
22.2161662,-1.939734,1.505144975,1.211956535
-17.3384568,-38.5028446,1.526336726,1.211967042
5.7221672,-20.80288,1.526172926,1.2119741
-11.1621048,-32.9287898,1.526275593,1.211965888
-3.7842306,-21.1366522,1.65005988,1.311502384
-9.6465818,-33.394209,1.65022502,1.311504662
21.2922818,-9.4340366,1.538378968,1.311513126
20.8815994,-8.0494438,1.549717113,1.311513196
27.8952082,-3.0030924,1.410493415,1.311512966
-14.0051778,-38.2471998,2.109981615,1.794068998
11.7962228,-17.7825972,1.68524722,1.773342697
25.3714766,-6.909331,1.462395542,1.603599756
5.2477658,-20.220643,1.79701766,1.794063265
-16.0304284,-30.7391203,2.147475094,1.794081037
1.05894,-13.965399,1.540168116,1.536605362
-37.705738,-30.579618,1.854784235,1.771994564
11.022544,-7.808742,1.46083954,1.448984654
17.231042,-4.89539,1.409127521,1.406478655
-57.995095,-41.584657,2.016199656,1.895749389
1.533882,-19.5401916,1.540578328,1.622200312
11.3398242,-16.2770828,1.463671371,1.576204591
-71.381079,-47.6600758,2.129273224,2.018088113
-62.003516,-45.9851514,2.053708294,1.994989626
-34.036364,-34.4602014,1.82825249,1.832948745
15.222583,-4.914533,1.422833379,1.403154466
13.679972,-5.704421,1.433796466,1.411319079
-61.87922,-42.973329,1.955004202,1.695639709
-36.866393,-29.7923024,1.843323634,1.695721158
-42.764768,-33.261893,1.888735624,1.695698506
-25.107578,-26.648327,1.751836227,1.71696697
-66.227402,-45.228706,2.083589514,1.97787956
11.820872,-6.1197214,1.455205506,1.427443264
-79.096822,-51.044179,2.187703342,2.059408908
-42.53534,-34.202799,1.891598409,1.820770449
-20.555537,-21.545379,1.717406824,1.64792199
-50.052223,-35.325882,1.928114802,1.674121186
-0.99307,-13.222721,1.559682727,1.531136146
-78.258322,-48.007537,1.928156968,1.674151248
3.246044,-9.022306,1.524186215,1.468913733
-54.886949,-42.069289,1.989622464,1.924405214
-24.688094,-29.636896,1.748182018,1.754474372
-70.715607,-51.489755,2.118358011,2.060852817
-23.320627,-29.4540384,1.736966775,1.751502931
15.5664334,-13.5133828,1.42678172,1.528900689
-75.782735,-50.408565,2.162467829,2.053359663
-67.865114,-45.911974,2.097251266,1.98677965
-37.944859,-31.1270282,1.857550015,1.781906097
-64.890234,-44.064628,2.072860123,1.959768398
2.871732,-10.227098,1.5276478,1.48493854
-33.095867,-29.502224,1.816062135,1.753956682
-74.20742,-47.8067992,2.149658429,2.016401568
-21.365951,-24.087997,1.722379233,1.679570147
2.68328,-12.974976,1.52865416,1.523395277
-22.299538,-23.046287,1.728834011,1.662216722
-79.343778,-54.642331,2.1919527,2.113846835
13.8330518,-14.3757612,1.443357559,1.54888308
-6.153816,-20.9421986,1.601998461,1.640482501
-78.698133,-53.9952958,2.187754859,2.10691254
-53.504039,-42.8871676,1.98346181,1.948285445
-13.472257,-23.2703808,1.658928884,1.667661387
-62.706576,-45.2777194,2.056841809,1.979933172
-22.219668,-26.4462842,1.730374288,1.716068107
-27.789722,-30.380657,1.773186165,1.767627906
-50.927731,-41.670812,1.960872018,1.927340231
-66.897859,-52.8191174,1.516795177,1.33185978
-20.144199,-29.150839,1.516663019,1.331722595
-15.692592,-28.877914,1.516717975,1.331743191
-35.118568,-37.4349506,1.516548809,1.331714875
-69.616483,-49.555501,1.516704614,1.331714384
-47.617651,-42.921975,1.607894448,1.417201104
-43.480799,-42.6704038,1.607945756,1.417203253
10.584273,-12.2323458,1.464903097,1.417338363
-0.206728,-15.123248,1.560587802,1.417383858
-52.079923,-41.1957164,1.607752091,1.417194745
-38.4601658,-39.6136946,1.452189198,1.278870374
-71.1022444,-52.2624212,1.451953271,1.278876314
-17.312663,-29.5131172,1.45218402,1.2788759
-58.100201,-44.6670682,1.452067645,1.278859654
-3.46027,-23.997023,1.452024084,1.278871802
11.450116,-10.2496644,1.465358063,1.375648527
-34.805091,-35.4637746,1.56067581,1.375404251
0.280319,-24.9262654,1.554796668,1.375411824
4.0680718,-24.2323114,1.537179878,1.375393468
-77.253319,-60.2151046,1.560599129,1.375402392
-18.164404,-23.893712,1.317732068,1.1566156
-42.901453,-38.6715616,1.317785298,1.156627594
-51.677128,-39.254002,1.317766483,1.156619762
-39.499281,-34.3313066,1.31769492,1.156624186
-3.169907,-19.537107,1.317665228,1.156615237
-59.661539,-53.1215318,1.468596973,1.291594008
-32.021198,-30.2710122,1.46859414,1.291604382
15.265643,-15.0548703,1.440225918,1.291601979
-54.803399,-39.9283404,1.468636462,1.291593862
-24.201731,-26.1935586,1.468624686,1.291596016
-21.586523,-30.221032,1.714882597,1.512588358
-6.135125,-16.9425624,1.606259795,1.512495601
-41.886761,-37.31594,1.714932397,1.512487771
-76.010803,-58.0725908,1.714965193,1.512489855
-31.785255,-33.030845,1.714841798,1.512485667
-68.419807,-49.2659886,2.036172707,1.803378164
-74.175429,-54.48371,2.036136521,1.803273744
19.940575,-11.7582548,1.391682251,1.541734287
-59.279723,-44.112986,2.036016423,1.803270735
-60.799041,-44.92543,2.036022077,1.803272476
-15.853883,-21.5049588,1.683696189,1.669630281
-39.380916,-39.3162094,1.881468349,1.93522033
-61.514132,-50.8950596,2.061505353,2.090279687
-0.585468,-16.0697914,1.56381285,1.601093793
-17.679442,-29.6870432,1.704758282,1.803018221
12.8361204,-18.7366745,1.465802805,1.654415208
-6.990836,-25.5460096,1.6171747,1.68747544
8.561546,-12.8389164,1.488175539,1.553618936
-25.781145,-32.5995406,1.772604042,1.687461117
-52.003714,-41.0773428,1.907030024,1.687345742
-17.8941302,-37.0296866,2.052375793,1.453415677
9.9649148,-17.8516566,1.468210363,1.453415492
1.8667528,-28.9898104,1.637604249,1.453422317
9.18658,-17.652697,1.487478469,1.453412025
3.1266348,-19.2513972,2.052427469,1.453585437
-22.5514022,-43.7601452,4.033121741,2.863409788
-5.5353626,-31.6716646,1.785969017,1.848231591
-19.1348262,-41.9912172,2.061918521,2.004954233
2.4196958,-21.8874004,1.617396085,1.63099817
81.7995108,56.0397918,4.033094039,2.863398884
-1.5463402,56.0397918,1.774549026,1.255166141
-3.3035682,-28.3624172,1.746704006,1.255178995
-11.2371542,-37.6523636,1.774882444,1.25518611
-9.9181944,-38.644702,1.774842342,1.255177084
-22.2848692,-50.1434882,1.774773675,1.255180923
81.7995108,56.0397918,1.909111305,1.35044934
-11.3230884,-42.4718062,1.909069478,1.350460538
-14.2276576,-39.2770742,1.908991068,1.350433384
-20.0285052,-44.513736,1.909064511,1.350439953
81.7995108,56.0397918,1.909012792,1.35046176
