Index,X Inc Force,Z Inc Force
L1-2S-60X30-GWB,45.56689343,31.99599543
L1-3S-60X30-GWB,80.93254308,43.52209446
L1-2S-100X30-GWB,36.76917361,27.06038264
L1-3S-100X30-GWB,78.29433176,29.11021616
L1-2S-60X30-HWS,51.73622185,29.13202699
L1-3S-60X30-HWS,52.38050613,22.57356579
L1-2S-100X30-HWS,47.41183535,20.7590271
L1-3S-100X30-HWS,70.9685108,20.5007053
L2-2S-60X50-GWB,43.95983713,27.11085123
L2-3S-60X50-GWB,35.34258147,37.29938274
L2-2S-100X50-GWB,64.04495338,37.46285163
L2-3S-100X50-GWB,55.67216843,65.94539323
L2-2S-60X50-HWS,51.578938,47.80294557
L2-3S-60X50-HWS,24.90755967,51.86673325
L2-2S-100X50-HWS,78.29929479,52.16313258
L2-3S-100X50-HWS,39.15939941,63.1366408
L3-2S-50X30-GWB,0,23.08050381
L3-3S-50X30-GWB,0,29.89980081
L3-2S-80X30-GWB,0,27.421467
L3-3S-80X30-GWB,0,33.46004038
L3-2S-50X30-HWS,0,26.79726809
L3-3S-50X30-HWS,0,19.72136118
L3-2S-80X30-HWS,0,28.72874757
L3-3S-80X30-HWS,0,17.16422061
L4-2S-60X50-GWB,13.55536754,15.8381707
L4-3S-60X50-GWB,17.09436241,19.62649125
L4-2S-100X50-GWB,13.18510865,14.86291495
L4-3S-100X50-GWB,16.78638899,17.70305187
L4-2S-60X50-HWS,16.29993346,19.87917943
L4-3S-60X50-HWS,19.7803277,22.26545096
L4-2S-100X50-HWS,13.09993181,17.58236302
L4-3S-100X50-HWS,16.68541284,18.72785232
