Index,Xinc_Median,Xinc_Max,Zinc_Med,Zinc_Max
L1-2S-60X30-GWB,40.40003,56.210313,31.9960726,34.6398796
L1-3S-60X30-GWB,74.000598,80.931629,43.5222938,49.9427448
L1-2S-100X30-GWB,35.271963,53.086017,27.060396,29.608333
L1-3S-100X30-GWB,70.283977,98.405433,29.110387,31.131032
L1-2S-60X30-HWS,44.130428,63.240737,26.8075856,31.0266956
L1-3S-60X30-HWS,52.380527,52.383117,22.573572,22.57348
L1-2S-100X30-HWS,41.445111,57.237251,20.256562,23.041369
L1-3S-100X30-HWS,70.968598,70.953996,20.50084,20.500016
L2-2S-60X50-GWB,43.000469,61.097267,26.741792,36.467665
L2-3S-60X50-GWB,35.342585,35.358268,35.606217,53.300267
L2-2S-100X50-GWB,62.889966,91.723479,35.711901,53.353328
L2-3S-100X50-GWB,55.671567,55.650926,60.030224,82.475638
L2-2S-60X50-HWS,45.140151,66.144799,40.506612,46.400833
L2-3S-60X50-HWS,24.907583,24.90374,44.222489,62.319614
L2-2S-100X50-HWS,68.085457,98.587599,44.435366,63.59367
L2-3S-100X50-HWS,39.159284,39.166469,63.136612,63.137987
L3-2S-50X30-GWB,0,0,22.627385,29.939429
L3-3S-50X30-GWB,0,0,29.443681,37.976682
L3-2S-80X30-GWB,0,0,27.423084,33.321386
L3-3S-80X30-GWB,0,0,33.459829,33.471034
L3-2S-50X30-HWS,0,0,24.046799,32.336141
L3-3S-50X30-HWS,0,0,19.72125,19.719532
L3-2S-80X30-HWS,0,0,25.07933,32.825989
L3-3S-80X30-HWS,0,0,17.164171,17.165522
L4-2S-60X50-GWB,13.555148,17.067256,15.837985,19.492441
L4-3S-60X50-GWB,17.093944,24.248431,19.626175,26.354292
L4-2S-100X50-GWB,13.184882,16.771268,14.862775,17.690497
L4-3S-100X50-GWB,16.786688,24.211374,17.703186,23.236944
L4-2S-60X50-HWS,15.249785,19.409748,17.673087,20.974299
L4-3S-60X50-HWS,18.564709,20.368199,20.168823,27.64676
L4-2S-100X50-HWS,13.099976,17.357037,16.153043,19.589057
L4-3S-100X50-HWS,16.685265,25.464197,17.859225,25.03618
