Index,Xpeakstrength,Zpeakstrength
Building_T1-60x30-S2-GS_Existing1,0.351732991,0.372794454
Building_T1-60x30-S2-GS_Existing2,0.30514239,0.32325398
Building_T1-60x30-S2-GS_Existing3,0.198563866,0.209326429
Building_T1-60x30-S2-GS_Existing4,0.168932602,0.177715499
Building_T1-60x30-S2-GS_Existing5,0.239269089,0.252269689
Building_T1-60x30-S2-GS_Existing6,0.197767835,0.208292483
Building_T1-60x30-S2-GS_Existing7,0.258932016,0.273391379
Building_T1-60x30-S2-GS_Existing8,0.187073242,0.196515048
Building_T1-60x30-S2-GS_Existing9,0.216771784,0.228447114
Building_T1-60x30-S2-GS_Existing10,0.170508901,0.178869938
Building_T1-60x30-S3-GS_Existing1,0.156284214,0.163908294
Building_T1-60x30-S3-GS_Existing2,0.179402188,0.188723622
Building_T1-60x30-S3-GS_Existing3,0.116863559,0.122119093
Building_T1-60x30-S3-GS_Existing4,0.114852466,0.119966207
Building_T1-60x30-S3-GS_Existing5,0.152018096,0.159741017
Building_T1-60x30-S3-GS_Existing6,0.112191037,0.117366842
Building_T1-60x30-S3-GS_Existing7,0.201243143,0.211332843
Building_T1-60x30-S3-GS_Existing8,0.097547837,0.10161679
Building_T1-60x30-S3-GS_Existing9,0.105014446,0.109679219
Building_T1-60x30-S3-GS_Existing10,0.155091391,0.162869188
Building_T1-100x30-S2-GS_Existing1,0.271908416,0.154763277
Building_T1-100x30-S2-GS_Existing2,0.466474357,0.270520835
Building_T1-100x30-S2-GS_Existing3,0.257804879,0.146044075
Building_T1-100x30-S2-GS_Existing4,0.283507908,0.162201937
Building_T1-100x30-S2-GS_Existing5,0.210496269,0.118915271
Building_T1-100x30-S2-GS_Existing6,0.428127842,0.246619059
Building_T1-100x30-S2-GS_Existing7,0.305427381,0.174815588
Building_T1-100x30-S2-GS_Existing8,0.303158703,0.174056289
Building_T1-100x30-S2-GS_Existing9,0.435805634,0.253171642
Building_T1-100x30-S2-GS_Existing10,0.376942699,0.217581132
Building_T1-100x30-S3-GS_Existing1,0.15502031,0.084452988
Building_T1-100x30-S3-GS_Existing2,0.165851498,0.092152453
Building_T1-100x30-S3-GS_Existing3,0.148099036,0.082946627
Building_T1-100x30-S3-GS_Existing4,0.15676276,0.086992935
Building_T1-100x30-S3-GS_Existing5,0.129476459,0.070612397
Building_T1-100x30-S3-GS_Existing6,0.153765586,0.08429615
Building_T1-100x30-S3-GS_Existing7,0.155149127,0.085832703
Building_T1-100x30-S3-GS_Existing8,0.19795197,0.110260378
Building_T1-100x30-S3-GS_Existing9,0.259203058,0.146455126
Building_T1-100x30-S3-GS_Existing10,0.195506166,0.109433718
Building_T1-60x30-S2-PS_Existing1,0.144671286,0.138978596
Building_T1-60x30-S2-PS_Existing2,0.277870263,0.269292101
Building_T1-60x30-S2-PS_Existing3,0.107629581,0.102972121
Building_T1-60x30-S2-PS_Existing4,0.132317496,0.127279167
Building_T1-60x30-S2-PS_Existing5,0.265726353,0.257798387
Building_T1-60x30-S2-PS_Existing6,0.221970613,0.214870735
Building_T1-60x30-S2-PS_Existing7,0.226589728,0.219392837
Building_T1-60x30-S2-PS_Existing8,0.126625671,0.121849301
Building_T1-60x30-S2-PS_Existing9,0.253062043,0.245371704
Building_T1-60x30-S2-PS_Existing10,0.229187268,0.222364084
Building_T1-60x30-S3-PS_Existing1,0.120135429,0.115330707
Building_T1-60x30-S3-PS_Existing2,0.104954883,0.100252662
Building_T1-60x30-S3-PS_Existing3,0.127854479,0.122259328
Building_T1-60x30-S3-PS_Existing4,0.099157539,0.094749355
Building_T1-60x30-S3-PS_Existing5,0.145082885,0.140420938
Building_T1-60x30-S3-PS_Existing6,0.077301376,0.073526263
Building_T1-60x30-S3-PS_Existing7,0.152446228,0.146594638
Building_T1-60x30-S3-PS_Existing8,0.102978186,0.099070329
Building_T1-60x30-S3-PS_Existing9,0.090306509,0.085808549
Building_T1-60x30-S3-PS_Existing10,0.166140824,0.160660042
Building_T1-100x30-S2-PS_Existing1,0.15679079,0.076609148
Building_T1-100x30-S2-PS_Existing2,0.329614519,0.170780281
Building_T1-100x30-S2-PS_Existing3,0.258551035,0.1327889
Building_T1-100x30-S2-PS_Existing4,0.243658677,0.121442763
Building_T1-100x30-S2-PS_Existing5,0.368626397,0.189008854
Building_T1-100x30-S2-PS_Existing6,0.295136403,0.150327857
Building_T1-100x30-S2-PS_Existing7,0.271066894,0.135608441
Building_T1-100x30-S2-PS_Existing8,0.164293041,0.079727245
Building_T1-100x30-S2-PS_Existing9,0.320372995,0.164032851
Building_T1-100x30-S2-PS_Existing10,0.18153383,0.090467062
Building_T1-100x30-S3-PS_Existing1,0.11566471,0.055507329
Building_T1-100x30-S3-PS_Existing2,0.131529586,0.061644742
Building_T1-100x30-S3-PS_Existing3,0.188087662,0.094378143
Building_T1-100x30-S3-PS_Existing4,0.131543544,0.06404607
Building_T1-100x30-S3-PS_Existing5,0.158399264,0.076484393
Building_T1-100x30-S3-PS_Existing6,0.109943315,0.051710077
Building_T1-100x30-S3-PS_Existing7,0.220737847,0.109001724
Building_T1-100x30-S3-PS_Existing8,0.111413227,0.0517998
Building_T1-100x30-S3-PS_Existing9,0.101087685,0.046825842
Building_T1-100x30-S3-PS_Existing10,0.099914422,0.046771401
Building_T2-60x50-S2-GS_Existing1,0.398224418,0.345142004
Building_T2-60x50-S2-GS_Existing2,0.288192563,0.250162152
Building_T2-60x50-S2-GS_Existing3,0.374575234,0.324593185
Building_T2-60x50-S2-GS_Existing4,0.22945069,0.199262959
Building_T2-60x50-S2-GS_Existing5,0.245961084,0.213440645
Building_T2-60x50-S2-GS_Existing6,0.246859684,0.214424214
Building_T2-60x50-S2-GS_Existing7,0.298280388,0.25875833
Building_T2-60x50-S2-GS_Existing8,0.377673988,0.32759362
Building_T2-60x50-S2-GS_Existing9,0.209817578,0.182362273
Building_T2-60x50-S2-GS_Existing10,0.335485727,0.290884454
Building_T2-60x50-S3-GS_Existing1,0.209081775,0.181718747
Building_T2-60x50-S3-GS_Existing2,0.12036042,0.104742484
Building_T2-60x50-S3-GS_Existing3,0.175553563,0.15306783
Building_T2-60x50-S3-GS_Existing4,0.1231755,0.107431819
Building_T2-60x50-S3-GS_Existing5,0.19732143,0.171624609
Building_T2-60x50-S3-GS_Existing6,0.217332188,0.189123638
Building_T2-60x50-S3-GS_Existing7,0.131933484,0.114855987
Building_T2-60x50-S3-GS_Existing8,0.182227562,0.158717057
Building_T2-60x50-S3-GS_Existing9,0.130414914,0.113613449
Building_T2-60x50-S3-GS_Existing10,0.166464991,0.14473917
Building_T2-100x50-S2-GS_Existing1,0.450819466,0.226955277
Building_T2-100x50-S2-GS_Existing2,0.24936054,0.124566028
Building_T2-100x50-S2-GS_Existing3,0.267754581,0.134018755
Building_T2-100x50-S2-GS_Existing4,0.204573176,0.101444553
Building_T2-100x50-S2-GS_Existing5,0.438887462,0.220631912
Building_T2-100x50-S2-GS_Existing6,0.225501766,0.112099188
Building_T2-100x50-S2-GS_Existing7,0.443468751,0.222998053
Building_T2-100x50-S2-GS_Existing8,0.381436356,0.191841407
Building_T2-100x50-S2-GS_Existing9,0.351423052,0.17712464
Building_T2-100x50-S2-GS_Existing10,0.363761654,0.182431365
Building_T2-100x50-S3-GS_Existing1,0.227461931,0.113882303
Building_T2-100x50-S3-GS_Existing2,0.192639354,0.096180713
Building_T2-100x50-S3-GS_Existing3,0.194117152,0.095146713
Building_T2-100x50-S3-GS_Existing4,0.144217599,0.070590378
Building_T2-100x50-S3-GS_Existing5,0.129155538,0.062901338
Building_T2-100x50-S3-GS_Existing6,0.166452737,0.082293064
Building_T2-100x50-S3-GS_Existing7,0.260047687,0.12910124
Building_T2-100x50-S3-GS_Existing8,0.180751249,0.088613069
Building_T2-100x50-S3-GS_Existing9,0.216336012,0.107741309
Building_T2-100x50-S3-GS_Existing10,0.217316887,0.107342881
Building_T2-60x50-S2-PS_Existing1,0.219701215,0.152526678
Building_T2-60x50-S2-PS_Existing2,0.179039904,0.124284435
Building_T2-60x50-S2-PS_Existing3,0.287337618,0.199428205
Building_T2-60x50-S2-PS_Existing4,0.138986116,0.096539487
Building_T2-60x50-S2-PS_Existing5,0.253385708,0.175861935
Building_T2-60x50-S2-PS_Existing6,0.212136326,0.147262484
Building_T2-60x50-S2-PS_Existing7,0.275524096,0.191238563
Building_T2-60x50-S2-PS_Existing8,0.259264065,0.179936917
Building_T2-60x50-S2-PS_Existing9,0.190452057,0.132193912
Building_T2-60x50-S2-PS_Existing10,0.190883434,0.132492853
Building_T2-60x50-S3-PS_Existing1,0.129233898,0.089775191
Building_T2-60x50-S3-PS_Existing2,0.092052611,0.064076998
Building_T2-60x50-S3-PS_Existing3,0.139291828,0.097004118
Building_T2-60x50-S3-PS_Existing4,0.084905025,0.059159758
Building_T2-60x50-S3-PS_Existing5,0.135989855,0.094437703
Building_T2-60x50-S3-PS_Existing6,0.168854811,0.117249545
Building_T2-60x50-S3-PS_Existing7,0.141465755,0.098286534
Building_T2-60x50-S3-PS_Existing8,0.169524759,0.117736502
Building_T2-60x50-S3-PS_Existing9,0.069647684,0.048926346
Building_T2-60x50-S3-PS_Existing10,0.167933397,0.11670865
Building_T2-100x50-S2-PS_Existing1,0.205570965,0.080123742
Building_T2-100x50-S2-PS_Existing2,0.20749563,0.082788804
Building_T2-100x50-S2-PS_Existing3,0.294570549,0.118043884
Building_T2-100x50-S2-PS_Existing4,0.244571592,0.098056289
Building_T2-100x50-S2-PS_Existing5,0.194560675,0.076598494
Building_T2-100x50-S2-PS_Existing6,0.288313231,0.11561696
Building_T2-100x50-S2-PS_Existing7,0.283087753,0.113473792
Building_T2-100x50-S2-PS_Existing8,0.169283661,0.066558348
Building_T2-100x50-S2-PS_Existing9,0.235747194,0.092958284
Building_T2-100x50-S2-PS_Existing10,0.244679983,0.097084011
Building_T2-100x50-S3-PS_Existing1,0.135972722,0.052896118
Building_T2-100x50-S3-PS_Existing2,0.165625223,0.064355074
Building_T2-100x50-S3-PS_Existing3,0.161352708,0.062394422
Building_T2-100x50-S3-PS_Existing4,0.163093201,0.064805295
Building_T2-100x50-S3-PS_Existing5,0.173845365,0.068332781
Building_T2-100x50-S3-PS_Existing6,0.1775265,0.069726229
Building_T2-100x50-S3-PS_Existing7,0.110683959,0.041952921
Building_T2-100x50-S3-PS_Existing8,0.130332198,0.050780863
Building_T2-100x50-S3-PS_Existing9,0.176530996,0.069319687
Building_T2-100x50-S3-PS_Existing10,0.176806424,0.069432935
Building_T3-50x30-S2-GS_Existing1,0.571775449,0.325126996
Building_T3-50x30-S2-GS_Existing2,0.369624216,0.208183674
Building_T3-50x30-S2-GS_Existing3,0.634378518,0.361578643
Building_T3-50x30-S2-GS_Existing4,0.549949553,0.313478392
Building_T3-50x30-S2-GS_Existing5,0.309331897,0.174417257
Building_T3-50x30-S2-GS_Existing6,0.449170079,0.254405479
Building_T3-50x30-S2-GS_Existing7,0.588322266,0.335136643
Building_T3-50x30-S2-GS_Existing8,0.375018837,0.212385144
Building_T3-50x30-S2-GS_Existing9,0.6666352,0.380596352
Building_T3-50x30-S2-GS_Existing10,0.533653557,0.304522631
Building_T3-50x30-S3-GS_Existing1,0.278958568,0.15649121
Building_T3-50x30-S3-GS_Existing2,0.240423713,0.134045399
Building_T3-50x30-S3-GS_Existing3,0.245041199,0.137406005
Building_T3-50x30-S3-GS_Existing4,0.291663075,0.163934986
Building_T3-50x30-S3-GS_Existing5,0.359264521,0.20331884
Building_T3-50x30-S3-GS_Existing6,0.184278399,0.100475586
Building_T3-50x30-S3-GS_Existing7,0.236569925,0.132208099
Building_T3-50x30-S3-GS_Existing8,0.338846147,0.191491584
Building_T3-50x30-S3-GS_Existing9,0.186667416,0.101852093
Building_T3-50x30-S3-GS_Existing10,0.260768054,0.144969997
Building_T3-80x30-S2-GS_Existing1,0.35214439,0.208997671
Building_T3-80x30-S2-GS_Existing2,0.394459825,0.236378105
Building_T3-80x30-S2-GS_Existing3,0.572576165,0.344256313
Building_T3-80x30-S2-GS_Existing4,0.555061019,0.332867191
Building_T3-80x30-S2-GS_Existing5,0.317115561,0.18829017
Building_T3-80x30-S2-GS_Existing6,0.463920648,0.277746836
Building_T3-80x30-S2-GS_Existing7,0.592208947,0.357744545
Building_T3-80x30-S2-GS_Existing8,0.363851194,0.217004765
Building_T3-80x30-S2-GS_Existing9,0.456555691,0.273477131
Building_T3-80x30-S2-GS_Existing10,0.449835826,0.268414746
Building_T3-80x30-S3-GS_Existing1,0.251821892,0.148554725
Building_T3-80x30-S3-GS_Existing2,0.291701576,0.171675815
Building_T3-80x30-S3-GS_Existing3,0.384060736,0.230289101
Building_T3-80x30-S3-GS_Existing4,0.295771505,0.174463911
Building_T3-80x30-S3-GS_Existing5,0.197290398,0.11577903
Building_T3-80x30-S3-GS_Existing6,0.244459229,0.144740354
Building_T3-80x30-S3-GS_Existing7,0.270660355,0.161144157
