Index,Xpeakstrength,Zpeakstrength
Building_T1-60x30-S2-GS_Existing,0.335198,0.353441
Building_T1-60x30-S3-GS_Existing,0.197333,0.206614
Building_T1-100x30-S2-GS_Existing,0.436564,0.249597
Building_T1-100x30-S3-GS_Existing,0.260454,0.145004
Building_T1-60x30-S2-PS_Existing,0.262061,0.253334
Building_T1-60x30-S3-PS_Existing,0.15325,0.146634
Building_T1-100x30-S2-PS_Existing,0.343384,0.171406
Building_T1-100x30-S3-PS_Existing,0.203842,0.097159
Building_T2-60x50-S2-GS_Existing,0.377547,0.327717
Building_T2-60x50-S3-GS_Existing,0.224495,0.195474
Building_T2-100x50-S2-GS_Existing,0.421133,0.210485
Building_T2-100x50-S3-GS_Existing,0.253478,0.124793
Building_T2-60x50-S2-PS_Existing,0.267973,0.186035
Building_T2-60x50-S3-PS_Existing,0.156474,0.108935
Building_T2-100x50-S2-PS_Existing,0.297874,0.117537
Building_T2-100x50-S3-PS_Existing,0.177051,0.067592
Building_T3-50x30-S2-GS_Existing,0.602199,0.340877
Building_T3-50x30-S3-GS_Existing,0.362491,0.202169
Building_T3-80x30-S2-GS_Existing,0.601655,0.359544
Building_T3-80x30-S3-GS_Existing,0.364231,0.214751
Building_T3-50x30-S2-PS_Existing,0.478146,0.284284
Building_T3-50x30-S3-PS_Existing,0.286834,0.167461
Building_T3-80x30-S2-PS_Existing,0.454323,0.21847
Building_T3-80x30-S3-PS_Existing,0.273896,0.127442
Building_T4-60x50-S2-GS_Existing,0.374835,0.477701
Building_T4-60x50-S3-GS_Existing,0.22593,0.289011
Building_T4-100x50-S2-GS_Existing,0.419618,0.329745
Building_T4-100x50-S3-GS_Existing,0.255145,0.199408
Building_T4-60x50-S2-PS_Existing,0.276765,0.293253
Building_T4-60x50-S3-PS_Existing,0.165482,0.175397
Building_T4-100x50-S2-PS_Existing,0.304916,0.194092
Building_T4-100x50-S3-PS_Existing,0.184101,0.115207
Building_T1-60x30-S2-GS_Ordinance,0.582032,0.526762
Building_T1-60x30-S3-GS_Ordinance,0.46169,0.348774
Building_T1-100x30-S2-GS_Ordinance,0.566022,0.344872
Building_T1-100x30-S3-GS_Ordinance,0.427937,0.207275
Building_T1-60x30-S2-PS_Ordinance,0.542314,0.411141
Building_T1-60x30-S3-PS_Ordinance,0.324345,0.220368
Building_T1-100x30-S2-PS_Ordinance,0.510313,0.244495
Building_T1-100x30-S3-PS_Ordinance,0.355654,0.141013
Building_T2-60x50-S2-GS_Ordinance,0.530813,0.422239
Building_T2-60x50-S3-GS_Ordinance,0.299793,0.274941
Building_T2-100x50-S2-GS_Ordinance,0.567767,0.296258
Building_T2-100x50-S3-GS_Ordinance,0.331969,0.217768
Building_T2-60x50-S2-PS_Ordinance,0.447803,0.3527
Building_T2-60x50-S3-PS_Ordinance,0.20954,0.219438
Building_T2-100x50-S2-PS_Ordinance,0.477144,0.236967
Building_T2-100x50-S3-PS_Ordinance,0.232261,0.156607
Building_T3-50x30-S2-GS_Ordinance,0.602198,0.493757
Building_T3-50x30-S3-GS_Ordinance,0.362491,0.322941
Building_T3-80x30-S2-GS_Ordinance,0.601666,0.472982
Building_T3-80x30-S3-GS_Ordinance,0.364244,0.299634
Building_T3-50x30-S2-PS_Ordinance,0.478199,0.461783
Building_T3-50x30-S3-PS_Ordinance,0.286887,0.24712
Building_T3-80x30-S2-PS_Ordinance,0.454388,0.337316
Building_T3-80x30-S3-PS_Ordinance,0.27395,0.170985
Building_T4-60x50-S2-GS_Ordinance,0.421217,0.531894
Building_T4-60x50-S3-GS_Ordinance,0.261933,0.330347
Building_T4-100x50-S2-GS_Ordinance,0.449339,0.363248
Building_T4-100x50-S3-GS_Ordinance,0.278585,0.224128
Building_T4-60x50-S2-PS_Ordinance,0.332538,0.361273
Building_T4-60x50-S3-PS_Ordinance,0.207142,0.222291
Building_T4-100x50-S2-PS_Ordinance,0.334445,0.233725
Building_T4-100x50-S3-PS_Ordinance,0.2074,0.141358
Building_T1-60x30-S2-GS_FEMA,0.504522,0.4975
Building_T1-60x30-S3-GS_FEMA,0.300817,0.324849
Building_T1-100x30-S2-GS_FEMA,0.5638,0.345247
Building_T1-100x30-S3-GS_FEMA,0.388899,0.197308
Building_T1-60x30-S2-PS_FEMA,0.532278,0.403572
Building_T1-60x30-S3-PS_FEMA,0.324336,0.220371
Building_T1-100x30-S2-PS_FEMA,0.642034,0.26873
Building_T1-100x30-S3-PS_FEMA,0.355619,0.141012
Building_T2-60x50-S2-GS_FEMA,0.383752,0.413809
Building_T2-60x50-S3-GS_FEMA,0.263907,0.326282
Building_T2-100x50-S2-GS_FEMA,0.472249,0.294414
Building_T2-100x50-S3-GS_FEMA,0.278459,0.209382
Building_T2-60x50-S2-PS_FEMA,0.332268,0.528893
Building_T2-60x50-S3-PS_FEMA,0.194271,0.241706
Building_T2-100x50-S2-PS_FEMA,0.346426,0.372082
Building_T2-100x50-S3-PS_FEMA,0.199819,0.156609
Building_T3-50x30-S2-GS_FEMA,0.657735,0.441713
Building_T3-50x30-S3-GS_FEMA,0.396356,0.264408
Building_T3-80x30-S2-GS_FEMA,0.636386,0.431932
Building_T3-80x30-S3-GS_FEMA,0.385536,0.259478
Building_T3-50x30-S2-PS_FEMA,0.478198,0.521365
Building_T3-50x30-S3-PS_FEMA,0.32236,0.24714
Building_T3-80x30-S2-PS_FEMA,0.490764,0.373683
Building_T3-80x30-S3-PS_FEMA,0.296215,0.164995
Building_T4-60x50-S2-GS_FEMA,0.409569,0.529439
Building_T4-60x50-S3-GS_FEMA,0.253128,0.354408
Building_T4-100x50-S2-GS_FEMA,0.441658,0.355749
Building_T4-100x50-S3-GS_FEMA,0.272639,0.21557
Building_T4-60x50-S2-PS_FEMA,0.405221,0.354995
Building_T4-60x50-S3-PS_FEMA,0.208379,0.240371
Building_T4-100x50-S2-PS_FEMA,0.386107,0.274087
Building_T4-100x50-S3-PS_FEMA,0.201496,0.140697
Building_T1-60x30-S2-GS_IEBC,0.747045,0.622581
Building_T1-60x30-S3-GS_IEBC,0.461677,0.384476
Building_T1-100x30-S2-GS_IEBC,0.864206,0.387059
Building_T1-100x30-S3-GS_IEBC,0.505869,0.248393
Building_T1-60x30-S2-PS_IEBC,0.713409,0.52886
Building_T1-60x30-S3-PS_IEBC,0.324336,0.220369
Building_T1-100x30-S2-PS_IEBC,0.814328,0.28249
Building_T1-100x30-S3-PS_IEBC,0.355623,0.141016
Building_T2-60x50-S2-GS_IEBC,0.70742,0.825589
Building_T2-60x50-S3-GS_IEBC,0.299789,0.421369
Building_T2-100x50-S2-GS_IEBC,0.773518,0.644554
Building_T2-100x50-S3-GS_IEBC,0.331931,0.275591
Building_T2-60x50-S2-PS_IEBC,0.498569,0.572844
Building_T2-60x50-S3-PS_IEBC,0.209535,0.241704
Building_T2-100x50-S2-PS_IEBC,0.54536,0.372081
Building_T2-100x50-S3-PS_IEBC,0.232274,0.156609
Building_T3-50x30-S2-GS_IEBC,1.130687,0.799549
Building_T3-50x30-S3-GS_IEBC,0.487748,0.355556
Building_T3-80x30-S2-GS_IEBC,1.129335,0.64724
Building_T3-80x30-S3-GS_IEBC,0.484224,0.299636
Building_T3-50x30-S2-PS_IEBC,0.815955,0.58892
Building_T3-50x30-S3-PS_IEBC,0.344793,0.247114
Building_T3-80x30-S2-PS_IEBC,0.804304,0.410856
Building_T3-80x30-S3-PS_IEBC,0.340336,0.170988
Building_T4-60x50-S2-GS_IEBC,0.704097,0.753102
Building_T4-60x50-S3-GS_IEBC,0.298142,0.419051
Building_T4-100x50-S2-GS_IEBC,0.769681,0.641355
Building_T4-100x50-S3-GS_IEBC,0.330398,0.274317
Building_T4-60x50-S2-PS_IEBC,0.496284,0.561479
Building_T4-60x50-S3-PS_IEBC,0.208376,0.240374
Building_T4-100x50-S2-PS_IEBC,0.542638,0.315346
Building_T4-100x50-S3-PS_IEBC,0.231197,0.155889
Building_T1-60x30-S2-GS_ASCE,0.459491,0.485072
Building_T1-60x30-S3-GS_ASCE,0.268359,0.296885
Building_T1-100x30-S2-GS_ASCE,0.503944,0.319567
Building_T1-100x30-S3-GS_ASCE,0.301352,0.182231
Building_T1-60x30-S2-PS_ASCE,0.631765,0.506831
Building_T1-60x30-S3-PS_ASCE,0.324347,0.220365
Building_T1-100x30-S2-PS_ASCE,0.747289,0.271497
Building_T1-100x30-S3-PS_ASCE,0.355623,0.141029
Building_T2-60x50-S2-GS_ASCE,0.429203,0.394653
Building_T2-60x50-S3-GS_ASCE,0.256832,0.236366
Building_T2-100x50-S2-GS_ASCE,0.452861,0.254477
Building_T2-100x50-S3-GS_ASCE,0.273553,0.151871
Building_T2-60x50-S2-PS_ASCE,0.349946,0.375297
Building_T2-60x50-S3-PS_ASCE,0.207014,0.215599
Building_T2-100x50-S2-PS_ASCE,0.418946,0.372081
Building_T2-100x50-S3-PS_ASCE,0.232263,0.156603
Building_T3-50x30-S2-GS_ASCE,0.661714,0.42307
Building_T3-50x30-S3-GS_ASCE,0.398789,0.252959
Building_T3-80x30-S2-GS_ASCE,0.661735,0.431941
Building_T3-80x30-S3-GS_ASCE,0.40107,0.259467
Building_T3-50x30-S2-PS_ASCE,0.698989,0.492046
Building_T3-50x30-S3-PS_ASCE,0.344888,0.247113
Building_T3-80x30-S2-PS_ASCE,0.696437,0.322832
Building_T3-80x30-S3-PS_ASCE,0.340354,0.170989
Building_T4-60x50-S2-GS_ASCE,0.409573,0.51927
Building_T4-60x50-S3-GS_ASCE,0.247352,0.314763
Building_T4-100x50-S2-GS_ASCE,0.441658,0.355749
Building_T4-100x50-S3-GS_ASCE,0.268829,0.215568
Building_T4-60x50-S2-PS_ASCE,0.375927,0.490209
Building_T4-60x50-S3-PS_ASCE,0.20838,0.240376
Building_T4-100x50-S2-PS_ASCE,0.41591,0.288111
Building_T4-100x50-S3-PS_ASCE,0.231195,0.155897
