Index,NoDamage,Slight,Moderate,Severe,Complete,Collapse
Building_T1-60x30-S2-GS_Existing,0.179955042,0.534487489,0.858621139,0.995290078,1.007680873,1.007680873
Building_T1-60x30-S3-GS_Existing,0.12745903,0.383632224,0.590722832,0.653415882,0.656124216,0.656124216
Building_T1-100x30-S2-GS_Existing,0.160332255,0.4798069,0.755295293,0.848466906,0.855293111,0.855435007
Building_T1-100x30-S3-GS_Existing,0.129005405,0.329626293,0.525785276,0.554106627,0.554106627,0.554106627
Building_T1-60x30-S2-PS_Existing,0.13470655,0.4294116,0.721999057,0.926911179,0.984835128,0.984835128
Building_T1-60x30-S3-PS_Existing,0.107792375,0.270131272,0.441028229,0.544898869,0.553788037,0.558366188
Building_T1-100x30-S2-PS_Existing,0.086170313,0.368779281,0.649198739,0.821709359,0.849990224,0.855412868
Building_T1-100x30-S3-PS_Existing,0.108932262,0.263650965,0.423751362,0.509560304,0.517118202,0.517118202
Building_T2-60x50-S2-GS_Existing,0.175784262,0.499733203,0.813122736,0.899684811,0.912773634,0.912773634
Building_T2-60x50-S3-GS_Existing,0.09188641,0.365749561,0.580578924,0.630705835,0.630705835,0.630705835
Building_T2-100x50-S2-GS_Existing,0.144077171,0.434857253,0.693934159,0.712205401,0.712205488,0.712205488
Building_T2-100x50-S3-GS_Existing,0.117976894,0.295864217,0.4343163,0.457718581,0.457718581,0.457718581
Building_T2-60x50-S2-PS_Existing,0.100698126,0.356971634,0.626894841,0.8224938,0.882462411,0.882462411
Building_T2-60x50-S3-PS_Existing,0.08832815,0.243821183,0.404622822,0.481474746,0.500428804,0.500428804
Building_T2-100x50-S2-PS_Existing,0.113688414,0.295082774,0.489030404,0.629212252,0.657127224,0.657127224
Building_T2-100x50-S3-PS_Existing,0.057152003,0.169799659,0.306020455,0.336411626,0.340065385,0.340065385
Building_T3-50x30-S2-GS_Existing,0.187665226,0.549856756,0.936346027,1.142910517,1.161478163,1.164578816
Building_T3-50x30-S3-GS_Existing,0.121084749,0.403162215,0.66624022,0.774999227,0.790834503,0.790834503
Building_T3-80x30-S2-GS_Existing,0.202422469,0.581886374,0.944879444,1.114055884,1.134104813,1.135429052
Building_T3-80x30-S3-GS_Existing,0.137574232,0.456587294,0.719993563,0.792593615,0.81088422,0.81088422
Building_T3-50x30-S2-PS_Existing,0.159452135,0.477551973,0.822562721,1.071448752,1.173860614,1.179273249
Building_T3-50x30-S3-PS_Existing,0.108367353,0.341819425,0.587386573,0.748284535,0.794029324,0.796134811
Building_T3-80x30-S2-PS_Existing,0.115485288,0.39463687,0.725192057,0.965816553,1.068750253,1.094634512
Building_T3-80x30-S3-PS_Existing,0.109361227,0.285951957,0.493797437,0.627735608,0.689785501,0.689785501
Building_T4-60x50-S2-GS_Existing,0.265955635,0.70968035,1.061561214,1.16639524,1.17337053,1.173532126
Building_T4-60x50-S3-GS_Existing,0.168443103,0.47393532,0.709674264,0.765170874,0.765267613,0.765267613
Building_T4-100x50-S2-GS_Existing,0.221627753,0.603137437,0.910191004,0.982640933,0.982821043,0.982838341
Building_T4-100x50-S3-GS_Existing,0.15254777,0.469934697,0.682429426,0.697360521,0.697599758,0.697576839
Building_T4-60x50-S2-PS_Existing,0.181895158,0.502627129,0.836991075,1.11234857,1.195955657,1.201545612
Building_T4-60x50-S3-PS_Existing,0.137430799,0.398324048,0.616174075,0.735861047,0.787392083,0.790709101
Building_T4-100x50-S2-PS_Existing,0.121722812,0.415368447,0.703874362,0.922910322,0.97932742,0.97932742
Building_T4-100x50-S3-PS_Existing,0.115099806,0.302512181,0.487037948,0.613630048,0.6317917,0.63178054
Building_T1-60x30-S2-GS_Ordinance,0.250250714,0.674268592,1.202342386,1.519821945,1.596052368,1.619461529
Building_T1-60x30-S3-GS_Ordinance,0.160125605,0.639582013,0.93220548,1.068505023,1.091172647,1.095463207
Building_T1-100x30-S2-GS_Ordinance,0.188131346,0.582800871,0.970513063,1.126043806,1.148184302,1.153760159
Building_T1-100x30-S3-GS_Ordinance,0.15280105,0.526320975,0.764610482,0.880726235,0.902584336,0.908221846
Building_T1-60x30-S2-PS_Ordinance,0.175766384,0.545953943,1.03984893,1.457586433,1.785830842,1.800350993
Building_T1-60x30-S3-PS_Ordinance,0.135075316,0.487171638,0.777377396,1.070879223,1.188631324,1.188631324
Building_T1-100x30-S2-PS_Ordinance,0.130810826,0.485561236,0.788010062,1.092435875,1.188186244,1.197848044
Building_T1-100x30-S3-PS_Ordinance,0.129505015,0.37109728,0.575024484,0.826066961,0.903035286,0.903035286
Building_T2-60x50-S2-GS_Ordinance,0.201093297,0.638032233,1.038662988,1.325233803,1.424734179,1.432585163
Building_T2-60x50-S3-GS_Ordinance,0.154595817,0.510248027,0.794871123,0.897820861,0.898683737,0.898683737
Building_T2-100x50-S2-GS_Ordinance,0.151333268,0.501914032,0.849007565,1.072061996,1.123781383,1.128550129
Building_T2-100x50-S3-GS_Ordinance,0.112911459,0.445529459,0.714044931,0.811671634,0.830348951,0.830348951
Building_T2-60x50-S2-PS_Ordinance,0.128593018,0.488673036,0.905945662,1.383724477,1.64260556,1.657786721
