Index,Complete Loss
L1-2S-60X30-GWB,947738
L1-3S-60X30-GWB,1425796
L1-2S-100X30-GWB,1581402
L1-3S-100X30-GWB,2376744
L1-2S-60X30-HWS,946764
L1-3S-60X30-HWS,1424298
L1-2S-100X30-HWS,1579900
L1-3S-100X30-HWS,2374634
L2-2S-60X50-GWB,1580252
L2-3S-60X50-GWB,2375412
L2-2S-100X50-GWB,2638440
L2-3S-100X50-GWB,3960520
L2-2S-60X50-HWS,1578488
L2-3S-60X50-HWS,2375368
L2-2S-100X50-HWS,2636426
L2-3S-100X50-HWS,3958600
L3-2S-50X30-GWB,786980
L3-3S-50X30-GWB,1185836
L3-2S-80X30-GWB,1261240
L3-3S-80X30-GWB,1898216
L3-2S-50X30-HWS,786698
L3-3S-50X30-HWS,1184304
L3-2S-80X30-HWS,1259094
L3-3S-80X30-HWS,1895670
L4-2S-60X50-GWB,1575784
L4-3S-60X50-GWB,2371766
L4-2S-100X50-GWB,2631830
L4-3S-100X50-GWB,3956420
L4-2S-60X50-HWS,1571816
L4-3S-60X50-HWS,2367996
L4-2S-100X50-HWS,2627568
L4-3S-100X50-HWS,3954440
