NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1,1
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,1,1
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1,1
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1,1
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1,1
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,1,1
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1,1
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1,1
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1,1
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1,1
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1,1
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1,1
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1,1
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1,1
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1,1
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1,1
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1,1
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1,1
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1,1
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1,1
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1,1
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1,1
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1,1
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1,1
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1,1
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1,1
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1,1
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1,1
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1,1
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1,1
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1,1
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1,1
