NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.652884173,1.490383561
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.224906572,1.688050019
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.284463728,1.381715309
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.577251307,1.429445847
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.912202507,1.573217682
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.11644424,1.502843198
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.424950433,1.416087412
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.744755629,1.451366354
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.397093061,1.284499025
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335410611,1.388080779
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.341909647,1.388456119
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.30965226,1.678203854
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.587303017,1.759137227
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339136696,1.864893179
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.523325692,1.865574344
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311830102,2.316947244
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1,1.439685014
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000000334,1.588269079
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1,1.315523785
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1,1.395259674
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1,1.560285703
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1,1.475682789
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1,1.474887872
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1,1.341668014
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.123737687,1.113444022
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.159350437,1.143023205
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.070827474,1.101601817
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.091871096,1.123967937
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.18853451,1.206209533
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.236277593,1.242183297
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.096843389,1.187597243
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.126554266,1.216462913
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.908386052,1.530903518
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.339633556,1.789551826
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.428131723,1.417656636
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.808216428,1.459255056
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,2.307224096,1.663433508
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.116499443,1.502841149
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.586872468,1.473289772
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.744602393,1.451348212
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.564210143,1.387970079
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335559447,1.580932513
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.498666867,1.580350699
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309537452,1.931785555
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.860587285,1.869601232
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339084371,2.21883255
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.757774505,2.238766643
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311887317,2.316975925
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1,1.581769314
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1,1.758753899
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1,1.38338831
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1,1.395392038
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1,1.753425747
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1,1.475641351
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1,1.621574183
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1,1.341694906
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.155797841,1.139620091
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.226044854,1.192053486
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.090093074,1.120932103
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.13250532,1.162718508
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.239964519,1.244728066
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.259231051,1.331976908
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.128314303,1.227502217
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.19314064,1.303451267
