Slight,Moderate,Severe,Complete
1.918235706,1.852156433,1.887296061,1.889112584
2.117070484,1.976959788,1.981399362,2.007264306
2.048850382,1.970528125,2.029225039,2.047299299
2.053665419,1.855194339,1.81611414,1.817910956
2.115070042,2.033139929,2.11741167,2.159074171
2.189896697,2.089983368,2.144950139,2.167909653
1.895010871,1.741683422,1.685509552,1.692902412
2.071662003,2.007274732,2.007141389,2.009225525
2.07743811,2.036138012,2.103065936,2.124010709
2.150405466,1.998951512,1.971181129,1.977755575
1.98814388,1.873282902,1.83046867,1.824461672
1.692828129,1.604198552,1.537114804,1.537194663
1.948272449,1.782839569,1.741515214,1.749024465
1.875903254,1.787186714,1.810985751,1.82861379
1.777004002,1.573189193,1.439745327,1.428198329
2.038525448,1.879190758,1.842344308,1.83990715
2.02584039,1.884397407,1.851771692,1.858307665
1.676120877,1.555453914,1.437535782,1.42143453
2.137925172,2.044775984,2.082632638,2.089768507
2.018121109,1.889870798,1.895395749,1.885168144
1.959619521,1.8950508,1.939001458,1.96389775
1.956348778,1.817544572,1.802202968,1.816560633
1.925302139,1.78220044,1.779695058,1.787570925
1.788661966,1.588152045,1.61026997,1.60571561
1.652733018,1.730722665,1.802818296,1.81449224
1.638714049,1.598756922,1.515871684,1.498981807
1.977449068,1.933023222,1.93918492,1.950046817
1.973875413,1.885179927,1.879235286,1.877247872
1.769842744,1.580936787,1.522280044,1.549888552
1.644985118,1.622144066,1.559247653,1.540392272
2.077566985,2.084127816,2.090573147,2.087921409
1.906464529,1.831307331,1.884444094,1.89924804
2.035861943,2.011472674,2.049729147,2.059633704
1.833694167,1.745725511,1.705312305,1.698606334
2.010833501,1.906462032,1.944766476,1.974109844
1.72128531,1.668736573,1.622272771,1.636900523
1.971546488,1.841644228,1.846089874,1.848305133
2.092585713,2.090602702,2.196312028,2.20980199
1.582609961,1.601514951,1.635483397,1.655093571
1.710949144,1.762505444,1.817308311,1.815218856
1.974507699,1.830943592,1.835020526,1.83377623
1.689127223,1.578347562,1.56863993,1.57861324
1.711855734,1.645900562,1.670563911,1.676518997
2.032662256,1.814275349,1.77036403,1.75479827
1.556640865,1.448995286,1.505335595,1.51869564
1.681713603,1.588091415,1.541013873,1.52874226
1.927613744,1.931681454,1.960485305,1.983864555
1.88043763,1.745440658,1.670640713,1.681577304
1.909418853,1.887834865,1.877527164,1.879757273
1.838396109,1.712663527,1.627961309,1.62988005
1.857986849,1.949718595,2.065901727,2.104078689
1.614006195,1.49475626,1.456819075,1.457881776
2.137777313,2.127500025,2.04306472,2.056185529
1.649784065,1.714392037,1.791645687,1.808726327
1.730423078,1.686694578,1.718468233,1.72848913
1.855099883,1.802789365,1.843690128,1.851708421
1.900024251,1.941570952,2.010929372,2.013507491
1.925748816,2.046854512,2.052976695,2.059598233
2.020913473,1.9843894,1.944645277,1.948879349
1.899599399,1.90376339,1.971308363,1.964761407
2.036036975,1.982928984,1.916403451,1.920414971
1.937945706,1.871231109,1.7989018,1.795261459
1.879690758,1.874291502,1.860349091,1.855558834
1.680963922,1.626070482,1.56460831,1.558679326
1.882286325,1.773339352,1.696921314,1.69350049
1.651549602,1.673973724,1.670238563,1.669744213
1.48509944,1.463720498,1.495125034,1.503177226
1.783718382,1.917420416,1.932956977,1.950202312
1.741364266,1.727946195,1.625865482,1.633718691
1.966978501,1.876541809,1.885397215,1.899005858
1.6990458,1.658985769,1.678015243,1.672146135
2.097146357,1.907235825,1.874546628,1.882473068
1.873978652,1.744527992,1.730014544,1.734711991
2.172955476,2.058191726,1.979801256,1.986760323
1.964057428,1.728334596,1.670091948,1.663561089
2.071474887,1.961464791,1.865483262,1.867302875
2.069046682,1.95176092,1.840241933,1.842046487
2.008015291,1.878870333,1.761535717,1.756257812
1.959928103,1.792756844,1.70615524,1.699420727
1.905708049,1.805649564,1.70141817,1.699953851
1.625318307,1.763612855,1.989676607,2.018647254
1.498528314,1.518739533,1.526799165,1.550272152
1.776067784,1.899282269,1.980569461,1.987679292
1.59894716,1.635538066,1.801789342,1.83408064
1.528992374,1.642212788,1.758106715,1.76271569
1.8109156,1.709120068,1.662067593,1.662162623
1.892674975,1.844072521,1.852171737,1.855088473
1.92544845,1.799792099,1.727469422,1.723759354
1.836216462,1.747929384,1.676615072,1.673326762
1.810596943,1.734959188,1.676494054,1.67129089
2.022538138,1.940009849,1.835956384,1.836796242
2.124932042,2.031564397,1.899898048,1.908802834
2.067549719,1.929650627,1.851016044,1.850879395
2.046280953,1.910313081,1.80310801,1.806495879
1.998719623,1.870883528,1.761249571,1.765873738
2.139488105,2.001947925,1.911673076,1.918082502
2.109425091,1.95180242,1.944277954,1.947059998
1.871335217,1.697747926,1.647199344,1.640859101
1.996342825,1.835274833,1.795031219,1.807497407
2.082517763,2.021329286,1.994169141,1.998607052
2.032163966,1.948731418,1.851088612,1.858968796
2.027628275,1.994475247,1.995632738,2.000674831
1.870787423,1.911896212,2.003340965,2.016558873
1.636044786,1.673601404,1.666118841,1.676344243
2.417722934,2.36399671,2.285693911,2.285278899
1.907781541,1.834243622,1.791080064,1.79592043
1.873894381,1.760248485,1.786867499,1.81025978
1.848166481,1.760264519,1.722819615,1.720211418
2.139317202,2.024976867,2.002764653,2.005806221
2.009987318,1.934826247,1.853277304,1.869110905
2.019186775,1.860174323,1.826793578,1.828779878
1.937942781,1.835819632,1.947127911,1.947508109
2.223173783,2.240687744,2.331729597,2.326882738
2.091034723,2.149567766,2.201965104,2.195620295
2.106473529,2.178293861,2.291832777,2.290901516
2.163923706,1.936362788,1.868494033,1.886816435
2.381140507,2.071342441,1.958478339,1.978902316
1.799289206,1.649681643,1.569130094,1.579385566
2.239175237,2.143335653,2.117842477,2.110183173
2.042897895,1.879460511,1.798584877,1.800823787
2.288009499,2.145345423,2.100422465,2.097818287
2.257826553,2.204548363,2.236571351,2.23030355
2.418863345,2.195166373,2.179123961,2.185362046
2.298718968,2.28470996,2.206210723,2.200946571
1.89906043,1.710239504,1.622194343,1.635548299
1.851927982,1.955744908,2.133370332,2.142442088
1.936494644,1.909776177,1.987891825,1.991595134
1.813716718,1.783576845,1.830668944,1.838430465
1.904993446,1.903031715,2.000284814,2.020077345
1.768979927,1.72966232,1.755533512,1.757040319
2.316575689,2.168180439,2.22868429,2.224201864
1.973585536,1.924082926,1.99084489,1.974955699
2.064046988,1.885391351,1.826286258,1.822364656
1.931629801,1.926648366,1.935517451,1.932661445
1.645445172,1.575763857,1.534982133,1.526015855
1.731481461,1.630082653,1.609823904,1.611128569
2.101449023,1.909182052,1.892929404,1.888132393
1.837365842,1.70760803,1.678617689,1.678773971
1.732186794,1.617023608,1.602113159,1.595009604
1.708934753,1.651155871,1.603108496,1.599553556
2.156579386,1.973223368,1.874026581,1.8829154
1.919148735,1.743346996,1.630231721,1.648317865
1.891173735,1.724232424,1.602750749,1.628727094
2.2297606,1.990914264,1.933782071,1.955358375
2.077060242,1.893578858,1.762076126,1.770990463
1.984732102,1.897801052,1.907954824,1.904395235
2.163834109,2.019334829,1.938638731,1.940847852
1.749629837,1.655928109,1.604175777,1.6051676
1.949883739,1.823768722,1.712657343,1.728568273
2.046427008,2.011278639,2.055067913,2.059132624
1.847612047,1.750042358,1.77674666,1.790641789
1.680802068,1.634651498,1.685119972,1.686969764
1.537345991,1.508713279,1.552792355,1.553206266
1.749658763,1.659602335,1.700443666,1.709622217
1.938979683,1.762137824,1.838523815,1.840595256
1.808555909,1.613209956,1.626649383,1.630674105
1.980434789,1.756928083,1.713261179,1.725265009
1.81581715,1.689194452,1.680064088,1.680518948
2.087226852,1.849816154,1.850318316,1.850688106
2.04164004,1.758114893,1.751994648,1.752493253
2.028874341,1.737059626,1.684120165,1.684683298
2.002342001,1.706671457,1.643419419,1.646457174
2.033684974,1.778425724,1.704750958,1.734943244
2.134473702,1.781239243,1.728734325,1.73837865
2.013060706,1.78784039,1.725216688,1.732782617
2.108569228,1.90210747,1.863253399,1.871989964
1.969536838,1.795141705,1.744312867,1.74815349
2.034900044,1.832428805,1.819232512,1.819269256
1.979353398,1.823367804,1.803906049,1.803906049
1.981390025,1.741397937,1.711003207,1.71378619
1.571142749,1.35112468,1.313653116,1.32394372
1.883610802,1.647935556,1.578803141,1.57876081
1.823311088,1.581933709,1.529183458,1.529805019
1.716849481,1.458648888,1.419472595,1.433997558
1.813840703,1.608023092,1.536987263,1.541400489
1.875599915,1.765207451,1.739390818,1.742451806
2.050798918,1.824511906,1.848791509,1.853810166
1.722725487,1.68390023,1.669588205,1.67890416
2.086563134,1.813748265,1.82688298,1.829770417
2.013243677,1.813732359,1.834658281,1.836258038
1.852092445,1.683499382,1.635489335,1.640857782
1.886923489,1.717676149,1.69122202,1.696430454
1.957149659,1.766406888,1.697877674,1.699017072
2.070783373,1.797075324,1.751758865,1.754580271
1.978830193,1.821890317,1.8014502,1.809493735
2.017042812,1.853484227,1.842445304,1.848762153
2.038916999,1.853740031,1.844651483,1.874213387
1.97410199,1.741170087,1.758217539,1.758842068
1.961409753,1.886190233,1.966555996,1.977157312
2.057937432,1.90014007,1.870823326,1.873535369
2.161699249,2.049257214,2.066652886,2.110759146
2.539061521,2.399469775,2.635431305,2.682299503
2.587424035,2.488140758,2.715754935,2.748726976
2.010359568,1.771576036,1.814572284,1.841067945
2.424667234,2.258536703,2.393662588,2.405361032
2.153946448,1.898728615,1.904567976,1.925305707
2.17799517,2.02366784,2.032915098,2.046434575
2.061631625,1.88088981,1.957479119,1.970638209
2.238064959,2.019565438,2.016168697,2.027803026
2.248355482,2.029965482,2.014561968,2.020177431
2.187421593,2.311591514,2.415741685,2.605317032
2.103585481,2.076629164,2.237813915,2.439716252
2.277199112,2.167943535,2.362199277,2.580930966
2.022010307,1.993715665,2.132472679,2.326829305
1.892416025,1.934455009,2.028651942,2.149057982
1.615787985,1.845677663,1.996523686,2.182705555
1.498738516,1.597650997,1.675180138,1.815293871
1.727219209,1.902200328,2.117184238,2.386109916
1.63893206,1.705631086,1.858919085,2.035752454
1.553230302,1.770758277,1.893784111,2.09310204
2.094603942,2.078786674,2.139632567,2.512379629
2.161506652,2.168923546,2.376109259,2.661412628
2.242081318,2.217220237,2.323236112,2.515755419
2.251574967,2.312608469,2.533135768,2.795568031
2.222388596,2.344467512,2.681300058,2.951665453
2.135099008,2.19798858,2.391136939,2.807217642
2.212593088,2.216726229,2.496324839,2.691514904
2.175142199,2.224581734,2.416420107,2.517350074
2.089662133,2.158911708,2.409777424,2.565440692
2.22333766,2.213661787,2.264145768,2.782632653
1.481306744,1.640249038,1.747426778,1.90966708
1.703087956,1.714919277,1.735508545,1.742422958
1.474686259,1.455673063,1.476089059,1.51666064
1.384332298,1.371395794,1.441705442,1.518477813
1.54576072,1.531338213,1.605787782,1.652254067
1.714477946,1.764675144,1.829974149,1.885600679
2.079817935,2.183713319,2.333230883,2.580372797
1.788484501,1.972581974,2.126647129,2.332842526
1.697260353,1.738447838,1.751874622,2.16110441
1.826711626,1.938804517,2.124734192,2.349235982
1.860935946,1.95354996,2.099632224,2.222820832
1.925061636,1.91557579,2.025299622,2.113643484
1.640020102,1.691273537,1.851434194,2.027989834
1.656731555,1.811151744,1.964348471,2.130027594
1.721230956,1.879100896,1.968790115,2.090886849
1.825916282,1.79450745,1.87418451,1.841335941
1.855086483,1.880020188,1.927010259,1.896755649
1.944803487,1.831966077,1.876888804,1.895119856
1.655411572,1.534364537,1.575300553,1.56893365
1.877468273,1.871798558,2.019939537,2.080462752
1.615318955,1.543812773,1.629354656,1.66428092
1.6283667,1.775595246,1.96250773,2.139391723
1.668816532,1.68161332,1.765051103,1.854103193
1.662758999,1.676238403,1.74612475,1.811693394
1.410366699,1.393480993,1.440086739,1.485083197
2.015137677,1.933629285,1.955175444,2.743363867
1.726482312,1.770597587,1.782566023,2.148363877
1.818706931,1.864331474,1.946241982,2.026701905
1.760522252,1.839992657,1.994017037,2.362302697
1.982513456,1.87451825,2.001183959,2.044654122
