NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,X Diff,Z Diff,Xpeakstrength,Zpeakstrength
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,2.028951487,3.235656105
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,2.693836378,3.613131244
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,2.379600401,4.227702059
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,2.99270359,4.160177028
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,3.085745357,9.581264605
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,3.107095314,9.070125742
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,3.88088172,16.45922725
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,4.537897561,18.77743022
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,4.9877456,65.5285856,30.52442614,1.84815249
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,4.278564,64.819446,32.88806198,1.990898044
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,5.427399,65.851532,45.69078593,1.964963265
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,4.410966,64.834115,53.38043336,2.382367472
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,2.1452406,38.4404154,59.87165215,2.63164703
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.435472,37.738454,68.5152175,2.72924522
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,2.38429,38.751281,87.4058744,2.670865627
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.369747,37.743296,120.2691409,2.942995665
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,14.12058358,3.837649482
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,14.81823734,4.199817796
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,18.85977662,14.71972141
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,7.111998,7.16805,20.18861477,16.47767021
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,-22.18611745,10.85638045
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,-19.53357442,10.13907803
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,-54.55633375,68.4867823
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,-41.36508141,113.259472
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,4.1299326,19.8184516,29.80744509,7.84363177
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,3.420751,19.109312,36.35657564,8.20804129
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,3.663154,11.429334,54.41758106,14.09946399
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,2.646721,10.411917,75.37880375,15.41576544
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,-77.92483991,17.70169039
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,-1.956943,5.262656,-50.25788469,20.05539007
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,-2.149458,3.837326,-69.02652963,27.02071069
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,-3.164001,2.829341,-46.94310535,35.77954178
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,1.758753233,3.05591313
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,1.755185899,3.365279727
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,2.370258941,4.232299093
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,2.719698071,3.96013127
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,3.028640911,9.404875989
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,3.107009098,9.070249219
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,4.882607369,18.09070999
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,4.537450986,18.77729706
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,4.9877456,65.5285856,22.06767652,1.811254133
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,4.278564,64.819446,28.95127562,2.36266761
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,5.427399,65.851532,38.00401919,1.952732736
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,4.410966,64.834115,44.77605467,2.290625189
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,2.1452406,38.4404154,44.42452176,3.9462991
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.435472,37.738454,63.52257239,3.006201958
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,2.38429,38.751281,63.46022887,4.193752819
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.369747,37.743296,103.4700594,2.94303325
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,15.42283774,3.433145587
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,16.20260166,3.438601552
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,19.94810709,13.44220015
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,7.111998,7.16805,21.36874673,14.26938501
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,-22.18607106,12.25713548
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,-21.94886157,10.13989861
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,-58.92383729,75.87053762
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,-44.72698518,109.2917307
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,4.1299326,19.8184516,28.98317371,7.80742885
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,3.420751,19.109312,35.13443239,8.805878357
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,3.663154,11.429334,53.48736704,13.80839046
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,2.646721,10.411917,73.76995055,14.82713698
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,-94.95691185,17.39408032
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,-1.956943,5.262656,-50.55801215,21.68659175
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,-2.149458,3.837326,-79.68911563,31.68692066
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,-3.164001,2.829341,-45.6067886,35.61223412
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,2.604183384,3.824228045
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,2.693760526,3.982986829
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,3.633189071,4.744862243
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,3.537707589,4.98544857
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,4.059269186,12.32459813
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,3.107009098,9.070166901
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,6.192886816,19.01702328
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,4.537502023,18.77782971
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,4.9877456,65.5285856,40.68021984,3.613627274
3,469.3694583,9000,720,600,10036,7346.25,0.01,9.25,4.278564,64.819446,32.88762317,3.051209961
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,5.427399,65.851532,62.24850221,4.2750742
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,4.410966,64.834115,53.37432299,3.014947256
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,2.1452406,38.4404154,66.65911069,4.274236494
3,469.3694583,9000,720,600,10036,7346.25,0.01,9.25,1.435472,37.738454,68.5135826,3.006177083
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,2.38429,38.751281,99.90205821,4.193741548
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.369747,37.743296,120.2758726,2.94303325
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,26.51280856,6.214370238
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,19.93860709,4.62397285
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,35.40004891,20.14282254
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,7.111998,7.16805,26.83863509,16.47778019
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,-37.85635994,13.84533336
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,-23.47628064,10.13883185
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,-96.56918198,83.41793875
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,-51.38903577,113.2614592
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,4.1299326,19.8184516,49.82546447,11.10569921
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,3.420751,19.109312,41.38242289,10.41204525
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,3.663154,11.429334,93.21287092,24.89418174
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,2.646721,10.411917,89.39823034,18.86781897
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,-116.2960361,27.51140389
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,-1.956943,5.262656,-50.55728428,21.68686242
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,-2.149458,3.837326,-111.9957481,36.45683189
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,-3.164001,2.829341,-52.32934006,39.4575262
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,1.601776101,2.979573656
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,1.565802241,3.075586108
2,284.0239584,6000,720,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,2.118619673,3.917494212
3,467.4762917,9000,720,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,2.107453229,3.657523676
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,3.594718033,11.81123245
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,3.107114474,9.070002265
2,284.0239584,6000,720,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,5.683061611,18.27698244
3,467.4762917,9000,720,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,4.537502023,18.7795608
2,286.8205416,6000,720,360,6177,4857.5,0.01,9.25,4.9877456,65.5285856,24.68133838,1.727407759
