,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-60x30-S2-GS_Variated1_1,1,138.0,0.7890967318840579,0.00825225,0.00551351,0.0479459,0.004253829345457847
Building_T1-60x30-S2-GS_Variated1_2,1,138.0,0.8854814637681159,0.00903604,0.00463063,0.0431532,0.005814775176227544
Building_T1-60x30-S2-GS_Variated1_3,1,138.0,0.8830379463768115,0.00999099,0.00451351,0.0483604,0.006467220315023043
Building_T1-60x30-S2-GS_Variated1_4,1,138.0,0.7243705811594203,0.00804505,0.00308108,0.0418108,0.004441957605383611
Building_T1-60x30-S2-GS_Variated1_5,1,138.0,0.9653755333333334,0.00795495,0.00569369,0.0487568,0.004735263852660912
Building_T1-60x30-S2-GS_Variated2_1,1,152.0,0.8155880894736842,0.0104324,0.0052973,0.0508559,0.006196409054051829
Building_T1-60x30-S2-GS_Variated2_2,1,152.0,0.6252082407894737,0.00796396,0.00240541,0.0442973,0.004006595214062463
Building_T1-60x30-S2-GS_Variated2_3,1,152.0,0.7853066460526316,0.0102523,0.00696396,0.0462072,0.00528887217736153
Building_T1-60x30-S2-GS_Variated2_4,1,152.0,0.895240405263158,0.00796396,0.00564865,0.0501532,0.004365439209234277
Building_T1-60x30-S2-GS_Variated2_5,1,152.0,0.8171453394736842,0.00742342,0.00454054,0.044027,0.004070411498313522
Building_T1-60x30-S2-GS_Variated3_1,1,154.0,0.7797596285714286,0.0087027,0.00487387,0.0462342,0.004758862602737818
Building_T1-60x30-S2-GS_Variated3_2,1,154.0,0.5855839025974026,0.0106667,0.00267568,0.0457748,0.005092558016701601
Building_T1-60x30-S2-GS_Variated3_3,1,154.0,0.7124170688311688,0.00740541,0.00309009,0.0489459,0.0038762003249160288
Building_T1-60x30-S2-GS_Variated3_4,1,154.0,0.7397694987012987,0.00986486,0.00373874,0.0513243,0.005521383326290475
Building_T1-60x30-S2-GS_Variated3_5,1,154.0,0.5958986649350649,0.00959459,0.00251351,0.0372703,0.00464418796832559
Building_T1-60x30-S2-GS_Variated4_1,1,151.0,0.768264765562914,0.00736036,0.00498198,0.0420631,0.003708303420850971
Building_T1-60x30-S2-GS_Variated4_2,1,151.0,0.735588655629139,0.00752252,0.00494595,0.0435405,0.0037056120437852225
Building_T1-60x30-S2-GS_Variated4_3,1,151.0,0.6181451986754967,0.0078018,0.00463964,0.0357297,0.003288084009454513
Building_T1-60x30-S2-GS_Variated4_4,1,151.0,0.8445333324503311,0.0101532,0.0055045,0.0510991,0.006203287067863035
Building_T1-60x30-S2-GS_Variated4_5,1,151.0,0.7668256569536424,0.0087027,0.0044955,0.0468468,0.0047750888755067975
Building_T1-60x30-S2-GS_Variated5_1,1,143.0,0.8943912349650349,0.0078018,0.00561261,0.0438559,0.004323903294249419
Building_T1-60x30-S2-GS_Variated5_2,1,143.0,0.8275666685314685,0.00899099,0.00456757,0.0418739,0.0054234854927205
Building_T1-60x30-S2-GS_Variated5_3,1,143.0,0.8100777300699301,0.00872072,0.00363964,0.0425946,0.005263337729937754
Building_T1-60x30-S2-GS_Variated5_4,1,143.0,0.6686350881118881,0.00966667,0.00198198,0.0424414,0.005629026898315671
Building_T1-60x30-S2-GS_Variated5_5,1,143.0,0.8006711608391608,0.0104234,0.00701802,0.0457207,0.005453049847690904
Building_T1-60x30-S2-GS_Variated6_1,1,142.0,0.8136025492957747,0.0100631,0.00677477,0.0407838,0.005356600197810957
Building_T1-60x30-S2-GS_Variated6_2,1,142.0,0.9458635985915492,0.0113423,0.00756757,0.0534505,0.007204795396888814
Building_T1-60x30-S2-GS_Variated6_3,1,142.0,0.8958608676056338,0.00887387,0.00620721,0.0529369,0.00507200350792413
Building_T1-60x30-S2-GS_Variated6_4,1,142.0,0.6344393718309859,0.00796396,0.00214414,0.0505586,0.004178916662399288
Building_T1-60x30-S2-GS_Variated6_5,1,142.0,0.7901768873239436,0.00993694,0.00696396,0.0433063,0.004959055660026355
Building_T1-60x30-S2-GS_Variated7_1,1,143.0,0.8725885300699301,0.0107387,0.00723423,0.0489099,0.006140992385492394
Building_T1-60x30-S2-GS_Variated7_2,1,143.0,0.6600537888111889,0.00917117,0.00431532,0.0551532,0.004492729370256561
Building_T1-60x30-S2-GS_Variated7_3,1,143.0,0.8725986993006993,0.010009,0.00681081,0.051009,0.005621208558227803
Building_T1-60x30-S2-GS_Variated7_4,1,143.0,0.7181827454545455,0.00868468,0.00482883,0.0444054,0.004379403673751042
Building_T1-60x30-S2-GS_Variated7_5,1,143.0,0.7427965342657342,0.00862162,0.00371171,0.053018,0.004757596268799537
Building_T1-60x30-S2-GS_Variated8_1,1,157.0,0.5787627375796178,0.00991892,0.00334234,0.0474324,0.004441800804592334
Building_T1-60x30-S2-GS_Variated8_2,1,157.0,0.6070264496815286,0.00613514,0.00296396,0.0479189,0.002618575238567831
Building_T1-60x30-S2-GS_Variated8_3,1,157.0,0.7629493694267516,0.0111171,0.00618018,0.0553694,0.005952601176522583
Building_T1-60x30-S2-GS_Variated8_4,1,157.0,0.5937474076433121,0.0133694,0.00654054,0.0508559,0.005850811879927028
Building_T1-60x30-S2-GS_Variated8_5,1,157.0,0.5652898662420383,0.0134054,0.00681982,0.0539459,0.005643829662101726
Building_T1-60x30-S2-GS_Variated9_1,1,134.0,0.8670098850746268,0.00934234,0.00490991,0.0403063,0.005903266342263102
