,Lat,Lon,SMS,SM1,SDS,SD1,,
1864,33.70657,-118.29226,1.498,0.855,0.998,0.57,,2.192
1869,33.70715,-118.29246,1.499,0.856,0.999,0.571,,
1870,33.70756,-118.29249,1.501,0.857,1,0.572,,
1843,33.70761,-118.29165,1.505,0.861,1.003,0.574,,
1854,33.70812,-118.29182,1.506,0.862,1.004,0.574,,
1845,33.70812,-118.29166,1.507,0.862,1.005,0.575,,
1853,33.70848,-118.29182,1.508,0.863,1.005,0.575,,
1856,33.70873,-118.29195,1.508,0.863,1.005,0.575,,
2790,33.72187,-118.30539,1.509,0.864,1.006,0.576,,
1859,33.70937,-118.29214,1.51,0.864,1.007,0.576,,
1811,33.70803,-118.29098,1.511,0.865,1.007,0.576,,
1865,33.70989,-118.29232,1.511,0.865,1.007,0.576,,
2798,33.72222,-118.30546,1.511,0.865,1.007,0.576,,
1847,33.71028,-118.29167,1.516,0.868,1.011,0.579,,
1775,33.709,-118.29044,1.517,0.869,1.012,0.58,,
1848,33.71059,-118.29174,1.517,0.869,1.011,0.579,,
1630,33.70724,-118.28865,1.52,0.871,1.013,0.581,,
1844,33.71125,-118.29166,1.52,0.871,1.013,0.581,,
2757,33.72392,-118.30491,1.52,0.871,1.013,0.581,,
9080,33.95887,-118.43966,1.524,0.941,1.016,0.627,,
1540,33.70705,-118.2876,1.525,0.875,1.016,0.583,,
1606,33.70804,-118.28832,1.525,0.875,1.016,0.583,,
1874,33.71362,-118.29256,1.525,0.874,1.017,0.583,,
9021,33.95907,-118.43917,1.525,0.941,1.016,0.627,,
1602,33.70845,-118.2883,1.526,0.876,1.018,0.584,,
1603,33.70831,-118.2883,1.526,0.875,1.017,0.584,,
1774,33.71128,-118.29044,1.526,0.876,1.018,0.584,,
1826,33.71219,-118.29122,1.526,0.875,1.017,0.584,,
1539,33.70773,-118.2876,1.527,0.877,1.018,0.584,,
1597,33.7086,-118.28829,1.527,0.876,1.018,0.584,,
2322,33.72182,-118.2996,1.527,0.875,1.018,0.583,,
8998,33.95898,-118.43871,1.527,0.941,1.018,0.627,,
9071,33.95837,-118.43962,1.527,0.94,1.018,0.627,,
8956,33.95924,-118.43813,1.528,0.941,1.019,0.627,,
8965,33.95918,-118.43828,1.528,0.941,1.019,0.627,,
8977,33.95911,-118.43842,1.528,0.941,1.018,0.627,,
