Existing,Ordinance,Algorithm
37564.50172,4951.388586,16477.29475
59317.31575,8183.215107,23147.95075
59012.19059,8905.058537,15128.75584
250270.2339,56408.41225,69950.41331
152443.4241,29238.2482,59953.1889
705498.4068,166212.6051,254069.469
417289.2046,88393.71136,197627.1351
1047839.937,271774.4726,436483.1927
127850918.3,51699491.27,80574689.85
186588063.2,85075726.16,138095122
148775151.7,61565668.22,101933598.5
217796300.1,91781229.29,152204595.1
221017889.6,92947912.2,145232650.2
282318505.8,122234287.7,194912358.3
268326141.5,115322965.5,187393506.7
438707351.4,204748963.3,317450528.9
241781432.9,103366595.9,167845992.7
356861208,160818011,243929730.3
337510491.5,157080105.8,250955169.7
353328576.4,157739760,246601683.6
425034325.7,203485965.3,307264885.9
467900357,226582791.5,344998096
731872058.1,377906992.1,552857812.8
554744297.4,274956420.2,410655956.4
689996065,346556539.2,513534740
664157633.5,324278278.3,489814010.1
844225765,424925296.2,635677041.6
897675077.6,449482861.5,663020561.8
895918675.2,448272314.5,662526507.1
509504686.5,248286082,371561826.1
515623367.7,237343795.7,378949668.4
681877359.9,341860136.9,505766550.4
662203220.5,318420778.1,493174344.5
690587885.3,332020754.5,502065654.4
1070095454,561479571.6,822868470.9
17837115.04,5644031.662,12212631.39
18945790.93,5873627.733,11776165.18
35956432.89,14334709.68,22635717.16
32660350.28,10687774.98,21683814.3
75902021.56,31717200.46,53966470.04
78495295.42,29641256.26,53812140.14
23092808.16,7538120.522,13898635.51
35636807.95,12827236.02,22816370.31
96620939.02,51179023.03,71243656.56
54446443.63,19613941.85,33378810.44
57241481.49,20214020.03,36579082.15
63314666.9,23278749.07,42616769.73
64138878.98,23110852.66,42682651.78
60633306.98,22153794.18,37842777.68
73780963.33,26664491.19,46397307.1
77400715.31,28563745.19,48277106.97
126055439.4,50423767.98,83791461.94
122558389.2,50681954.53,85372993.58
109789809.7,42620364.81,72621636.06
189744252,79842733.93,125139364.6
138325638.6,56245934.3,95611570.21
230851089.1,99744285.05,162298572.2
247083682.8,107941430.2,172112822.5
258634686.1,106286633.3,177437284.2
285961751.7,119906436.2,199573189.6
467908536.5,226177715,330609759.2
241633955.6,104430057.5,169052808.9
227547690,95990539.07,154875775.5
236879928.6,103571832.4,166292484
224179333.2,93880036.11,155306578.9
407576920.1,199842663.6,303807210.2
341605703.8,153872336.6,247466259.1
1606785111,906619559.3,1259028706
1810668353,1058739461,1433576017
1734350485,998333315.5,1356226819
1922587839,1116603681,1525303904
2018809278,1173698386,1612084550
2131594690,1275219230,1723868327
2220861648,1345864672,1800039493
1796637821,1034244582,1423975973
1993675037,1146606522,1563476919
1639976381,913075408.8,1263480033
1838445065,1042607815,1431950503
2126587481,1238263712,1683690013
2584551458,1576733456,2108166324
2191205770,1256077842,1710029317
2047701219,1180252287,1625117018
1983509229,1137999980,1579299460
2339746849,1377617206,1864855130
2266047359,1310053717,1796947997
2599157925,1593984629,2103348618
2592701293,1542782774,2105014374
2168676256,1268995097,1724217363
2548753652,1528040242,2056332144
2552245715,1513126889,2057296748
2898806963,1814262003,2390647593
3261224838,2073293577,2721083532
2680581809,1593502387,2142555064
3387523038,2112151217,2761946828
2612348907,1570740835,2129052978
2750317969,1677845034,2224055389
2753410906,1697811642,2263033113
2914422657,1801017154,2398292601
2909725490,1759000897,2372787164
3507780801,2224451760,2927353600
19732775.71,6237350.534,12742354.36
13784822.05,3916420.271,8717567.288
26300235.08,8180002.903,15577707.24
35825529.05,11989097.17,24489151.27
32646845.86,11634394.62,23381220.04
44178768.99,15170492.8,29005795.39
52286802.94,18698879.35,34830690.03
255348241.4,113882214,190060585.6
306637241.4,137525933.1,228804059.4
301505010.1,137998978.1,217036128.1
419069908.1,196654472.2,314518967.5
462458118.1,215016800.5,345570563.1
451364785.8,213336600.8,335111633.7
223116.1307,39821.05057,100771.805
128665.1994,19320.29903,84949.38913
82897.28046,12401.33695,49315.20951
1034376.506,237331.7337,483017.3842
178525.4481,28120.11015,113991.5016
227043.6991,38569.23701,120031.3415
575468.8911,112043.6055,267842.7852
1405114.307,319249.9847,621023.9328
38159791.35,13630470.1,26306934.93
35398648.5,12167303.48,23573757.8
57207332.5,20037393.79,36216698.18
45839579.4,15444465.69,29558669.18
53184983.97,19356137.67,33946451.99
52088279.6,17307768.59,33059355.55
321787776.6,138483637.8,242127862
387242755.8,183060939.1,285080507.7
418707893.6,196468499.1,319478674.2
448700132.3,206122046.5,340876889.6
555417401,267974318.8,422747032.1
471882164.2,230088377.6,358606686.8
113319568.6,43786044.03,83775244.24
201229800.2,87427135.78,147378805.4
198328326.5,86833392.3,146739432
280093304.2,125215216,198890654
313885738.5,144389326.7,232547428.4
312131613.1,138687034.8,226492966.3
360625309.2,162291498.6,263289553.7
173818697.1,74339468,122715433
157453621.3,62331411.63,110880195.9
154338883.5,61714753.47,112200253.7
124202058.2,47570344.82,87530924.97
194753761.6,82285523.14,137417505.4
153341716,60003194.64,110147311.4
260537079.9,118423491,200728478.2
282248889.9,120541306.1,204169175
543095040.2,266047728.7,409820018.8
501599094.2,238803223.1,381215685.7
531987263.5,244679377.9,398351629.9
552019885.1,260820203.5,408179988
750893027.6,383948677.6,582631895.2
738948003.8,366484924.4,571500784.7
873176686.2,439304500.1,651462243.8
809969931.5,411299976.8,612448476.5
981364729.7,506287336.2,738593294
