,Lat,Lon,SMS,SM1,SDS,SD1,
0,33.86689,-117.85707,1.758,0.943,1.172,0.629,0.879
1,34.09741,-118.1557,2.813,1.385,1.875,0.923,1.40625
2,34.09702,-118.15594,2.811,1.388,1.874,0.925,1.4055
3,34.09586,-118.15734,2.805,1.395,1.87,0.93,1.4025
4,34.09648,-118.15982,2.81,1.392,1.874,0.928,1.4055
5,34.0955,-118.16032,2.804,1.398,1.87,0.932,1.4025
6,34.09851,-118.16205,2.825,1.381,1.883,0.921,1.41225
7,34.09584,-118.16215,2.808,1.397,1.872,0.931,1.404
8,34.09761,-118.16219,2.819,1.386,1.879,0.924,1.40925
9,34.09423,-118.16219,2.798,1.407,1.865,0.938,1.39875
10,34.07958,-118.16266,2.705,1.405,1.803,0.937,1.35225
11,34.07398,-118.16302,2.669,1.387,1.779,0.925,1.33425
12,34.09019,-118.16328,2.773,1.432,1.848,0.955,1.386
13,34.09405,-118.1633,2.797,1.408,1.865,0.939,1.39875
14,34.07004,-118.16361,2.644,1.374,1.763,0.916,1.32225
15,34.08992,-118.16392,2.771,1.434,1.847,0.956,1.38525
16,34.08426,-118.16582,2.735,1.421,1.824,0.947,1.368
17,34.08396,-118.16582,2.733,1.42,1.822,0.947,1.3665
18,34.08227,-118.16585,2.722,1.414,1.815,0.943,1.36125
19,34.07358,-118.16597,2.666,1.386,1.777,0.924,1.33275
20,34.08818,-118.166,2.761,1.434,1.841,0.956,1.38075
21,34.08434,-118.16651,2.736,1.421,1.824,0.947,1.368
22,34.08899,-118.16718,2.767,1.437,1.844,0.958,1.383
23,34.0852,-118.16824,2.742,1.425,1.828,0.95,1.371
24,34.08821,-118.16903,2.762,1.435,1.842,0.957,1.3815
25,34.0875,-118.16954,2.758,1.433,1.839,0.955,1.37925
26,34.11791,-118.17002,2.818,1.488,1.879,0.992,1.40925
27,34.11822,-118.17006,2.818,1.489,1.879,0.993,1.40925
28,34.08378,-118.17017,2.733,1.42,1.822,0.947,1.3665
29,34.11796,-118.17039,2.818,1.489,1.879,0.993,1.40925
30,34.0804,-118.17056,2.711,1.409,1.807,0.939,1.35525
31,34.08788,-118.17071,2.761,1.434,1.841,0.956,1.38075
32,34.0804,-118.17077,2.711,1.409,1.807,0.939,1.35525
33,34.08835,-118.17085,2.764,1.436,1.843,0.957,1.38225
34,34.08364,-118.1709,2.733,1.42,1.822,0.947,1.3665
35,34.08379,-118.17157,2.734,1.421,1.823,0.947,1.36725
36,34.11684,-118.17182,2.819,1.489,1.879,0.993,1.40925
37,34.07503,-118.17185,2.675,1.391,1.784,0.927,1.338
38,34.08084,-118.17192,2.714,1.411,1.809,0.941,1.35675
39,34.11591,-118.1723,2.819,1.488,1.88,0.992,1.41
40,34.08756,-118.17236,2.759,1.434,1.84,0.956,1.38
41,34.11582,-118.17242,2.819,1.488,1.88,0.992,1.41
42,34.08321,-118.17245,2.73,1.419,1.82,0.946,1.365
43,34.08315,-118.1726,2.73,1.419,1.82,0.946,1.365
44,34.0831,-118.17276,2.73,1.419,1.82,0.946,1.365
45,34.07063,-118.17288,2.646,1.376,1.764,0.917,1.323
46,34.11713,-118.1733,2.818,1.49,1.879,0.993,1.40925
47,34.11723,-118.17348,2.818,1.49,1.879,0.994,1.40925
48,34.11574,-118.17378,2.819,1.489,1.879,0.993,1.40925
49,34.08671,-118.17395,2.754,1.431,1.836,0.954,1.377
50,34.07005,-118.17429,2.641,1.374,1.761,0.916,1.32075
51,34.08634,-118.17467,2.752,1.43,1.835,0.954,1.37625
52,34.069,-118.17469,2.634,1.37,1.756,0.913,1.317
53,34.11582,-118.17502,2.819,1.49,1.879,0.993,1.40925
54,34.06869,-118.17502,2.632,1.369,1.755,0.913,1.31625
55,34.08246,-118.17504,2.726,1.417,1.817,0.945,1.36275
56,34.0826,-118.17505,2.727,1.417,1.818,0.945,1.3635
57,34.11576,-118.17519,2.819,1.49,1.879,0.994,1.40925
