Index,Fatality Rate
L1-2S-60X30-GWB,0.025809025
L1-3S-60X30-GWB,0.038659138
L1-2S-100X30-GWB,0.042921223
L1-3S-100X30-GWB,0.064370393
L1-2S-60X30-HWS,0.025535301
L1-3S-60X30-HWS,0.038184411
L1-2S-100X30-HWS,0.04257936
L1-3S-100X30-HWS,0.063881316
L2-2S-60X50-GWB,0.042580769
L2-3S-60X50-GWB,0.064039775
L2-2S-100X50-GWB,0.071052075
L2-3S-100X50-GWB,0.10645153
L2-2S-60X50-HWS,0.042527645
L2-3S-60X50-HWS,0.064017631
L2-2S-100X50-HWS,0.07127379
L2-3S-100X50-HWS,0.105394334
L3-2S-50X30-GWB,0.021197853
L3-3S-50X30-GWB,0.031889498
L3-2S-80X30-GWB,0.034292822
L3-3S-80X30-GWB,0.051581626
L3-2S-50X30-HWS,0.021422286
L3-3S-50X30-HWS,0.031675934
L3-2S-80X30-HWS,0.034148931
L3-3S-80X30-HWS,0.051483719
L4-2S-60X50-GWB,0.042715092
L4-3S-60X50-GWB,0.063707912
L4-2S-100X50-GWB,0.071444603
L4-3S-100X50-GWB,0.10655086
L4-2S-60X50-HWS,0.042563961
L4-3S-60X50-HWS,0.063840722
L4-2S-100X50-HWS,0.071436161
L4-3S-100X50-HWS,0.107165808
