,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
0,33.866890000000005,-117.85707,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,81027.28020868108
1,34.097409999999996,-118.1557,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17000.897760074222
2,34.09702,-118.15593999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,35906.3023477144
3,34.095859999999995,-118.15733999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,35736.117263706634
4,34.09648,-118.15982,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17921.14048185124
5,34.0955,-118.16032,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31739.474505011698
6,34.09851,-118.16205,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,72881.33252641326
7,34.09584,-118.16215,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,20562.29849990632
8,34.097609999999996,-118.16219,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18718.394456120106
9,34.094229999999996,-118.16219,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,29834.54323390048
10,34.07958,-118.16266,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36735.5217298511
11,34.07398,-118.16301999999999,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,35491.39266150081
12,34.09019,-118.16328,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,57125.3230100945
13,34.09405,-118.1633,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,52051.115716123764
14,34.070040000000006,-118.16361,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,51177.51391600406
15,34.08992,-118.16391999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,60168.52719200368
16,34.08426,-118.16582,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19183.584170626862
17,34.08396,-118.16582,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,33628.87174579457
18,34.08227,-118.16585,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,27182.288202241114
19,34.07358,-118.16597,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,50920.32654752239
20,34.08818,-118.166,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,52894.520262815466
21,34.084340000000005,-118.16651,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17841.809710943187
22,34.08899,-118.16718,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,25898.356961265596
23,34.0852,-118.16824,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20416.035568779702
24,34.08821,-118.16903,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,38170.91253677478
25,34.0875,-118.16953999999998,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19224.92167902986
26,34.117909999999995,-118.17002,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,58019.009763309834
27,34.11822,-118.17006,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,26129.73246083308
28,34.08378,-118.17017,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37418.31343312565
29,34.11796,-118.17039,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18081.877499707378
30,34.0804,-118.17056000000001,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,35405.9013587672
31,34.08788,-118.17071000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17669.71653526007
32,34.0804,-118.17076999999999,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,23059.361332208427
33,34.08835,-118.17085,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31943.463008808343
34,34.08364,-118.1709,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,59006.04285616657
35,34.08379,-118.17156999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,51361.77542599347
36,34.11684,-118.17182,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,57510.17265909727
37,34.07503,-118.17185,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,56572.44626289044
38,34.08084,-118.17192,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,31706.29804360113
39,34.11591,-118.1723,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,39258.02980225197
40,34.087559999999996,-118.17236000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,38010.86934735655
41,34.11582,-118.17241999999999,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,26361.934278999746
42,34.08321,-118.17245,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,24048.53271340915
43,34.08315,-118.1726,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17771.930307491602
