Index,ExteriorWall,InteriorWall,Ceiling
L1-2S-60X30-GWB,2462.234375,3454.489583,50
L1-3S-60X30-GWB,3806.760417,5768.916667,112.5
L1-2S-100X30-GWB,3592.661458,4507.0625,83.33333333
L1-3S-100X30-GWB,5505.098958,7497.895833,187.5
L1-2S-60X30-HWS,2462.234375,3454.489583,50
L1-3S-60X30-HWS,3806.760417,5768.916667,112.5
L1-2S-100X30-HWS,3592.661458,4507.0625,83.33333333
L1-3S-100X30-HWS,5505.098958,7497.895833,187.5
L2-2S-60X50-GWB,12497.52083,9360.807292,83.33333333
L2-3S-60X50-GWB,20233.60417,14977.29167,187.5
L2-2S-100X50-GWB,14794.02604,12344.70313,138.8888889
L2-3S-100X50-GWB,20359.44271,15964.34375,312.5
L2-2S-60X50-HWS,3014.921875,5490.838542,83.33333333
L2-3S-60X50-HWS,4685.317708,8667.25,187.5
L2-2S-100X50-HWS,4150.744792,6850.588542,138.8888889
L2-3S-100X50-HWS,6389.052083,10706.875,312.5
L3-2S-50X30-GWB,2604.453125,2260.661458,41.66666667
L3-3S-50X30-GWB,3857.442708,3763.979167,93.75
L3-2S-80X30-GWB,2972.71875,4964.9375,66.66666667
L3-3S-80X30-GWB,4600.911458,7615.447917,150
L3-2S-50X30-HWS,2604.453125,2260.661458,41.66666667
L3-3S-50X30-HWS,3857.442708,3763.979167,93.75
L3-2S-80X30-HWS,2972.71875,4964.9375,66.66666667
L3-3S-80X30-HWS,4600.911458,7615.447917,150
L4-2S-60X50-GWB,3395.328125,5789.729167,83.33333333
L4-3S-60X50-GWB,5065.723958,8966.140625,187.5
L4-2S-100X50-GWB,4548.880208,7310.197917,138.8888889
L4-3S-100X50-GWB,6787.1875,11166.48438,312.5
L4-2S-60X50-HWS,3395.328125,5789.729167,83.33333333
L4-3S-60X50-HWS,5065.723958,8966.140625,187.5
L4-2S-100X50-HWS,4548.880208,7310.197917,138.8888889
L4-3S-100X50-HWS,6787.1875,11166.48438,312.5
