Index,Slight,Moderate,Severe,Complete
L1-2S-60X30-GWB,0.674268592,1.202342386,1.519821945,1.596052368
L1-3S-60X30-GWB,0.639582013,0.93220548,1.068505023,1.091172647
L1-2S-100X30-GWB,0.582800871,0.970513063,1.126043806,1.148184302
L1-3S-100X30-GWB,0.526320975,0.764610482,0.880726235,0.902584336
L1-2S-60X30-HWS,0.545953943,1.03984893,1.457586433,1.785830842
L1-3S-60X30-HWS,0.487171638,0.777377396,1.070879223,1.188631324
L1-2S-100X30-HWS,0.485561236,0.788010062,1.092435875,1.188186244
L1-3S-100X30-HWS,0.37109728,0.575024484,0.826066961,0.903035286
L2-2S-60X50-GWB,0.638032233,1.038662988,1.325233803,1.424734179
L2-3S-60X50-GWB,0.510248027,0.794871123,0.897820861,0.898683737
L2-2S-100X50-GWB,0.501914032,0.849007565,1.072061996,1.123781383
L2-3S-100X50-GWB,0.445529459,0.714044931,0.811671634,0.830348951
L2-2S-60X50-HWS,0.488673036,0.905945662,1.383724477,1.64260556
L2-3S-60X50-HWS,0.372086643,0.627022905,0.889473368,0.987732545
L2-2S-100X50-HWS,0.388911674,0.742239897,1.089839786,1.298458552
L2-3S-100X50-HWS,0.314978439,0.509927928,0.713680011,0.75339302
L3-2S-50X30-GWB,0.766081005,1.248283907,1.418073447,1.436462271
L3-3S-50X30-GWB,0.625078297,0.852400822,0.978292051,1.000279497
L3-2S-80X30-GWB,0.735736327,1.215323096,1.330663852,1.335984796
L3-3S-80X30-GWB,0.617573745,0.854211774,0.929747009,0.929749009
L3-2S-50X30-HWS,0.655540348,1.10083186,1.441271642,1.537502372
L3-3S-50X30-HWS,0.544803738,0.831712556,1.084021305,1.163978077
L3-2S-80X30-HWS,0.582334959,0.945917752,1.294114475,1.466774621
L3-3S-80X30-HWS,0.382465785,0.608502544,0.827998378,0.916994725
L4-2S-60X50-GWB,0.757431057,1.167891149,1.350511814,1.38492486
L4-3S-60X50-GWB,0.580524999,0.843648677,0.945459506,0.946895093
L4-2S-100X50-GWB,0.67452541,1.015489264,1.113871121,1.1196427
L4-3S-100X50-GWB,0.523837644,0.750780872,0.822346523,0.823632232
L4-2S-60X50-HWS,0.578062982,0.962928523,1.309440551,1.48132171
L4-3S-60X50-HWS,0.484446985,0.773518151,1.054773384,1.162081481
L4-2S-100X50-HWS,0.459098237,0.753065694,1.024784338,1.107516075
L4-3S-100X50-HWS,0.370068046,0.57158073,0.769519133,0.837254853
