Index,Xpeakstrength,Zpeakstrength
Building_T1-60x30-S2-GS_Variated1_1,0.450907822,0.461503097
Building_T1-60x30-S2-GS_Variated1_2,0.506053498,0.539571016
Building_T1-60x30-S2-GS_Variated1_3,0.504378717,0.544072001
Building_T1-60x30-S2-GS_Variated1_4,0.413780171,0.463187336
Building_T1-60x30-S2-GS_Variated1_5,0.552252589,0.555725096
Building_T1-60x30-S2-GS_Variated2_1,0.486567554,0.519065186
Building_T1-60x30-S2-GS_Variated2_2,0.372989196,0.429443096
Building_T1-60x30-S2-GS_Variated2_3,0.468448703,0.467750962
Building_T1-60x30-S2-GS_Variated2_4,0.534827313,0.541318672
Building_T1-60x30-S2-GS_Variated2_5,0.488136753,0.510376872
Building_T1-60x30-S2-GS_Variated3_1,0.499293569,0.526817678
Building_T1-60x30-S2-GS_Variated3_2,0.374151117,0.42687328
Building_T1-60x30-S2-GS_Variated3_3,0.4562722,0.510262732
Building_T1-60x30-S2-GS_Variated3_4,0.473383378,0.51961805
Building_T1-60x30-S2-GS_Variated3_5,0.380989853,0.438846891
Building_T1-60x30-S2-GS_Variated4_1,0.457936954,0.465477021
Building_T1-60x30-S2-GS_Variated4_2,0.43831733,0.450873129
Building_T1-60x30-S2-GS_Variated4_3,0.367891137,0.38132145
Building_T1-60x30-S2-GS_Variated4_4,0.502775691,0.465471022
Building_T1-60x30-S2-GS_Variated4_5,0.456671377,0.465469886
Building_T1-60x30-S2-GS_Variated5_1,0.561540857,0.560695342
Building_T1-60x30-S2-GS_Variated5_2,0.518973236,0.553256028
Building_T1-60x30-S2-GS_Variated5_3,0.508013834,0.552773899
Building_T1-60x30-S2-GS_Variated5_4,0.418487677,0.505139561
Building_T1-60x30-S2-GS_Variated5_5,0.501515067,0.50120835
Building_T1-60x30-S2-GS_Variated6_1,0.472179253,0.470996424
Building_T1-60x30-S2-GS_Variated6_2,0.549038613,0.530528894
Building_T1-60x30-S2-GS_Variated6_3,0.520499289,0.527479368
