Lat,Long,SDS,Existing,Ordinance ,Algorithm
33.86689,-117.85707,0.879,2571543.774,2149026.615,2525432.494
34.09741,-118.1557,1.40625,491887.1174,382369.3932,424733.035
34.09702,-118.15594,1.4055,974208.4174,803341.7732,863614.8064
34.09586,-118.15734,1.4025,950468.9056,728842.2727,944418.7741
34.09648,-118.15982,1.4055,491621.7546,382090.4231,424455.2564
34.0955,-118.16032,1.4025,805098.0602,671321.2844,725185.713
34.09851,-118.16205,1.41225,3482047.652,3226823.295,3456849.255
34.09584,-118.16215,1.404,491090.379,381532.0634,423899.1812
34.09761,-118.16219,1.40925,492946.403,383483.8732,425842.422
34.09423,-118.16219,1.39875,847492.6388,589833.5748,853804.6858
34.07958,-118.16266,1.35225,913381.5468,690996.3447,907246.1559
34.07398,-118.16302,1.33425,1222564.51,910990.5123,970019.206
34.09019,-118.16328,1.386,1888316.067,1696718.356,1900444.221
34.09405,-118.1633,1.39875,1899638.621,1696641.367,1894654.754
34.07004,-118.16361,1.32225,1942401.486,1686483.298,1923629.478
34.08992,-118.16392,1.38525,1887516.082,1695836.385,1899650.64
34.08426,-118.16582,1.368,472547.3124,332632.272,464403.7222
34.08396,-118.16582,1.3665,945839.7689,773860.5529,848528.545
34.08227,-118.16585,1.36125,667677.0036,308139.6748,480993.5562
34.07358,-118.16597,1.33275,1829362.368,1632152.579,1841936.506
34.08818,-118.166,1.38075,1880453.624,1675399.895,1875407.556
34.08434,-118.16651,1.368,478075.6866,367965.2654,382356.5798
34.08899,-118.16718,1.383,664493.8788,384432.3495,427184.366
34.0852,-118.16824,1.371,473655.9599,333757.0051,465519.6075
34.08821,-118.16903,1.3815,956889.0247,785297.7703,859903.0417
34.0875,-118.16954,1.37925,476686.8774,336841.3518,468570.8681
34.11791,-118.17002,1.40925,1910606.323,1708829.744,1923803.788
34.11822,-118.17006,1.40925,983567.8336,740212.8391,979944.7524
34.08378,-118.17017,1.3665,945839.7689,773860.5529,848528.545
34.11796,-118.17039,1.40925,487488.7244,347947.5403,479451.8722
34.0804,-118.17056,1.35525,915648.689,693286.4279,909517.864
34.08788,-118.17071,1.38075,477235.1429,337400.7661,469122.9006
34.0804,-118.17077,1.35525,665268.0148,305633.6239,478213.1203
34.08835,-118.17085,1.38225,793594.299,659154.0242,703911.5156
34.08364,-118.1709,1.3665,1867238.081,1673534.37,1879531.724
34.08379,-118.17157,1.36725,1868059.55,1674435.82,1880346.87
34.11684,-118.17182,1.40925,1912697.534,1723677.344,1924625.737
34.07503,-118.17185,1.338,1832897.75,1623168.871,1827707.471
34.08084,-118.17192,1.35675,824156.8103,564452.5195,830608.2989
34.11591,-118.1723,1.41,955843.3469,734395.2655,949807.4484
34.08756,-118.17236,1.38,955791.9013,784159.5503,858772.1662
34.11582,-118.17242,1.41,809292.2894,675777.5423,729575.3014
34.08321,-118.17245,1.365,967259.3615,716142.53,963453.9235
34.08315,-118.1726,1.365,471435.1945,331505.8714,463284.4534
34.0831,-118.17276,1.365,1236723.231,970090.0679,1060864.314
34.07063,-118.17288,1.323,455499.3519,315566.451,447258.1016
34.11713,-118.1733,1.40925,492946.403,383483.8732,425842.422
34.11723,-118.17348,1.40925,492946.403,383483.8732,425842.422
34.11574,-118.17378,1.40925,1912697.534,1723677.344,1924625.737
34.08671,-118.17395,1.377,1876395.086,1670919.028,1871336.158
34.07005,-118.17429,1.32075,1812892.725,1601372.781,1807645.954
34.08634,-118.17467,1.37625,790135.1845,655511.0848,700300.3145
34.069,-118.17469,1.317,1629247.737,1377890.585,1633460.976
34.11582,-118.17502,1.40925,1910606.323,1708829.744,1923803.788
34.06869,-118.17502,1.31625,1807595.172,1595618.016,1802333.851
34.08246,-118.17504,1.36275,476135.4635,365960.4437,380346.076
34.0826,-118.17505,1.3635,1863943.513,1669920.73,1876262.412
34.11576,-118.17519,1.40925,2262146.454,1830560.816,2114671.376
34.08971,-118.17519,1.3875,479691.659,339912.8432,471596.6232
34.08801,-118.17539,1.3815,838054.9346,579486.6507,844425.3558
34.08629,-118.1754,1.37625,475587.7539,335721.2494,467464.2732
34.08603,-118.17541,1.37475,930220.7495,708078.3005,924121.2742
34.08009,-118.17596,1.3545,1648545.359,1406966.555,1652546.043
