Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T1-60x30-S2-GS_Variated1_1,0.369782876,1.025272986,1.590300666,1.878407044,1.903622618
Building_T1-60x30-S2-GS_Variated1_2,0.450649871,1.131547687,1.697459465,1.972067126,2.022681848
Building_T1-60x30-S2-GS_Variated1_3,0.406283087,1.095084896,1.691937103,2.019667547,2.063024345
Building_T1-60x30-S2-GS_Variated1_4,0.46265323,1.097658473,1.592909076,1.807560384,1.831874099
Building_T1-60x30-S2-GS_Variated1_5,0.405303185,1.130478476,1.745696922,2.107438826,2.175657746
Building_T1-60x30-S2-GS_Variated2_1,0.468037745,1.170472387,1.7945039,2.134847591,2.184561092
Building_T1-60x30-S2-GS_Variated2_2,0.450525646,1.012859602,1.495446204,1.677570933,1.70590538
Building_T1-60x30-S2-GS_Variated2_3,0.391774375,1.107277422,1.723488517,1.99768791,2.024658131
Building_T1-60x30-S2-GS_Variated2_4,0.376431535,1.110364679,1.748271139,2.093160659,2.140324966
Building_T1-60x30-S2-GS_Variated2_5,0.423196414,1.149364818,1.716342024,1.96189702,1.992946464
Building_T1-60x30-S2-GS_Variated3_1,0.432169138,1.06263803,1.608440299,1.821847305,1.83847513
Building_T1-60x30-S2-GS_Variated3_2,0.379383124,0.904795456,1.377398788,1.529875113,1.54900166
Building_T1-60x30-S2-GS_Variated3_3,0.41632128,1.041327249,1.530783741,1.733312813,1.7624585
Building_T1-60x30-S2-GS_Variated3_4,0.38340988,1.00264682,1.534516292,1.802456149,1.84265914
Building_T1-60x30-S2-GS_Variated3_5,0.403780571,0.949786407,1.350773497,1.432964239,1.439168139
Building_T1-60x30-S2-GS_Variated4_1,0.417133411,1.089566348,1.613512909,1.83366701,1.854039243
Building_T1-60x30-S2-GS_Variated4_2,0.421979739,1.082786343,1.617983448,1.843049992,1.87258109
Building_T1-60x30-S2-GS_Variated4_3,0.340147915,0.895865639,1.335545611,1.430765101,1.432352388
Building_T1-60x30-S2-GS_Variated4_4,0.464638568,1.142694257,1.755687884,2.072823601,2.105819753
Building_T1-60x30-S2-GS_Variated4_5,0.405222631,1.078660484,1.622683017,1.886468583,1.899647881
Building_T1-60x30-S2-GS_Variated5_1,0.396803321,1.047392117,1.627130676,1.929868912,1.978982199
