Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,ForceAmplification,DispShift,1st Mode,2nd Mode,3rd Mode,4th Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Xarea,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength,Zarea,CollapseMedian
Building_T1-60x30-S2-GS_Existing1,2,240.232,1800,720,360,4033.5,3642.25,0.042038341,10.69578971,0.345181445,-0.075203112,0.301723434,0.249267365,0.204016341,0.092363347,0.351732991,0.0042696,0.0022735,0.0186202,0.001068251,0.372794454,0.00162384,0.00107492,0.00193777,0.000382741,1.284458721
Building_T1-60x30-S2-GS_Existing2,2,253.62,1800,720,360,4033.5,3642.25,0.046951174,11.34226019,0.233618865,-0.099318722,0.319215049,0.263076629,0.21431467,0.097825932,0.30514239,0.00389451,0.00207076,0.0169857,0.00084585,0.32325398,0.0014479,0.000956698,0.00172333,0.000295801,1.208696404
Building_T1-60x30-S2-GS_Existing3,2,239.688,1800,720,360,4033.5,3642.25,0.020064671,11.02473983,-0.230265194,-0.067570477,0.397125166,0.325991697,0.263655747,0.121274124,0.198563866,0.00408622,0.00213411,0.0169792,0.000580317,0.209326429,0.00138387,0.000933631,0.00139953,0.000179737,0.808382351
Building_T1-60x30-S2-GS_Existing4,2,252.116,1800,720,360,4033.5,3642.25,0.031166932,10.26958118,-0.30611915,-0.115923049,0.419749457,0.345311129,0.281184845,0.128478221,0.168932602,0.00420831,0.00217775,0.0168234,0.000509529,0.177715499,0.00145683,0.000989992,0.00130129,0.000160722,0.740009524
Building_T1-60x30-S2-GS_Existing5,2,226.683,1800,720,360,4033.5,3642.25,0.027863408,9.469975192,-0.123598074,-0.058842535,0.36415324,0.299539583,0.242166324,0.111368727,0.239269089,0.00482265,0.00252381,0.0200353,0.000824674,0.252269689,0.00165121,0.00111718,0.00168158,0.000258328,0.937505536
Building_T1-60x30-S2-GS_Existing6,2,243.288,1800,720,360,4033.5,3642.25,0.0111803,10.82394829,-0.219712248,-0.021937374,0.408236231,0.336421726,0.274700263,0.124829487,0.197767835,0.0044304,0.00230778,0.0179908,0.000626717,0.208292483,0.00156639,0.00106718,0.0014933,0.000202746,0.799111263
Building_T1-60x30-S2-GS_Existing7,2,230.229,1800,720,360,4033.5,3642.25,0.031884047,11.18467845,-0.041127287,0.051462484,0.369910555,0.30428703,0.246806302,0.113340492,0.258932016,0.00457016,0.00240417,0.0193261,0.000845132,0.273391379,0.00160346,0.0010753,0.00174472,0.000273877,1.067118466
Building_T1-60x30-S2-GS_Existing8,2,253.952,1800,720,360,4033.5,3642.25,0.045757153,11.3095997,-0.222684427,0.184668577,0.460642722,0.378773686,0.307589161,0.141040776,0.187073242,0.00508913,0.00262315,0.0201141,0.00068301,0.196515048,0.0017304,0.00116946,0.00144559,0.000211187,0.938113217
Building_T1-60x30-S2-GS_Existing9,2,213.447,1800,720,360,4033.5,3642.25,0.02147194,9.044337112,-0.250757911,-0.138765029,0.366137075,0.300658616,0.243981992,0.11191203,0.216771784,0.00462242,0.00240868,0.0190429,0.000717039,0.228447114,0.00157991,0.00106945,0.00155738,0.000224036,0.818271319
Building_T1-60x30-S2-GS_Existing10,2,242.57,1800,720,360,4033.5,3642.25,0.010502632,11.13819193,-0.319947261,0.171864236,0.480366972,0.394859911,0.320497938,0.146757737,0.170508901,0.00511136,0.00261492,0.0198323,0.000626147,0.178869938,0.00172489,0.00116602,0.00131462,0.000191543,0.785256572
Building_T1-60x30-S3-GS_Existing1,3,435.661,3600,720,360,6351.5,6071,0.038825621,11.58959352,0.120123172,0.129523857,0.527008647,0.442209379,0.379643531,0.15658424,0.156284214,0.00348414,0.00185962,0.0123913,0.000384682,0.163908294,0.00148779,0.00104969,0.000981185,0.000147686,0.827766871
Building_T1-60x30-S3-GS_Existing2,3,433.176,3600,720,360,6351.5,6071,0.046135973,11.30313177,0.265942186,0.031987439,0.472233643,0.39654043,0.340106379,0.140371209,0.179402188,0.00327367,0.00176747,0.0120494,0.000413674,0.188723622,0.0014277,0.00100204,0.00101986,0.000163796,0.881166523
