Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T1-60x30-S2-GS_Existing1,0.329660351,0.884339472,1.322412699,1.467601677,1.481104949
Building_T1-60x30-S2-GS_Existing2,0.312915191,0.811050019,1.226989613,1.350254242,1.364673921
Building_T1-60x30-S2-GS_Existing3,0.184468097,0.525125989,0.787491109,0.823351577,0.824550303
Building_T1-60x30-S2-GS_Existing4,0.160494583,0.480399641,0.688040437,0.742121064,0.748565387
Building_T1-60x30-S2-GS_Existing5,0.190450266,0.566524119,0.890811398,0.988299847,0.996978156
Building_T1-60x30-S2-GS_Existing6,0.165303003,0.508164711,0.755353213,0.810316749,0.810311602
Building_T1-60x30-S2-GS_Existing7,0.220192605,0.650511859,0.996497585,1.117991423,1.123589065
Building_T1-60x30-S2-GS_Existing8,0.167998813,0.497273298,0.796669335,0.905681959,0.920194605
Building_T1-60x30-S2-GS_Existing9,0.179253198,0.515301663,0.789715421,0.868545125,0.868536188
Building_T1-60x30-S2-GS_Existing10,0.135719511,0.421593084,0.6523785,0.734427814,0.752926711
Building_T1-60x30-S3-GS_Existing1,0.148577486,0.439916515,0.67051337,0.75466345,0.754678061
Building_T1-60x30-S3-GS_Existing2,0.174568685,0.505979617,0.770527014,0.83860461,0.851929098
Building_T1-60x30-S3-GS_Existing3,0.107134395,0.322392913,0.477074725,0.530727778,0.530749004
Building_T1-60x30-S3-GS_Existing4,0.108664399,0.328194733,0.484314852,0.546304566,0.54636432
Building_T1-60x30-S3-GS_Existing5,0.143193105,0.429763915,0.615498283,0.651172519,0.651172519
Building_T1-60x30-S3-GS_Existing6,0.121078318,0.342160897,0.483483854,0.531669183,0.531678891
Building_T1-60x30-S3-GS_Existing7,0.135445832,0.45319643,0.728276297,0.824598473,0.840166473
Building_T1-60x30-S3-GS_Existing8,0.10626534,0.287833378,0.455974443,0.48775486,0.488134041
Building_T1-60x30-S3-GS_Existing9,0.108749512,0.325244874,0.481361702,0.525430977,0.525430977
Building_T1-60x30-S3-GS_Existing10,0.142891405,0.429142197,0.634606576,0.66217685,0.665323205
Building_T1-100x30-S2-GS_Existing1,0.152908841,0.51382905,0.784077968,0.8638354,0.863961952
Building_T1-100x30-S2-GS_Existing2,0.282406812,0.778899642,1.192331289,1.32290353,1.330983428
Building_T1-100x30-S2-GS_Existing3,0.127766459,0.427090255,0.687978042,0.744124723,0.74416075
Building_T1-100x30-S2-GS_Existing4,0.182589474,0.541503411,0.781046334,0.853474181,0.855144303
Building_T1-100x30-S2-GS_Existing5,0.141452823,0.441297092,0.676018174,0.73777747,0.73777747
Building_T1-100x30-S2-GS_Existing6,0.215761742,0.660370203,1.064360266,1.211750738,1.223607757
Building_T1-100x30-S2-GS_Existing7,0.167451774,0.527147248,0.781278005,0.850246475,0.853336761
Building_T1-100x30-S2-GS_Existing8,0.169442874,0.514093739,0.760055802,0.794410372,0.799800307
Building_T1-100x30-S2-GS_Existing9,0.286272201,0.764459218,1.114324715,1.185846778,1.19233418
Building_T1-100x30-S2-GS_Existing10,0.221846106,0.663524816,1.004043461,1.061134863,1.076919582
