Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T1-60x30-S2-GS_Existing,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.36200161,0.298658379,0.335198,0.005292,0.002768,0.021823,0.353441,0.001864,0.00127,0.001879
Building_T1-60x30-S3-GS_Existing,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.494174648,0.415336721,0.197333,0.003863,0.002043,0.013447,0.206614,0.001628,0.001154,0.001018
Building_T1-100x30-S2-GS_Existing,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.3895726,0.307775238,0.436564,0.005457,0.002913,0.0227,0.249597,0.003013,0.001622,0.003588
Building_T1-100x30-S3-GS_Existing,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.543373446,0.444664973,0.260454,0.004067,0.002228,0.014276,0.145004,0.002694,0.001482,0.003021
Building_T1-60x30-S2-PS_Existing,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.418307074,0.347314558,0.262061,0.005381,0.003313,0.035295,0.253334,0.003702,0.001945,0.004081
Building_T1-60x30-S3-PS_Existing,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.583408784,0.486919863,0.15325,0.003962,0.002426,0.019404,0.146634,0.003424,0.001699,0.003139
Building_T1-100x30-S2-PS_Existing,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.469072491,0.356969031,0.343384,0.00554,0.003441,0.037086,0.171406,0.005807,0.002616,0.034434
Building_T1-100x30-S3-PS_Existing,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.671786988,0.512755931,0.203842,0.004198,0.002632,0.021732,0.097159,0.003935,0.002064,0.018438
Building_T2-60x50-S2-GS_Existing,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.37174466,0.323898855,0.377547,0.005282,0.002448,0.021247,0.327717,0.005403,0.002717,0.019999
Building_T2-60x50-S3-GS_Existing,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.508434531,0.448244819,0.224495,0.004529,0.002089,0.013793,0.195474,0.004009,0.002063,0.012496
Building_T2-100x50-S2-GS_Existing,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.404972464,0.389100806,0.421133,0.00554,0.002723,0.021719,0.210485,0.005373,0.002602,0.018559
Building_T2-100x50-S3-GS_Existing,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.558489475,0.528451059,0.253478,0.004777,0.002313,0.014267,0.124793,0.003966,0.001952,0.011258
Building_T2-60x50-S2-PS_Existing,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.435392768,0.434100038,0.267973,0.005815,0.003104,0.03688,0.186035,0.005358,0.003406,0.038106
Building_T2-60x50-S3-PS_Existing,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.601648917,0.599744846,0.156474,0.005238,0.002549,0.023234,0.108935,0.003953,0.002481,0.024695
Building_T2-100x50-S2-PS_Existing,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.543642468,0.450163568,0.297874,0.005846,0.003354,0.037473,0.117537,0.005334,0.003328,0.036848
Building_T2-100x50-S3-PS_Existing,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.751371178,0.613085895,0.177051,0.005363,0.002835,0.024639,0.067592,0.003883,0.002369,0.016895
Building_T3-50x30-S2-GS_Existing,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.344827322,0.234754716,0.602199,0.005844,0.003256,0.023847,0.340877,0.005171,0.002185,0.022113
Building_T3-50x30-S3-GS_Existing,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.473033533,0.340082466,0.362491,0.004931,0.002668,0.015795,0.202169,0.003878,0.001755,0.013704
Building_T3-80x30-S2-GS_Existing,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.357174763,0.269752245,0.601655,0.005867,0.003244,0.023429,0.359544,0.004204,0.001898,0.019356
Building_T3-80x30-S3-GS_Existing,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.494514161,0.394010193,0.364231,0.004993,0.002677,0.015594,0.214751,0.003565,0.001775,0.01235
Building_T3-50x30-S2-PS_Existing,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.384082537,0.272511048,0.478146,0.006053,0.003752,0.038061,0.284284,0.005678,0.002943,0.033994
Building_T3-50x30-S3-PS_Existing,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.535461821,0.398851613,0.286834,0.005814,0.003467,0.025754,0.167461,0.004783,0.002345,0.0197
Building_T3-80x30-S2-PS_Existing,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.44479409,0.32761461,0.454323,0.005902,0.003728,0.038271,0.21847,0.005887,0.003101,0.037582
Building_T3-80x30-S3-PS_Existing,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.627979513,0.470284996,0.273896,0.005659,0.003349,0.026281,0.127442,0.005339,0.002691,0.025119
Building_T4-60x50-S2-GS_Existing,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.30758378,0.281413561,0.374835,0.005801,0.003073,0.022091,0.477701,0.00659,0.003287,0.022004
Building_T4-60x50-S3-GS_Existing,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.439465153,0.399041159,0.22593,0.004942,0.002535,0.014411,0.289011,0.005274,0.002669,0.01446
