Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T1-60x30-S2-GS_Existing1,2,240.232,1800,720,360,4033.5,3642.25,0.042038341,10.69578971,0.301723434,0.249267365,0.351732991,0.0042696,0.0022735,0.0186202,0.372794454,0.00162384,0.00107492,0.00193777
Building_T1-60x30-S2-GS_Existing2,2,253.62,1800,720,360,4033.5,3642.25,0.046951174,11.34226019,0.319215049,0.263076629,0.30514239,0.00389451,0.00207076,0.0169857,0.32325398,0.0014479,0.000956698,0.00172333
Building_T1-60x30-S2-GS_Existing3,2,239.688,1800,720,360,4033.5,3642.25,0.020064671,11.02473983,0.397125166,0.325991697,0.198563866,0.00408622,0.00213411,0.0169792,0.209326429,0.00138387,0.000933631,0.00139953
Building_T1-60x30-S2-GS_Existing4,2,252.116,1800,720,360,4033.5,3642.25,0.031166932,10.26958118,0.419749457,0.345311129,0.168932602,0.00420831,0.00217775,0.0168234,0.177715499,0.00145683,0.000989992,0.00130129
Building_T1-60x30-S2-GS_Existing5,2,226.683,1800,720,360,4033.5,3642.25,0.027863408,9.469975192,0.36415324,0.299539583,0.239269089,0.00482265,0.00252381,0.0200353,0.252269689,0.00165121,0.00111718,0.00168158
Building_T1-60x30-S2-GS_Existing6,2,243.288,1800,720,360,4033.5,3642.25,0.0111803,10.82394829,0.408236231,0.336421726,0.197767835,0.0044304,0.00230778,0.0179908,0.208292483,0.00156639,0.00106718,0.0014933
Building_T1-60x30-S2-GS_Existing7,2,230.229,1800,720,360,4033.5,3642.25,0.031884047,11.18467845,0.369910555,0.30428703,0.258932016,0.00457016,0.00240417,0.0193261,0.273391379,0.00160346,0.0010753,0.00174472
Building_T1-60x30-S2-GS_Existing8,2,253.952,1800,720,360,4033.5,3642.25,0.045757153,11.3095997,0.460642722,0.378773686,0.187073242,0.00508913,0.00262315,0.0201141,0.196515048,0.0017304,0.00116946,0.00144559
Building_T1-60x30-S2-GS_Existing9,2,213.447,1800,720,360,4033.5,3642.25,0.02147194,9.044337112,0.366137075,0.300658616,0.216771784,0.00462242,0.00240868,0.0190429,0.228447114,0.00157991,0.00106945,0.00155738
Building_T1-60x30-S2-GS_Existing10,2,242.57,1800,720,360,4033.5,3642.25,0.010502632,11.13819193,0.480366972,0.394859911,0.170508901,0.00511136,0.00261492,0.0198323,0.178869938,0.00172489,0.00116602,0.00131462
