NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
2,184.60541669999998,3600,720,360,4033.5,3642.25,0.01,9.25,1.736382675314292,1.4903817044428913
3,306.1486667,5400,720,360,6351.5,6071.0,0.01,9.25,2.3396492223804435,1.6880463085754112
2,284.02395839999997,6000,1200,360,6450.75,4057.0,0.01,9.25,1.2965384227742096,1.3817153251040677
3,467.47629169999993,9000,1200,360,10498.25,6370.5,0.01,9.25,1.6430425334224086,1.42944332570136
2,184.60541669999998,3600,720,360,4033.5,3642.25,0.01,9.25,2.0694189520760435,1.6229207291559757
3,306.1486667,5400,720,360,6351.5,6071.0,0.01,9.25,2.1164437194127244,1.5028438152133885
2,284.02395839999997,6000,1200,360,6450.75,4057.0,0.01,9.25,1.4861292314143932,1.4264086438047676
3,467.47629169999993,9000,1200,360,10498.25,6370.5,0.01,9.25,1.7447532893123103,1.4513632293457115
2,286.8205416,6000,720,600,6177.0,4857.5,0.01,9.25,1.4059521066251355,1.2884256843557096
3,469.3694583000001,9000,720,600,10036.0,7286.25,0.01,9.25,1.3354105882090916,1.4065348844347585
2,436.76741669999996,10000,1200,600,8095.0,6177.0,0.01,9.25,1.3481892893693916,1.4075017222129842
3,709.2809167,15000,1200,600,12142.5,10036.0,0.01,9.25,1.3096560648261386,1.7450337759329448
2,286.8205416,6000,720,600,6177.0,4857.5,0.01,9.25,1.6710750709959583,1.8958798075630932
3,469.3694583000001,9000,720,600,10036.0,7286.25,0.01,9.25,1.3391362143231464,2.0143939046220227
2,436.76741669999996,10000,1200,600,8095.0,6177.0,0.01,9.25,1.601831646937967,2.016105566757702
3,709.2809167,15000,1200,600,12142.5,10036.0,0.01,9.25,1.3118310543289788,2.3169457924014676
2,150.971375,3000,600,360,3784.0,2527.5,0.01,9.25,0.9999983394193616,1.4484902178791763
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.0,1.5973813987307646
2,241.730875,4800,960,360,6146.0,4631.5,0.01,9.25,1.0000182829029927,1.3155051954698171
3,394.190125,7200,960,360,9383.25,6945.0,0.01,9.25,1.0000356916352535,1.395262420198276
2,150.971375,3000,600,360,3784.0,2527.5,0.01,9.25,1.000110844804725,1.6243721067664727
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.0001847758633913,1.4756868763473285
2,241.730875,4800,960,360,6146.0,4631.5,0.01,9.25,1.000143070018467,1.5439923101570012
3,394.190125,7200,960,360,9383.25,6945.0,0.01,9.25,1.0001971551245727,1.3416691514571335
2,292.2549166,6000,720,600,7220.0,4695.75,0.01,9.25,1.1237397788360213,1.113445439720662
3,474.80383330000006,9000,720,600,11079.0,7124.5,0.01,9.25,1.1593546673748505,1.1430256979838136
2,443.629375,10000,1200,600,7924.75,7460.0,0.01,9.25,1.0708287061088895,1.1016027536429667
3,716.142875,15000,1200,600,11972.25,11319.0,0.01,9.25,1.091869329204962,1.1239669421487604
2,292.2549166,6000,720,600,7220.0,4695.75,0.01,9.25,1.2015175329250447,1.231949886275673
3,474.80383330000006,9000,720,600,11079.0,7124.5,0.01,9.25,1.2517494349838656,1.267359190864154
2,443.629375,10000,1200,600,7924.75,7460.0,0.01,9.25,1.096843064975272,1.204196978752344
3,716.142875,15000,1200,600,11972.25,11319.0,0.01,9.25,1.1265555320177512,1.226991415452186
2,184.60541669999998,3600,720,360,4033.5,3642.25,0.01,9.25,1.5051462120895711,1.4075899513638768
3,306.1486667,5400,720,360,6351.5,6071.0,0.01,9.25,1.5244130479950138,1.5722506703321169
2,284.02395839999997,6000,1200,360,6450.75,4057.0,0.01,9.25,1.2914486764827149,1.3832177470081772
3,467.47629169999993,9000,1200,360,10498.25,6370.5,0.01,9.25,1.4931581008546613,1.3607072908333562
2,184.60541669999998,3600,720,360,4033.5,3642.25,0.01,9.25,2.031122524908323,1.5930431762021677
3,306.1486667,5400,720,360,6351.5,6071.0,0.01,9.25,2.1163849918433932,1.5028642743156433
2,284.02395839999997,6000,1200,360,6450.75,4057.0,0.01,9.25,1.8697260210143745,1.5677980934156333
3,467.47629169999993,9000,1200,360,10498.25,6370.5,0.01,9.25,1.7445815877002777,1.4513529369384204
2,286.8205416,6000,720,600,6177.0,4857.5,0.01,9.25,1.0164350398758302,1.2627022705566084
3,469.3694583000001,9000,720,600,10036.0,7286.25,0.01,9.25,1.1755584756898818,1.669183625443793
2,436.76741669999996,10000,1200,600,8095.0,6177.0,0.01,9.25,1.121377332101735,1.3987410029218237
3,709.2809167,15000,1200,600,12142.5,10036.0,0.01,9.25,1.0985529316153668,1.6778344939219347
2,286.8205416,6000,720,600,6177.0,4857.5,0.01,9.25,1.2399308885596683,2.8429757841266436
3,469.3694583000001,9000,720,600,10036.0,7286.25,0.01,9.25,1.241554507458108,2.218809381741406
2,436.76741669999996,10000,1200,600,8095.0,6177.0,0.01,9.25,1.1629950918844882,3.1656584735019617
3,709.2809167,15000,1200,600,12142.5,10036.0,0.01,9.25,1.1285957153588515,2.3169753817019765
2,150.971375,3000,600,360,3784.0,2527.5,0.01,9.25,1.0922220063467394,1.295813445905708
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.093423009122985,1.3078562984433812
2,241.730875,4800,960,360,6146.0,4631.5,0.01,9.25,1.0577257730759322,1.2013327993235876
3,394.190125,7200,960,360,9383.25,6945.0,0.01,9.25,1.0584930991595993,1.208273768224595
2,150.971375,3000,600,360,3784.0,2527.5,0.01,9.25,1.0001087533933148,1.8339582952259006
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.123855609864939,1.47580630714017
2,241.730875,4800,960,360,6146.0,4631.5,0.01,9.25,1.080209454507036,1.7104545246486933
3,394.190125,7200,960,360,9383.25,6945.0,0.01,9.25,1.081487133802611,1.2946673781014109
2,292.2549166,6000,720,600,7220.0,4695.75,0.01,9.25,1.0926647724999001,1.1083062417704796
3,474.80383330000006,9000,720,600,11079.0,7124.5,0.01,9.25,1.1203824193334218,1.226278584552145
2,443.629375,10000,1200,600,7924.75,7460.0,0.01,9.25,1.0525239622704459,1.0788609379975436
