Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Zpeakstrength
Building_T1-60x30-S2-GS_Variated1_1,2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,0.282101396,0.234075427,0.450907822,0.461503097
Building_T1-60x30-S2-GS_Variated1_2,2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,0.296908444,0.245711018,0.506053498,0.539571016
Building_T1-60x30-S2-GS_Variated1_3,2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,0.308511333,0.254906423,0.504378717,0.544072001
Building_T1-60x30-S2-GS_Variated1_4,2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,0.253742931,0.211793847,0.413780171,0.463187336
Building_T1-60x30-S2-GS_Variated1_5,2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,0.277491451,0.230472974,0.552252589,0.555725096
Building_T1-60x30-S2-GS_Variated2_1,2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,0.246880269,0.206831267,0.486567554,0.519065186
Building_T1-60x30-S2-GS_Variated2_2,2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,0.239969873,0.20153433,0.372989196,0.429443096
Building_T1-60x30-S2-GS_Variated2_3,2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,0.272732512,0.226963224,0.468448703,0.467750962
Building_T1-60x30-S2-GS_Variated2_4,2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,0.321023629,0.264941289,0.534827313,0.541318672
Building_T1-60x30-S2-GS_Variated2_5,2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,0.307796841,0.254440431,0.488136753,0.510376872
Building_T1-60x30-S2-GS_Variated3_1,2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,0.274312455,0.229937922,0.499293569,0.526817678
Building_T1-60x30-S2-GS_Variated3_2,2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,0.326904059,0.270756838,0.374151117,0.42687328
Building_T1-60x30-S2-GS_Variated3_3,2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,0.290288168,0.242279594,0.4562722,0.510262732
Building_T1-60x30-S2-GS_Variated3_4,2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,0.326725144,0.270603143,0.473383378,0.51961805
Building_T1-60x30-S2-GS_Variated3_5,2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,0.296014903,0.246641462,0.380989853,0.438846891
Building_T1-60x30-S2-GS_Variated4_1,2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,0.272461056,0.232106412,0.457936954,0.465477021
Building_T1-60x30-S2-GS_Variated4_2,2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,0.254297101,0.218740596,0.43831733,0.450873129
Building_T1-60x30-S2-GS_Variated4_3,2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,0.312688786,0.26253882,0.367891137,0.38132145
Building_T1-60x30-S2-GS_Variated4_4,2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,0.297108571,0.250570091,0.502775691,0.465471022
Building_T1-60x30-S2-GS_Variated4_5,2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,0.307971382,0.258854876,0.456671377,0.465469886
Building_T1-60x30-S2-GS_Variated5_1,2,226.683,1800,720,360,4033.5,3642.25,0.028,9.47,0.250321936,0.210404711,0.561540857,0.560695342
