Latitude,Longitude,Reduction
33.70657,-118.29226,0.526355082
33.70705,-118.2876,0.227191502
33.70715,-118.29246,0.25453141
33.70724,-118.28865,0.22785856
33.70756,-118.29249,0.42752921
33.70761,-118.29165,0.253713601
33.70773,-118.2876,4.24564E-05
33.70803,-118.29098,0.252899074
33.70804,-118.28832,0.106433127
33.70812,-118.29166,0.253305929
33.70812,-118.29182,0.16258762
33.70831,-118.2883,0.350557598
33.70845,-118.2883,0.27342356
33.70848,-118.29182,0.107483035
33.7085,-118.28651,0
33.7086,-118.28829,0.175461754
33.70873,-118.29195,0.167116388
33.709,-118.29044,0.251885498
33.70937,-118.29214,4.29321E-05
33.70989,-118.29232,-0.0061995
33.71028,-118.29167,0.17652181
33.71029,-118.28706,0.248874957
33.71029,-118.28871,0.250073778
33.7103,-118.28896,0.106054682
33.71046,-118.2867,0.105303062
33.71059,-118.29174,0.085811464
33.71071,-118.28633,0.163329493
33.71082,-118.28829,0.249473473
33.71085,-118.28897,0.249873477
33.71086,-118.28869,-0.006081495
33.7109,-118.28649,0.505008886
33.71096,-118.28695,0.173812261
33.71106,-118.28758,0.271519504
33.71112,-118.28666,-0.006030729
33.71124,-118.2871,0.158280805
33.71125,-118.28929,-0.006096095
33.71125,-118.29166,0.22785856
33.71128,-118.29044,0.226748026
33.71219,-118.29122,0.08526246
33.7131,-118.29129,0.084989556
33.71352,-118.29131,0.105960346
33.71362,-118.29256,0.165285274
33.71582,-118.29221,0.084627329
33.71614,-118.29369,0.226305532
33.71651,-118.29326,-0.006081495
33.71666,-118.2934,0.159473362
33.71669,-118.29365,0.249873477
33.71678,-118.29182,0.248675847
33.71679,-118.29376,0.418964719
33.7177,-118.2914,0.223671012
33.71851,-118.29468,0.272152359
33.71895,-118.29302,0.270888469
33.71908,-118.29301,0.270888469
33.71938,-118.29303,0.105023001
33.71951,-118.29304,0.173514472
33.71967,-118.29167,0.162436455
33.71995,-118.29133,4.1609E-05
33.72042,-118.28827,4.11523E-05
33.72087,-118.2918,0.16199219
33.72088,-118.29375,0.104836833
33.7209,-118.2974,0.518510102
33.72095,-118.29526,0.248476934
33.72108,-118.29164,0.35043567
33.72123,-118.29117,0.171888128
33.72128,-118.29526,0.346434592
33.7213,-118.28916,0.255926954
33.72134,-118.2913,0.512056472
33.72147,-118.28913,4.11523E-05
33.72152,-118.29163,0.161696842
33.72162,-118.28919,0.160522044
33.72175,-118.28925,0.509815533
33.7218,-118.29298,0.351030604
33.72182,-118.2937,0.162436455
33.72182,-118.2996,0.262920243
33.72187,-118.30539,4.29757E-05
33.72215,-118.28942,0.074968886
33.72219,-118.29149,0.267967462
33.72222,-118.30546,0.252899074
33.72244,-118.29297,0.35043567
33.72269,-118.29328,0.50126697
33.72272,-118.29845,0.517861326
33.72308,-118.28962,0.497177199
33.72311,-118.29518,0.258931055
33.7236,-118.28896,0.159647807
33.72363,-118.29959,0.164379033
33.72392,-118.30491,0.274488524
33.724,-118.29077,0.160375932
33.724,-118.29108,0.266727482
33.72403,-118.29959,0.26126921
33.7243,-118.3019,0.349601739
33.72447,-118.29275,0.510774809
33.7245,-118.28646,0.505044404
33.72465,-118.29275,0.341427519
33.7249,-118.28869,0.506630116
33.72491,-118.28766,0.102185007
33.72491,-118.29109,0.266315722
33.72502,-118.29275,0.160814759
33.72517,-118.28862,0.264676463
33.72542,-118.29076,0.159793108
33.72671,-118.29741,0.29086828
33.72764,-118.29516,0.255926954
33.72766,-118.29957,0.258931055
33.72853,-118.28855,0.262847037
33.72905,-118.29295,0.265085115
33.72906,-118.28866,0.250932658
33.72995,-118.29074,0.263455123
33.72995,-118.29179,0.252509692
33.72996,-118.28948,0.334053895
33.73032,-118.28196,0.258439629
33.73032,-118.28275,0.258836569
33.73035,-118.29294,0.264472426
33.73035,-118.29307,0.264472426
33.73083,-118.28531,0.24803328
33.73084,-118.28256,0.154662305
33.7309,-118.29964,0.161108129
33.73125,-118.28891,0.28046362
33.73138,-118.29931,0.510454862
33.73152,-118.30127,0.161402156
33.73168,-118.29709,0.496066587
33.73171,-118.3015,0.500148844
33.73177,-118.28881,0.487984549
33.7318,-118.29832,0.497177199
33.73215,-118.28927,0.249589762
33.73215,-118.2915,0.15748755
33.73217,-118.30007,0.498289858
33.73223,-118.30098,4.12762E-05
33.73266,-118.28239,0.153965629
33.73267,-118.28958,0.156633437
33.73272,-118.29963,0.50949615
33.73272,-118.30044,0.510135104
33.73292,-118.30219,0.341738302
33.73296,-118.29708,0.242793055
33.73319,-118.29858,0.286485608
33.73338,-118.2999,0.496806767
33.73354,-118.30285,0.103637165
33.7336,-118.29511,0.343087197
33.73362,-118.29831,0.495327316
33.73367,-118.2997,0.346594187
33.73367,-118.30051,0.347182311
33.73398,-118.29293,0.080507602
33.73406,-118.30295,0.103545624
33.73427,-118.29813,0.081536082
33.73435,-118.2993,0.265494541
33.73445,-118.28409,0.283909423
33.73446,-118.28437,0.415443094
33.7345,-118.29149,0.421009095
33.73451,-118.29513,0.216182551
33.73453,-118.29067,0.218655662
33.73487,-118.291,3.9939E-05
33.73487,-118.29182,0.162295532
33.73489,-118.29756,0.102185007
33.735,-118.30185,4.10288E-05
33.73518,-118.29656,0.216602783
33.73528,-118.29042,0.213266392
33.73533,-118.29867,0.10236508
33.73541,-118.29512,0.250932658
33.73543,-118.29741,0.505044404
33.73553,-118.29928,0.494220115
33.73569,-118.29707,0.158060111
33.73577,-118.29741,0.152306456
33.73579,-118.29431,0.067699567
33.73581,-118.29872,0.102185007
