Index,X Diff,Z Diff
L1-2S-60X30-GWB,52.9565446,30.0536013
L1-3S-60X30-GWB,52.470068,29.5523987
L1-2S-100X30-GWB,67.559162,23.1690666
L1-3S-100X30-GWB,66.846046,23.2913522
L1-2S-60X30-HWS,32.4440582,7.9215906
L1-3S-60X30-HWS,31.9583982,7.4381956
L1-2S-100X30-HWS,37.3474712,4.2190582
L1-3S-100X30-HWS,36.638071,0
L2-2S-60X50-GWB,4.9877456,65.5285856
L2-3S-60X50-GWB,4.278564,64.819446
L2-2S-100X50-GWB,5.427399,65.851532
L2-3S-100X50-GWB,4.410966,64.834115
L2-2S-60X50-HWS,0,38.4404154
L2-3S-60X50-HWS,0,37.738454
L2-2S-100X50-HWS,0,38.751281
L2-3S-100X50-HWS,0,37.743296
L3-2S-50X30-GWB,0,19.4241745
L3-3S-50X30-GWB,0,19.0368362
L3-2S-80X30-GWB,0,7.7674264
L3-3S-80X30-GWB,0,7.16805
L3-2S-50X30-HWS,0,6.4216628
L3-3S-50X30-HWS,0,6.0340856
L3-2S-80X30-HWS,0,0
L3-3S-80X30-HWS,0,0
L4-2S-60X50-GWB,4.1299326,19.8184516
L4-3S-60X50-GWB,0,19.109312
L4-2S-100X50-GWB,0,11.429334
L4-3S-100X50-GWB,0,10.411917
L4-2S-60X50-HWS,0,5.9646174
L4-3S-60X50-HWS,0,5.262656
L4-2S-100X50-HWS,0,0
L4-3S-100X50-HWS,0,0
