Index,Complete
L1-2S-60X30-GWB,1.007680873
L1-3S-60X30-GWB,0.656124216
L1-2S-100X30-GWB,0.855293111
L1-3S-100X30-GWB,0.554106627
L1-2S-60X30-HWS,0.984835128
L1-3S-60X30-HWS,0.553788037
L1-2S-100X30-HWS,0.849990224
L1-3S-100X30-HWS,0.517118202
L2-2S-60X50-GWB,0.912773634
L2-3S-60X50-GWB,0.630705835
L2-2S-100X50-GWB,0.712205488
L2-3S-100X50-GWB,0.457718581
L2-2S-60X50-HWS,0.882462411
L2-3S-60X50-HWS,0.500428804
L2-2S-100X50-HWS,0.657127224
L2-3S-100X50-HWS,0.340065385
L3-2S-50X30-GWB,1.161478163
L3-3S-50X30-GWB,0.790834503
L3-2S-80X30-GWB,1.134104813
L3-3S-80X30-GWB,0.81088422
L3-2S-50X30-HWS,1.173860614
L3-3S-50X30-HWS,0.794029324
L3-2S-80X30-HWS,1.068750253
L3-3S-80X30-HWS,0.689785501
L4-2S-60X50-GWB,1.17337053
L4-3S-60X50-GWB,0.765267613
L4-2S-100X50-GWB,0.982821043
L4-3S-100X50-GWB,0.697599758
L4-2S-60X50-HWS,1.195955657
L4-3S-60X50-HWS,0.787392083
L4-2S-100X50-HWS,0.97932742
L4-3S-100X50-HWS,0.6317917
