Index,Complete
L1-2S-60X30-GWB,0.954285883
L1-3S-60X30-GWB,0.69435508
L1-2S-100X30-GWB,0.867702976
L1-3S-100X30-GWB,0.637905066
L1-2S-60X30-HWS,1.012857386
L1-3S-60X30-HWS,0.724525853
L1-2S-100X30-HWS,0.907893963
L1-3S-100X30-HWS,0.67136914
L2-2S-60X50-GWB,0.888590771
L2-3S-60X50-GWB,0.678559229
L2-2S-100X50-GWB,0.713283306
L2-3S-100X50-GWB,0.539709305
L2-2S-60X50-HWS,0.955039196
L2-3S-60X50-HWS,0.648850945
L2-2S-100X50-HWS,0.785080603
L2-3S-100X50-HWS,0.512670724
L3-2S-50X30-GWB,1.144629958
L3-3S-50X30-GWB,0.834584698
L3-2S-80X30-GWB,1.087585553
L3-3S-80X30-GWB,0.860268076
L3-2S-50X30-HWS,1.177111452
L3-3S-50X30-HWS,0.918731159
L3-2S-80X30-HWS,1.156320479
L3-3S-80X30-HWS,0.878644892
L4-2S-60X50-GWB,1.049870462
L4-3S-60X50-GWB,0.805565976
L4-2S-100X50-GWB,0.945509305
L4-3S-100X50-GWB,0.745645153
L4-2S-60X50-HWS,1.17697512
L4-3S-60X50-HWS,0.890651742
L4-2S-100X50-HWS,1.056689048
L4-3S-100X50-HWS,0.803718501
