Latitude,Longitude,Loss
33.70657,-118.29226,351885.2536
33.70705,-118.2876,595045.1227
33.70715,-118.29246,220363.9777
33.70724,-118.28865,591735.1302
33.70756,-118.29249,186655.4141
33.70761,-118.29165,222532.4396
33.70773,-118.2876,350238.7746
33.70803,-118.29098,224705.6324
33.70804,-118.28832,164699.1416
33.70812,-118.29166,223618.4512
33.70812,-118.29182,428926.6497
33.70831,-118.2883,714305.1245
33.70845,-118.2883,268788.6552
33.70848,-118.29182,160623.2559
33.7085,-118.28651,811662.9895
33.7086,-118.28829,162144.843
33.70873,-118.29195,381110.4132
33.709,-118.29044,227428.6173
33.70937,-118.29214,342623.1656
33.70989,-118.29232,790938.248
33.71028,-118.29167,159577.9254
33.71029,-118.28706,235638.9314
33.71029,-118.28871,232347.5627
33.7103,-118.28896,166185.1703
33.71046,-118.2867,169163.0525
33.71059,-118.29174,405458.8526
33.71071,-118.28633,401541.6686
33.71082,-118.28829,233992.0685
33.71085,-118.28897,232895.4668
33.71086,-118.28869,810450.3854
33.7109,-118.28649,927182.4997
33.71096,-118.28695,166191.5395
33.71106,-118.28758,274686.5791
33.71112,-118.28666,818921.252
33.71124,-118.2871,447269.7937
33.71125,-118.28929,808022.7136
33.71125,-118.29166,591735.1302
33.71128,-118.29044,597250.747
33.71219,-118.29122,409758.1792
33.7131,-118.29129,411904.6363
33.71352,-118.29131,166556.9871
33.71362,-118.29256,390909.0527
33.71582,-118.29221,414763.1569
33.71614,-118.29369,599455.5161
33.71651,-118.29326,810450.3854
33.71666,-118.2934,442154.0978
33.71669,-118.29365,232895.4668
33.71678,-118.29182,236188.4021
33.71679,-118.29376,841058.0611
33.7177,-118.2914,612664.9748
33.71851,-118.29468,272717.3169
33.71895,-118.29302,276659.0608
33.71908,-118.29301,276659.0608
33.71938,-118.29303,170281.6728
33.71951,-118.29304,166928.9137
33.71967,-118.29167,406453.8114
33.71995,-118.29133,364080.0473
33.72042,-118.28827,371685.5679
33.72087,-118.2918,408910.7965
33.72088,-118.29375,171027.9769
33.7209,-118.2974,374850.2131
33.72095,-118.29526,236738.1284
33.72108,-118.29164,634505.0012
33.72123,-118.29117,170992.738
33.72128,-118.29526,731888.6343
33.7213,-118.28916,742307.4279
33.72134,-118.2913,394314.0105
33.72147,-118.28913,371685.5679
33.72152,-118.29163,410549.0852
33.72162,-118.28919,417104.2563
33.72175,-118.28925,401192.0639
33.7218,-118.29298,632005.1534
33.72182,-118.2937,406453.8114
33.72182,-118.2996,699882.9817
33.72187,-118.30539,341930.8534
33.72215,-118.28942,593770.6624
33.72219,-118.29149,285905.0588
33.72222,-118.30546,224705.6324
33.72244,-118.29297,634505.0012
33.72269,-118.29328,946840.1319
33.72272,-118.29845,376783.6685
33.72308,-118.28962,968502.7094
33.72311,-118.29518,723923.5509
33.7236,-118.28896,422022.2769
33.72363,-118.29959,395814.4492
33.72392,-118.30491,265525.0596
33.724,-118.29077,417923.8444
33.724,-118.29108,289887.4895
33.72403,-118.29959,709781.0626
33.7243,-118.3019,718365.7575
33.72447,-118.29275,398240.2829
33.7245,-118.28646,416039.3116
33.72465,-118.29275,753478.3688
33.7249,-118.28869,411074.1571
33.72491,-118.28766,181894.2182
33.72491,-118.29109,291217.5064
33.72502,-118.29275,415465.1951
33.72517,-118.28862,296549.8856
33.72542,-118.29076,421202.5317
33.72671,-118.29741,1484971.34
33.72764,-118.29516,742307.4279
33.72766,-118.29957,723923.5509
33.72853,-118.28855,302571.4835
33.72905,-118.29295,295214.9731
33.72906,-118.28866,773394.541
33.72995,-118.29074,300561.6924
33.72995,-118.29179,763508.1643
33.72996,-118.28948,785729.5364
33.73032,-118.28196,317384.1243
33.73032,-118.28275,316032.3942
33.73035,-118.29294,297217.7882
33.73035,-118.29307,297217.7882
33.73083,-118.28531,791737.5691
33.73084,-118.28256,450714.787
33.7309,-118.29964,413826.3016
33.73125,-118.28891,1570891.157
33.73138,-118.29931,399223.5404
33.73152,-118.30127,412187.5926
33.73168,-118.29709,974416.9229
33.73171,-118.3015,952744.3128
33.73177,-118.28881,1017852.57
33.7318,-118.29832,968502.7094
33.73215,-118.28927,781863.6595
33.73215,-118.2915,434320.3261
33.73217,-118.30007,962591.044
33.73223,-118.30098,369612.0347
33.73266,-118.28239,454811.2588
33.73267,-118.28958,439239.5958
33.73272,-118.29963,402177.3245
33.73272,-118.30044,400207.4683
33.73292,-118.30219,752130.9023
33.73296,-118.29708,252784.3711
33.73319,-118.29858,1520954.77
33.73338,-118.2999,970473.8377
33.73354,-118.30285,175889.2107
33.7336,-118.29511,665757.7093
33.73362,-118.29831,978361.0786
33.73367,-118.2997,650756.5782
33.73367,-118.30051,648256.1984
33.73398,-118.29293,448025.4519
33.73406,-118.30295,176263.8496
33.73427,-118.29813,439593.8619
33.73435,-118.2993,293881.2628
33.73445,-118.28409,246343.3597
33.73446,-118.28437,221944.8443
33.7345,-118.29149,213988.4413
33.73451,-118.29513,650970.7893
33.73453,-118.29067,1213721.587
33.73487,-118.291,392380.8486
33.73487,-118.29182,184662.8459
33.73489,-118.29756,181894.2182
33.735,-118.30185,373758.5054
33.73518,-118.29656,648791.9886
33.73528,-118.29042,666183.9096
33.73533,-118.29867,181142.3948
33.73541,-118.29512,773394.541
33.73543,-118.29741,416039.3116
33.73553,-118.29928,984279.2293
33.73569,-118.29707,431040.682
33.73577,-118.29741,473306.2936
33.73579,-118.29431,619153.8055
33.73581,-118.29872,181894.2182
33.73583,-118.30946,172895.6266
33.73584,-118.30536,740893.4974
33.7359,-118.3015,850021.8552
33.73591,-118.30902,730994.8185
33.73593,-118.3059,398240.2829
33.7361,-118.29818,256127.4984
33.73624,-118.30024,177298.2746
33.73628,-118.2841,824434.0813
33.73628,-118.30741,750783.1687
33.73629,-118.303,750789.791
33.73632,-118.30035,602317.4719
33.73636,-118.30438,1241461.452
33.73637,-118.3005,757856.4462
33.7364,-118.30683,606293.6394
33.73645,-118.30801,171362.8413
33.73653,-118.29863,664507.7636
33.73653,-118.30083,757856.4462
33.7367,-118.29963,544222.3102
33.73673,-118.30487,248893.6089
33.73674,-118.30708,459623.4679
33.73685,-118.30523,632410.1406
33.73706,-118.30227,377211.9551
33.73706,-118.30294,408102.7047
33.73715,-118.2993,443112.4179
33.7372,-118.30294,889719.7819
33.73725,-118.30535,209211.5092
33.73726,-118.30421,847650.1957
33.73727,-118.30454,762902.8986
33.73734,-118.30227,180390.8976
33.73743,-118.29863,431860.5939
33.73744,-118.30083,255012.3048
33.73747,-118.30294,180015.2738
33.73759,-118.30294,211888.8476
33.73759,-118.30369,211442.3356
33.73762,-118.3042,976388.8695
33.7377,-118.30271,212335.4723
33.73782,-118.30556,845275.0413
33.73788,-118.29324,265637.8329
33.73813,-118.29435,188296.7815
33.73814,-118.29104,1039602.265
33.73888,-118.28613,504005.8672
33.73996,-118.29591,265076.9268
33.74035,-118.28877,192912.8269
33.7406,-118.28924,322122.7285
33.74215,-118.29311,193583.4004
33.74295,-118.29314,447159.5116
33.74356,-118.29289,811459.445
33.744,-118.30932,1257880.728
33.74415,-118.30933,427761.0819
33.7443,-118.30933,415045.0197
