Latitude,Longitude,Reduction
33.70657,-118.29226,0.222732028
33.70705,-118.2876,0.476188295
33.70715,-118.29246,0.463801678
33.70724,-118.28865,0.47724648
33.70756,-118.29249,0.535409771
33.70761,-118.29165,0.462604311
33.70773,-118.2876,0.228096078
33.70803,-118.29098,0.461410288
33.70804,-118.28832,0.456324734
33.70812,-118.29166,0.462006882
33.70812,-118.29182,0.295523429
33.70831,-118.2883,0.263701404
33.70845,-118.2883,0.311037286
33.70848,-118.29182,0.459555177
33.7085,-118.28651,0.220489299
33.7086,-118.28829,0.228904037
33.70873,-118.29195,0.209320159
33.709,-118.29044,0.459922443
33.70937,-118.29214,0.230240843
33.70989,-118.29232,0.224252146
33.71028,-118.29167,0.230226556
33.71029,-118.28706,0.455489883
33.71029,-118.28871,0.457257356
33.7103,-118.28896,0.455156189
33.71046,-118.2867,0.452828882
33.71059,-118.29174,0.490223338
33.71071,-118.28633,0.204737639
33.71082,-118.28829,0.456372698
33.71085,-118.28897,0.456962265
33.71086,-118.28869,0.22070866
33.7109,-118.28649,0.295412464
33.71096,-118.28695,0.226844904
33.71106,-118.28758,0.308945715
33.71112,-118.28666,0.21917828
33.71124,-118.2871,0.288601001
33.71125,-118.28929,0.221148121
33.71125,-118.29166,0.47724648
33.71128,-118.29044,0.475484024
33.71219,-118.29122,0.488142433
33.7131,-118.29129,0.487105006
33.71352,-118.29131,0.454864563
33.71362,-118.29256,0.207105118
33.71582,-118.29221,0.485724898
33.71614,-118.29369,0.4747807
33.71651,-118.29326,0.22070866
33.71666,-118.2934,0.290521556
33.71669,-118.29365,0.456962265
33.71678,-118.29182,0.45519602
33.71679,-118.29376,0.61411247
33.7177,-118.2914,0.470580589
33.71851,-118.29468,0.309640999
33.71895,-118.29302,0.308252326
33.71908,-118.29301,0.308252326
33.71938,-118.29303,0.451959489
33.71951,-118.29304,0.226472999
33.71967,-118.29167,0.203656051
33.71995,-118.29133,0.224258776
33.72042,-118.28827,0.222181787
33.72087,-118.2918,0.203117856
33.72088,-118.29375,0.451380903
33.7209,-118.2974,0.218108874
33.72095,-118.29526,0.454902361
33.72108,-118.29164,0.454775401
33.72123,-118.29117,0.224441018
33.72128,-118.29526,0.260303629
33.7213,-118.28916,0.112668888
33.72134,-118.2913,0.214345042
33.72147,-118.28913,0.222181787
33.72152,-118.29163,0.202760016
33.72162,-118.28919,0.201336259
33.72175,-118.28925,0.21304628
33.7218,-118.29298,0.455456384
33.72182,-118.2937,0.203656051
33.72182,-118.2996,0.116167384
33.72187,-118.30539,0.230437047
33.72215,-118.28942,0.465082192
33.72219,-118.29149,0.305041346
33.72222,-118.30546,0.461410288
33.72244,-118.29297,0.454775401
33.72269,-118.29328,0.292581239
33.72272,-118.29845,0.217728907
33.72308,-118.28962,0.289499833
33.72311,-118.29518,0.11416906
33.7236,-118.28896,0.200276361
33.72363,-118.29959,0.20600832
33.72392,-118.30491,0.31220672
33.724,-118.29077,0.20115914
33.724,-118.29108,0.303677604
33.72403,-118.29959,0.11533946
33.7243,-118.3019,0.262913075
33.72447,-118.29275,0.213601727
33.7245,-118.28646,0.210294981
33.72465,-118.29275,0.256186397
33.7249,-118.28869,0.211207309
33.72491,-118.28766,0.443081196
33.72491,-118.29109,0.303224659
33.72502,-118.29275,0.201691062
33.72517,-118.28862,0.301420999
33.72542,-118.29076,0.200452543
33.72671,-118.29741,0.149481389
33.72764,-118.29516,0.112668888
33.72766,-118.29957,0.11416906
33.72853,-118.28855,0.323209881
33.72905,-118.29295,0.3018707
33.72906,-118.28866,0.110183737
33.72995,-118.29074,0.30007672
33.72995,-118.29179,0.110967272
33.72996,-118.28948,0.269103356
33.73032,-118.28196,0.318087211
33.73032,-118.28275,0.318548932
33.73035,-118.29294,0.30119645
33.73035,-118.29307,0.30119645
33.73083,-118.28531,0.108746075
33.73084,-118.28256,0.206414399
33.7309,-118.29964,0.202046621
33.73125,-118.28891,0.150893799
33.73138,-118.29931,0.213416384
33.73152,-118.30127,0.202402938
33.73168,-118.29709,0.288665383
33.73171,-118.3015,0.29173745
33.73177,-118.28881,0.291308071
33.7318,-118.29832,0.289499833
33.73215,-118.28927,0.109517398
33.73215,-118.2915,0.210021043
33.73217,-118.30007,0.290336818
33.73223,-118.30098,0.222745912
33.73266,-118.28239,0.205524286
33.73267,-118.28958,0.208931218
33.73272,-118.29963,0.212861518
33.73272,-118.30044,0.213231235
33.73292,-118.30219,0.25644166
33.73296,-118.29708,0.446474121
33.73319,-118.29858,0.146895635
33.73338,-118.2999,0.289221402
33.73354,-118.30285,0.447639672
33.7336,-118.29511,0.446342986
33.73362,-118.29831,0.288110487
33.73367,-118.2997,0.450372143
33.73367,-118.30051,0.451046964
33.73398,-118.29293,0.46482867
