,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
0,33.866890000000005,-117.85707,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,27973.509305836167
1,34.097409999999996,-118.1557,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,41392.43928292018
2,34.09702,-118.15593999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19791.60498720323
3,34.095859999999995,-118.15733999999999,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,28700.941774566418
4,34.09648,-118.15982,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18050.490523852437
5,34.0955,-118.16032,3,L1,HWS,60X30,5400.0,L1-3S-60X30-HWS,5,32804.9843444465
6,34.09851,-118.16205,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,25999.84567589216
7,34.09584,-118.16215,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17682.53858132345
8,34.097609999999996,-118.16219,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17442.274802478103
9,34.094229999999996,-118.16219,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,72635.31895119224
10,34.07958,-118.16266,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,24346.881740830948
11,34.07398,-118.16301999999999,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,75339.60836685087
12,34.09019,-118.16328,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18849.157429530373
13,34.09405,-118.1633,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,44818.54089468111
14,34.070040000000006,-118.16361,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,30714.859612433487
15,34.08992,-118.16391999999999,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,38137.14039552979
16,34.08426,-118.16582,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,36611.20366846853
17,34.08396,-118.16582,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,53805.77781894
18,34.08227,-118.16585,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18885.452556233944
19,34.07358,-118.16597,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36829.50859140618
20,34.08818,-118.166,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,38786.371492048056
21,34.084340000000005,-118.16651,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,23286.800298352857
22,34.08899,-118.16718,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,36336.18337657757
23,34.0852,-118.16824,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,54057.41941348311
24,34.08821,-118.16903,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,52107.576340500265
25,34.0875,-118.16953999999998,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19113.897898853662
26,34.117909999999995,-118.17002,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,20434.61818885893
27,34.11822,-118.17006,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,25040.356256319894
28,34.08378,-118.17017,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18389.632956348945
29,34.11796,-118.17039,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,24763.08386990854
30,34.0804,-118.17056000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30234.142089001667
31,34.08788,-118.17071000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,59896.342275166026
32,34.0804,-118.17076999999999,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,34710.856078414305
33,34.08835,-118.17085,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37071.89029537063
34,34.08364,-118.1709,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,62366.97196110466
35,34.08379,-118.17156999999999,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,25686.021693101346
36,34.11684,-118.17182,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,29374.502890918953
37,34.07503,-118.17185,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,63931.38710046724
38,34.08084,-118.17192,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30418.965230614125
39,34.11591,-118.1723,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,28688.013259555388
40,34.087559999999996,-118.17236000000001,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,25111.307496483798
41,34.11582,-118.17241999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18767.288772264772
42,34.08321,-118.17245,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32181.729607111396
43,34.08315,-118.1726,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37463.62891020099
44,34.0831,-118.17276000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,67062.80300230684
45,34.07063,-118.17288,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,36163.19084938036
46,34.117129999999996,-118.1733,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,38145.01861130241
47,34.11723,-118.17348,3,L4,HWS,60X50,9000.0,L4-3S-60X50-HWS,9,56155.944158968174
48,34.11574,-118.17378000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19749.14946465754
49,34.08671,-118.17395,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,16760.283562295313
50,34.07005,-118.17428999999998,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,26848.383245465877
51,34.08634,-118.17466999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,33758.38171239707
52,34.069,-118.17468999999998,3,L4,HWS,60X50,9000.0,L4-3S-60X50-HWS,9,61464.20804623702
53,34.11582,-118.17501999999999,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,53663.9898202263
54,34.068690000000004,-118.17501999999999,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,25634.61610469915
55,34.08246,-118.17504,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32795.70681293627
56,34.0826,-118.17505,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,38025.84172598151
57,34.115759999999995,-118.17518999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,39941.703277266475
58,34.08971,-118.17518999999999,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,25651.617728566547
59,34.08801,-118.17539,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,28373.947391730646
60,34.086290000000005,-118.1754,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,33744.62858473181
61,34.08603,-118.17541000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31562.23663530311
62,34.080090000000006,-118.17596,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,48084.66358056487
63,34.08722,-118.176,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,39419.705236934555
64,34.08722,-118.176,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,55399.09683416979
65,34.11803,-118.1761,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,20227.629719126155
66,34.11854,-118.17612,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,51199.71666024033
67,34.118190000000006,-118.17633000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,33297.297002136824
68,34.08471,-118.17633000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,29797.601492288053
69,34.11619,-118.1766,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,16756.459889647336
70,34.11351,-118.17693999999999,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,39406.52661405376
71,34.119659999999996,-118.17712,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,22912.03094538286
72,34.11985,-118.17727,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17420.495487676337
73,34.11701,-118.17732,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,35823.71879120197
74,34.119170000000004,-118.1774,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,31789.01340139003
75,34.11554,-118.17778999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,34124.0997877641
76,34.11804,-118.17781000000001,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,40379.29052292468
77,34.11449,-118.17816,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,21140.104513593007
78,34.11415,-118.17818,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18552.181427325853
79,34.11405,-118.17836000000001,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,44582.46541556182
80,34.113690000000005,-118.17837,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30858.959679013496
81,34.11523,-118.17856,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19061.625301342447
82,34.09738,-118.17867,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,16702.418575716838
83,34.109320000000004,-118.17894,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,51240.62799581146
84,34.089,-118.17898999999998,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,56372.73832857135
85,34.11207,-118.17917,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,59530.8206869238
86,34.11367,-118.17936999999999,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,37998.17353034523
87,34.075540000000004,-118.17971999999999,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,41408.394695864496
88,34.11249,-118.17973,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31310.766327119185
89,34.10946,-118.17987,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30564.207977670165
90,34.11868,-118.18007,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17801.7088273689
91,34.08814,-118.18015,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,29695.548083011217
92,34.07506,-118.18021999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37541.6070711122
93,34.11255,-118.18028000000001,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,35810.19651715032
94,34.0889,-118.1809,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,56557.84521008664
95,34.08121,-118.181,3,L4,HWS,60X50,9000.0,L4-3S-60X50-HWS,9,55114.43650240995
96,34.08853,-118.18149,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,87170.82269913491
97,34.14091,-118.18158999999999,2,L2,GWB,100X50,10000.0,L2-2S-100X50-GWB,10,51561.85268300393
98,34.11365,-118.18225,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,54966.33566836059
99,34.11285,-118.18323000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,30258.44227656234
100,34.10672,-118.18388999999999,3,L4,HWS,100X50,15000.0,L4-3S-100X50-HWS,15,79105.54666840714
101,34.1224,-118.18478999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,37967.28428686038
102,34.12174,-118.1849,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,35883.79157806238
103,34.105140000000006,-118.18506000000001,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,77209.19679856797
104,34.12485,-118.18566000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31119.296117205016
105,34.125440000000005,-118.18631,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32485.709062772276
106,34.125040000000006,-118.18656999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17485.44980516498
107,34.1028,-118.18666,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,32745.782356370022
108,34.126709999999996,-118.18678,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,38133.35481579648
109,34.10835,-118.18713999999999,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,36262.97018459227
110,34.1187,-118.18723,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19061.29877685788
111,34.11873,-118.18739,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31799.86941362175
112,34.12481,-118.18753000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,29738.284769619706
113,34.118759999999995,-118.18755,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,34068.211411436714
114,34.10752,-118.18765,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,29650.694491271817
115,34.1077,-118.18771000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19381.287793589036
116,34.08889,-118.1878,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,26398.00562511211
117,34.1263,-118.18795,3,L1,GWB,60X30,5400.0,L1-3S-60X30-GWB,5,28060.644679395416
118,34.12469,-118.18799999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,56842.05755973988
119,34.10753,-118.18802,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,41821.070921068436
120,34.09067,-118.18802,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19095.12306141454
121,34.12552,-118.18803,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,55602.38592219997
122,34.10752,-118.18806000000001,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,39713.17992793739
123,34.10705,-118.18807,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,35195.953486638995
124,34.12625,-118.18815,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,38736.931223835534
125,34.125479999999996,-118.18818999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,60671.064191672005
126,34.09066,-118.18841,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,24028.880384312895
127,34.12464,-118.18868,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20407.84705918085
128,34.10996,-118.18888999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19165.448285638406
129,34.11974,-118.18928000000001,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,26464.736150936587
130,34.12444,-118.1893,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,61267.657006197885
131,34.13368,-118.18936000000001,3,L1,HWS,60X30,5400.0,L1-3S-60X30-HWS,5,31470.52078877476
